date,direction,entry_price,exit_price,pnl_pts,pnl_pct,win,rsi_divergence,extreme_time_hour,tail_retracement,volume_decay
2022-09-12,short,14741.0,14792.0,-51.0,-0.3459738145309002,False,False,23.416666666666668,0.07051282051282051,0.5790630434345905
2022-09-30,long,13313.0,13408.0,95.0,0.7135882220386088,True,True,26.316666666666666,0.16336633663366337,0.3981950562977215
2022-10-24,short,13044.0,12872.0,172.0,1.3186139221097823,True,True,28.316666666666666,0.06060606060606061,0.41945640161125025
2022-11-07,short,13119.0,13223.0,-104.0,-0.7927433493406509,False,False,28.96666666666667,0.024875621890547265,0.4186016275233338
2022-11-11,short,14025.0,14034.0,-9.0,-0.0641711229946524,False,True,28.983333333333334,0.0018018018018018018,0.5842392629064496
2023-03-03,short,15649.0,15606.0,43.0,0.27477794108249726,True,False,28.65,0.09219858156028368,0.6056235826585272
2023-03-06,short,15709.0,15769.0,-60.0,-0.38194665478388184,False,False,28.483333333333334,0.025210084033613446,0.8884111752806723
2023-07-07,long,16614.0,16621.0,7.0,0.04213314072469002,True,True,23.316666666666666,0.3010204081632653,0.3548151784131659
2023-07-21,long,16830.0,16945.0,115.0,0.6833036244800951,True,True,27.383333333333333,0.13440860215053763,0.4292518022334693
2023-12-25,short,17609.0,17617.0,-8.0,-0.04543131353285252,False,True,22.833333333333332,0.20833333333333334,0.783872507028326
2024-01-09,short,17710.0,17559.0,151.0,0.8526256352343309,True,False,28.96666666666667,0.029288702928870293,0.6397470805287142
2024-02-02,short,18045.0,18088.0,-43.0,-0.23829315599889167,False,True,28.666666666666668,0.06363636363636363,0.6916006682184721
2024-03-08,short,19919.0,19788.0,131.0,0.657663537326171,True,True,27.933333333333334,0.07076923076923076,0.6075861470358476
2024-05-06,short,20618.0,20591.0,27.0,0.13095353574546512,True,True,28.683333333333334,0.0332409972299169,0.3343897564817739
2024-09-20,short,22399.0,22198.0,201.0,0.8973614893522032,True,False,26.016666666666666,0.23076923076923078,0.5050779349152461
2024-09-27,short,23113.0,22906.0,207.0,0.895599878856055,True,False,21.633333333333333,0.4730077120822622,0.3249010369330398
2024-09-30,long,22748.0,22349.0,-399.0,-1.7540003516792684,False,True,28.933333333333334,0.054441260744985676,0.5225133969050437
2024-10-18,short,23747.0,23617.0,130.0,0.5474375710616078,True,True,23.45,0.19330855018587362,0.25927294944208573
2024-11-01,long,22414.0,22756.0,342.0,1.5258320692424376,True,False,21.75,0.18005540166204986,0.4081063640348847
2024-11-08,short,23704.0,23699.0,5.0,0.021093486331420858,True,True,26.0,0.007518796992481203,0.6583366855971665
