year,tier,dir,N,m,P_A,ER_A,P_Bsat,ER_Bsat
2024,mid GO,dn,44,0.2,0.6363636363636364,0.12727272727272732,1.0,0.06327660785370158
2024,mid GO,dn,44,0.25,0.6136363636363636,0.1534090909090909,1.0,0.11034575981712695
2024,mid GO,dn,44,0.3,0.6136363636363636,0.18409090909090908,1.0,0.1574149117805523
2024,mid GO,dn,44,0.35,0.5454545454545454,0.1909090909090909,1.0,0.2044840637439777
2024,mid GO,dn,44,0.4,0.4772727272727273,0.19090909090909092,1.0,0.25155321570740313
2024,mid GO,dn,44,0.45,0.3181818181818182,0.1431818181818182,1.0,0.2986223676708285
2024,mid GO,dn,44,0.5,0.29545454545454547,0.14772727272727273,0.9090909090909091,0.30228311275895414
2024,mid GO,dn,44,0.55,0.25,0.1375,0.8636363636363636,0.32769458384084776
2024,mid GO,dn,44,0.6,0.13636363636363635,0.0818181818181818,0.8181818181818182,0.3480851339741731
2024,mid GO,dn,44,0.65,0.11363636363636363,0.07386363636363637,0.75,0.36024772613515804
2024,mid GO,dn,44,0.7,0.11363636363636363,0.07954545454545453,0.5909090909090909,0.30979839775845774
2024,mid GO,dn,44,0.75,0.09090909090909091,0.06818181818181818,0.5227272727272727,0.2944818729404577
2024,mid GO,dn,44,0.8,0.045454545454545456,0.03636363636363637,0.4772727272727273,0.28852423518152764
2024,mid GO,dn,44,0.85,0.022727272727272728,0.019318181818181818,0.4090909090909091,0.26934752823603286
2024,mid GO,dn,44,0.9,0.022727272727272728,0.020454545454545454,0.3181818181818182,0.22345015989711892
2024,mid GO,dn,44,0.95,0.022727272727272728,0.02159090909090909,0.2727272727272727,0.20484067930954025
2024,mid GO,dn,44,1.0,0.022727272727272728,0.022727272727272728,0.22727272727272727,0.17039785925409026
2024,mid GO,dn,44,1.05,0.022727272727272728,0.023863636363636365,0.13636363636363635,0.1107007861261911
2024,mid GO,dn,44,1.1,0.022727272727272728,0.025,0.06818181818181818,0.05580603064108147
2024,mid GO,dn,44,1.15,0.022727272727272728,0.026136363636363635,0.045454545454545456,0.03972299453909627
2024,mid GO,dn,44,1.2,0.022727272727272728,0.02727272727272727,0.045454545454545456,0.04169711683130995
2024,mid GO,dn,44,1.25,0.022727272727272728,0.028409090909090908,0.045454545454545456,0.04367123912352362
2024,mid GO,dn,44,1.3,0.022727272727272728,0.029545454545454545,0.045454545454545456,0.045645361415737294
2024,mid GO,dn,44,1.35,0.022727272727272728,0.030681818181818185,0.045454545454545456,0.04761948370795097
2024,mid GO,dn,44,1.4,0.022727272727272728,0.031818181818181815,0.045454545454545456,0.04959360600016463
2024,mid GO,dn,44,1.45,0.022727272727272728,0.03295454545454545,0.045454545454545456,0.0515677282923783
2024,mid GO,dn,44,1.5,0.022727272727272728,0.03409090909090909,0.045454545454545456,0.05354185058459198
2024,strong GO,up,59,0.1,0.864406779661017,0.08644067796610168,1.0,-0.010970037745126048
2024,strong GO,up,59,0.15,0.7796610169491526,0.11694915254237288,1.0,0.0460449433823109
2024,strong GO,up,59,0.2,0.7796610169491526,0.1559322033898305,1.0,0.1030599245097479
2024,strong GO,up,59,0.25,0.7457627118644068,0.1864406779661017,1.0,0.16007490563718485
2024,strong GO,up,59,0.3,0.6779661016949152,0.20338983050847462,1.0,0.21708988676462188
2024,strong GO,up,59,0.35,0.6101694915254238,0.2135593220338983,1.0,0.2741048678920588
2024,strong GO,up,59,0.4,0.5254237288135594,0.21016949152542377,0.9661016949152542,0.3154563537744706
2024,strong GO,up,59,0.45,0.4576271186440678,0.20593220338983048,0.9491525423728814,0.361018492544851
2024,strong GO,up,59,0.5,0.4406779661016949,0.22033898305084745,0.9322033898305084,0.40870052821458985
2024,strong GO,up,59,0.55,0.423728813559322,0.23305084745762714,0.864406779661017,0.4283122181040074
2024,strong GO,up,59,0.6,0.3898305084745763,0.23389830508474574,0.7796610169491526,0.42060585170930237
2024,strong GO,up,59,0.65,0.3559322033898305,0.23135593220338985,0.711864406779661,0.41790567537496953
2024,strong GO,up,59,0.7,0.3050847457627119,0.21355932203389827,0.6610169491525424,0.42756609526885087
2024,strong GO,up,59,0.75,0.2711864406779661,0.2033898305084746,0.6101694915254238,0.43473292271160124
2024,strong GO,up,59,0.8,0.23728813559322035,0.18983050847457633,0.5423728813559322,0.3934717425231683
2024,strong GO,up,59,0.85,0.1864406779661017,0.15847457627118644,0.4745762711864407,0.3776128756629853
2024,strong GO,up,59,0.9,0.15254237288135594,0.13728813559322034,0.3559322033898305,0.2863138023564453
2024,strong GO,up,59,0.95,0.13559322033898305,0.1288135593220339,0.3050847457627119,0.24170633852270276
2024,strong GO,up,59,1.0,0.11864406779661017,0.11864406779661017,0.2711864406779661,0.22769502545226297
2024,strong GO,up,59,1.05,0.1016949152542373,0.10677966101694915,0.2542372881355932,0.22487257012949705
2024,strong GO,up,59,1.1,0.0847457627118644,0.09322033898305085,0.22033898305084745,0.20158274517039898
2024,strong GO,up,59,1.15,0.06779661016949153,0.07796610169491525,0.1694915254237288,0.16081698000942524
2024,strong GO,up,59,1.2,0.05084745762711865,0.06101694915254237,0.13559322033898305,0.12341656503306034
2024,strong GO,up,59,1.25,0.01694915254237288,0.0211864406779661,0.0847457627118644,0.0733909393254917
2024,strong GO,up,59,1.3,0.01694915254237288,0.022033898305084745,0.06779661016949153,0.05823623636080242
2024,strong GO,up,59,1.35,0.01694915254237288,0.02288135593220339,0.05084745762711865,0.03631279932270644
2024,strong GO,up,59,1.4,0.01694915254237288,0.02372881355932203,0.05084745762711865,0.03789312271256185
2024,strong GO,up,59,1.45,0.01694915254237288,0.024576271186440676,0.05084745762711865,0.03947344610241727
2024,strong GO,up,59,1.5,0.01694915254237288,0.025423728813559324,0.05084745762711865,0.041053769492272685
2024,strong GO,dn,59,0.1,0.847457627118644,0.08474576271186439,1.0,-0.010970037745126048
2024,strong GO,dn,59,0.15,0.7457627118644068,0.11186440677966103,1.0,0.0460449433823109
2024,strong GO,dn,59,0.2,0.6949152542372882,0.13898305084745763,1.0,0.1030599245097479
2024,strong GO,dn,59,0.25,0.5932203389830508,0.1483050847457627,1.0,0.16007490563718485
2024,strong GO,dn,59,0.3,0.5423728813559322,0.16271186440677968,1.0,0.21708988676462188
2024,strong GO,dn,59,0.35,0.4745762711864407,0.16610169491525423,0.9661016949152542,0.2644766789024508
2024,strong GO,dn,59,0.4,0.3898305084745763,0.15593220338983052,0.9152542372881356,0.29872047809821767
2024,strong GO,dn,59,0.45,0.3898305084745763,0.1754237288135593,0.8813559322033898,0.34002253207898125
2024,strong GO,dn,59,0.5,0.3559322033898305,0.17796610169491525,0.8305084745762712,0.3713559379393118
2024,strong GO,dn,59,0.55,0.3389830508474576,0.18644067796610173,0.7966101694915254,0.3989387051955108
2024,strong GO,dn,59,0.6,0.3389830508474576,0.20338983050847453,0.7288135593220338,0.40773688783189826
2024,strong GO,dn,59,0.65,0.2711864406779661,0.17627118644067796,0.5932203389830508,0.38136659441144544
2024,strong GO,dn,59,0.7,0.23728813559322035,0.16610169491525423,0.5423728813559322,0.37870489274086633
2024,strong GO,dn,59,0.75,0.2033898305084746,0.15254237288135594,0.4915254237288136,0.375891367904559
2024,strong GO,dn,59,0.8,0.2033898305084746,0.16271186440677968,0.423728813559322,0.34487052639206095
2024,strong GO,dn,59,0.85,0.1864406779661017,0.15847457627118644,0.3559322033898305,0.31504492320084226
2024,strong GO,dn,59,0.9,0.1864406779661017,0.16779661016949154,0.3050847457627119,0.29404785714856174
2024,strong GO,dn,59,0.95,0.1864406779661017,0.1771186440677966,0.3050847457627119,0.31250249328016727
2024,strong GO,dn,59,1.0,0.15254237288135594,0.15254237288135594,0.23728813559322035,0.26059952356305155
2024,strong GO,dn,59,1.05,0.15254237288135594,0.16016949152542376,0.2033898305084746,0.2459826463728961
2024,strong GO,dn,59,1.1,0.15254237288135594,0.16779661016949157,0.15254237288135594,0.20192517459585338
2024,strong GO,dn,59,1.15,0.15254237288135594,0.17542372881355928,0.13559322033898305,0.1943919212267658
2024,strong GO,dn,59,1.2,0.13559322033898305,0.16271186440677962,0.1016949152542373,0.1607893500304113
2024,strong GO,dn,59,1.25,0.11864406779661017,0.1483050847457627,0.1016949152542373,0.1680185672986276
2024,strong GO,dn,59,1.3,0.11864406779661017,0.15423728813559323,0.0847457627118644,0.16970362394885208
2024,strong GO,dn,59,1.35,0.1016949152542373,0.13728813559322037,0.0847457627118644,0.17663811795992265
2024,strong GO,dn,59,1.4,0.0847457627118644,0.11864406779661016,0.0847457627118644,0.18357261197099323
2024,strong GO,dn,59,1.45,0.0847457627118644,0.1228813559322034,0.06779661016949153,0.13883669171855623
2024,strong GO,dn,59,1.5,0.0847457627118644,0.1271186440677966,0.05084745762711865,0.1026480626127986
2025,deep STOP,up,86,0.1,0.813953488372093,0.08139534883720928,1.0,-0.035791912385416576
2025,deep STOP,up,86,0.15,0.7209302325581395,0.10813953488372095,1.0,0.008812131421875124
2025,deep STOP,up,86,0.2,0.6976744186046512,0.1395348837209302,1.0,0.05341617522916687
2025,deep STOP,up,86,0.25,0.627906976744186,0.1569767441860465,1.0,0.09802021903645855
2025,deep STOP,up,86,0.3,0.5465116279069767,0.16395348837209306,0.9883720930232558,0.1382190343058934
2025,deep STOP,up,86,0.35,0.5,0.17499999999999996,0.9883720930232558,0.18184662529486012
2025,deep STOP,up,86,0.4,0.3953488372093023,0.15813953488372096,0.9883720930232558,0.2254742162838269
2025,deep STOP,up,86,0.45,0.313953488372093,0.14127906976744184,0.9302325581395349,0.24647368318395532
2025,deep STOP,up,86,0.5,0.2558139534883721,0.12790697674418605,0.8488372093023255,0.2510694652447399
2025,deep STOP,up,86,0.55,0.18604651162790697,0.10232558139534885,0.7558139534883721,0.23899412317458865
2025,deep STOP,up,86,0.6,0.1744186046511628,0.10465116279069765,0.6976744186046512,0.24422413598009596
2025,deep STOP,up,86,0.65,0.1511627906976744,0.09825581395348838,0.5930232558139535,0.2171019019850351
2025,deep STOP,up,86,0.7,0.11627906976744186,0.0813953488372093,0.5581395348837209,0.22065843064443685
2025,deep STOP,up,86,0.75,0.10465116279069768,0.07848837209302326,0.4883720930232558,0.20556132210951816
2025,deep STOP,up,86,0.8,0.08139534883720931,0.06511627906976745,0.4069767441860465,0.18301408699807356
