tier,dir,N,m,P_A,ER_A,P_Best,ER_Best,P_Bsat,ER_Bsat
deep STOP,dn,430,1.25,0.018604651162790697,0.023255813953488372,0.05581395348837209,0.04837371655628318,0.10930232558139535,0.07998172333097968
deep STOP,dn,430,1.3,0.011627906976744186,0.015116279069767442,0.044186046511627906,0.03914634699667847,0.09069767441860466,0.06601370598666766
deep STOP,dn,430,1.35,0.011627906976744186,0.015697674418604653,0.03953488372093023,0.03753451844106905,0.07906976744186046,0.05966681008968185
deep STOP,dn,430,1.4,0.011627906976744186,0.016279069767441857,0.03255813953488372,0.03244079283325795,0.06046511627906977,0.04539683827112722
deep STOP,dn,430,1.45,0.011627906976744186,0.01686046511627907,0.030232558139534883,0.03125351327681492,0.06046511627906977,0.04728808747848476
deep STOP,dn,430,1.5,0.011627906976744186,0.01744186046511628,0.020930232558139535,0.021748368356938337,0.053488372093023255,0.04358096127366504
mid STOP,up,299,0.1,0.8795986622073578,0.08795986622073577,1.0,0.08995989322175797,1.0,-0.035040106778242035
mid STOP,up,299,0.15,0.7993311036789298,0.11989966555183947,1.0,0.13493983983263694,1.0,0.009939839832636937
mid STOP,up,299,0.2,0.7324414715719063,0.14648829431438126,1.0,0.17991978644351594,1.0,0.05491978644351594
mid STOP,up,299,0.25,0.6488294314381271,0.16220735785953178,0.9933110367892977,0.22342347459386624,1.0,0.09989973305439491
mid STOP,up,299,0.3,0.5719063545150501,0.17157190635451505,0.9765886287625418,0.2633619156409583,1.0,0.14487967966527387
mid STOP,up,299,0.35,0.4882943143812709,0.1709030100334448,0.9297658862876255,0.28974619341948865,1.0,0.18985962627615285
mid STOP,up,299,0.4,0.431438127090301,0.17257525083612044,0.8729096989966555,0.3078196092373553,0.9866220735785953,0.23047798691458093
mid STOP,up,299,0.45,0.35785953177257523,0.16103678929765888,0.8160535117056856,0.324255747977626,0.9665551839464883,0.26726708580615743
mid STOP,up,299,0.5,0.32441471571906355,0.16220735785953178,0.7558528428093646,0.3303543309249852,0.8996655518394648,0.28328293778995356
mid STOP,up,299,0.55,0.2709030100334448,0.14899665551839467,0.6688963210702341,0.31813503467161786,0.862876254180602,0.30665970893576644
mid STOP,up,299,0.6,0.2040133779264214,0.12240802675585284,0.6020066889632107,0.3079224424510015,0.8127090301003345,0.32201869891011875
mid STOP,up,299,0.65,0.1806020066889632,0.11739130434782606,0.5250836120401338,0.2903731015703289,0.7290969899665551,0.31641147477262405
mid STOP,up,299,0.7,0.14715719063545152,0.10301003344481603,0.46153846153846156,0.274823252594334,0.6521739130434783,0.30440447324737263
mid STOP,up,299,0.75,0.12040133779264214,0.0903010033444816,0.3979933110367893,0.251523322784653,0.5886287625418061,0.29692735157577693
mid STOP,up,299,0.8,0.0802675585284281,0.06421404682274248,0.3177257525083612,0.2124383882625615,0.5384615384615384,0.29258964160084083
mid STOP,up,299,0.85,0.06354515050167224,0.0540133779264214,0.2608695652173913,0.18325765710002387,0.48494983277591974,0.28089846405957153
mid STOP,up,299,0.9,0.06020066889632107,0.05418060200668896,0.21739130434782608,0.1603944891003607,0.39464882943143814,0.2415904640081651
mid STOP,up,299,0.95,0.046822742474916385,0.044481605351170565,0.1605351170568562,0.12414746451243618,0.3311036789297659,0.21430375392173942
mid STOP,up,299,1.0,0.03678929765886288,0.03678929765886288,0.13712374581939799,0.10751928759777064,0.26421404682274247,0.18045062362266698
mid STOP,up,299,1.05,0.026755852842809364,0.028093645484949834,0.11036789297658862,0.08698397349568489,0.22408026755852842,0.15649609071734494
mid STOP,up,299,1.1,0.023411371237458192,0.02575250836120402,0.07692307692307693,0.06542556086653906,0.17391304347826086,0.12116909692386058
mid STOP,up,299,1.15,0.020066889632107024,0.023076923076923075,0.06688963210702341,0.057036124911235775,0.15384615384615385,0.11007049528016791
mid STOP,up,299,1.2,0.013377926421404682,0.016053511705685617,0.05351170568561873,0.04993504731070552,0.12374581939799331,0.09247122776451117
mid STOP,up,299,1.25,0.010033444816053512,0.01254180602006689,0.046822742474916385,0.04707235845844216,0.10367892976588629,0.07807911682662289
mid STOP,up,299,1.3,0.010033444816053512,0.013043478260869566,0.03678929765886288,0.03830561921998599,0.07357859531772576,0.05914340587141707
mid STOP,up,299,1.35,0.010033444816053512,0.013545150501672243,0.033444816053511704,0.03621227310752213,0.07023411371237458,0.05789409835225895
mid STOP,up,299,1.4,0.010033444816053512,0.014046822742474914,0.030100334448160536,0.03253842216564288,0.06020066889632107,0.05177693738452973
mid STOP,up,299,1.45,0.010033444816053512,0.014548494983277592,0.026755852842809364,0.029593373588319545,0.05016722408026756,0.04492551545641055
mid STOP,up,299,1.5,0.010033444816053512,0.015050167224080268,0.023411371237458192,0.026465314043876535,0.03678929765886288,0.03435463157156951
mid STOP,dn,299,0.1,0.7993311036789298,0.07993311036789297,1.0,0.08995989322175797,1.0,-0.035040106778242035
mid STOP,dn,299,0.15,0.7224080267558528,0.10836120401337793,1.0,0.13493983983263694,1.0,0.009939839832636937
mid STOP,dn,299,0.2,0.6421404682274248,0.12842809364548494,0.9966555183946488,0.17878643523172622,1.0,0.05491978644351594
mid STOP,dn,299,0.25,0.5852842809364549,0.14632107023411373,0.9832775919732442,0.22003656161867982,1.0,0.09989973305439491
mid STOP,dn,299,0.3,0.5117056856187291,0.15351170568561875,0.9531772575250836,0.2547490699970438,0.9933110367892977,0.14276825030500623
mid STOP,dn,299,0.35,0.44481605351170567,0.15568561872909698,0.903010033444816,0.2815585592196827,0.9933110367892977,0.1872569386222843
mid STOP,dn,299,0.4,0.3712374581939799,0.148494983277592,0.8561872909698997,0.30356907385192405,0.9732441471571907,0.22563457863697575
mid STOP,dn,299,0.45,0.31438127090301005,0.1414715719063545,0.7525083612040134,0.3002799476423701,0.9565217391304348,0.26400926561699367
mid STOP,dn,299,0.5,0.2842809364548495,0.14214046822742474,0.6722408026755853,0.29634313161941217,0.903010033444816,0.2871306066864551
mid STOP,dn,299,0.55,0.24749163879598662,0.13612040133779266,0.6020066889632107,0.2878415607614862,0.8361204013377926,0.30007798615194314
mid STOP,dn,299,0.6,0.2040133779264214,0.12240802675585283,0.5384615384615384,0.2787806810640873,0.7491638795986622,0.29615961900309745
mid STOP,dn,299,0.65,0.16387959866220736,0.1065217391304348,0.4916387959866221,0.2744894117894631,0.6655518394648829,0.2895742470321541
mid STOP,dn,299,0.7,0.12374581939799331,0.08662207357859532,0.43478260869565216,0.26211642386435124,0.6220735785953178,0.29304006719941333
mid STOP,dn,299,0.75,0.11371237458193979,0.08528428093645485,0.35451505016722407,0.22246753959658694,0.5618729096989966,0.2886202168693297
mid STOP,dn,299,0.8,0.09364548494983277,0.07491638795986623,0.29431438127090304,0.19793703921912062,0.49498327759197325,0.27529473377081143
mid STOP,dn,299,0.85,0.08695652173913043,0.07391304347826087,0.23076923076923078,0.1649981417411945,0.43812709030100333,0.25412161072503325
mid STOP,dn,299,0.9,0.0802675585284281,0.07224080267558529,0.21739130434782608,0.16120056987433765,0.3779264214046823,0.23341177104725724
mid STOP,dn,299,0.95,0.06354515050167224,0.06036789297658862,0.18394648829431437,0.14269175964300185,0.2976588628762542,0.19463011073675396
