split,score,top_pct,threshold,hold_days,mode,n_trades,win_rate,mean_ret,median_ret,best,worst,total_pnl,sharpe,maxdd,cagr,final_equity
IS,comp_pct,10,78.993,120,single_tranche,3,0.6666666666666666,0.1690738359758448,0.0025815352435833994,0.5171426101679928,-0.01250263748404179,0.5072215079275344,1.3777024021659663,-0.20835050419539436,0.101782749575561,1.5020419159253295
OOS,comp_pct,10,78.993,120,single_tranche,1,1.0,0.5773846284047734,0.5773846284047734,0.5773846284047734,0.5773846284047734,0.5773846284047734,4.369154147542583,-0.05684920191152587,1.677880441467404,1.5773846284047737
IS,comp_pct,10,78.993,120,continuous,80,0.9625,0.11719038220145854,0.07992135605099626,0.5171426101679928,-0.01250263748404179,9.375230576116683,1.263550906714519,-0.20835050419539436,0.11291918277947643,1.571856815922207
OOS,comp_pct,10,78.993,120,continuous,1,1.0,0.5773846284047734,0.5773846284047734,0.5773846284047734,0.5773846284047734,0.5773846284047734,4.369154147542583,-0.05684920191152587,1.677880441467404,1.5773846284047737
IS,comp_pct,10,78.993,250,single_tranche,2,1.0,0.5641825096823877,0.5641825096823877,1.0231506696553772,0.10521434970939825,1.1283650193647754,2.2324139571376986,-0.13273253005863572,0.3837094808476069,2.2360151517273015
OOS,comp_pct,10,78.993,250,single_tranche,1,1.0,1.362450172683535,1.362450172683535,1.362450172683535,1.362450172683535,1.362450172683535,3.745910642611869,-0.10844119391607743,1.310230048604505,2.362450172683536
IS,comp_pct,10,78.993,250,continuous,70,1.0,0.3628711837350068,0.28080400000776773,1.0231506696553772,0.10521434970939825,25.400982861450476,2.1511832652751917,-0.13273253005863572,0.4131010072409811,2.495586731422876
OOS,comp_pct,10,78.993,250,continuous,1,1.0,1.362450172683535,1.362450172683535,1.362450172683535,1.362450172683535,1.362450172683535,3.745910642611869,-0.10844119391607743,1.310230048604505,2.362450172683536
IS,comp_pct,15,75.236,60,single_tranche,5,0.6,0.03475132964098482,0.06983367644710436,0.1399298633647139,-0.11264215552431767,0.1737566482049241,0.6426628181541342,-0.16964636184595472,0.03671182719835375,1.1637171069784782
OOS,comp_pct,15,75.236,60,single_tranche,1,1.0,0.28730832545191487,0.28730832545191487,0.28730832545191487,0.28730832545191487,0.28730832545191487,3.7344155210802534,-0.05684920191152576,1.960141622234703,1.2873083254519162
IS,comp_pct,15,75.236,60,continuous,128,0.6328125,0.05781762795700906,0.041159687450194604,0.29686337209110514,-0.159139873202906,7.4006563784971595,0.6701130480233454,-0.20835050419539458,0.04588163108184995,1.2085112687231898
OOS,comp_pct,15,75.236,60,continuous,19,1.0,0.23150377701020552,0.22254394321516768,0.33679897743549225,0.17532648941886575,4.398571763193905,3.614343489117463,-0.05684920191152576,1.5734831233352953,1.3431665231724885
IS,comp_pct,15,75.236,120,single_tranche,3,0.6666666666666666,0.08107375753844163,0.0025815352435833994,0.26659156988108657,-0.025951832509345074,0.2432212726153249,0.7433711406081359,-0.20835050419539447,0.052382368938614254,1.2369060923541477
OOS,comp_pct,15,75.236,120,single_tranche,1,1.0,0.5297905405288605,0.5297905405288605,0.5297905405288605,0.5297905405288605,0.5297905405288605,3.9270005449874295,-0.05684920191152576,1.506308240263742,1.5297905405288617
IS,comp_pct,15,75.236,120,continuous,113,0.911504424778761,0.1402722681006936,0.09144436817190016,0.5171426101679928,-0.033932685487303216,15.850766295378376,0.7877972189888158,-0.20835050419539491,0.07049000252544291,1.3336837640252852
OOS,comp_pct,15,75.236,120,continuous,19,1.0,0.513031568298605,0.5206612271390161,0.5773846284047734,0.42228840619979024,9.747599797673494,4.19253696132329,-0.05684920191152576,1.566171495457072,1.6927579994657502
IS,comp_pct,15,75.236,250,single_tranche,2,1.0,0.3763566746193655,0.3763566746193655,0.6474989995293328,0.10521434970939825,0.752713349238731,1.6132762178800542,-0.16555075001712394,0.27603377722008915,1.8208395354116953
OOS,comp_pct,15,75.236,250,single_tranche,1,1.0,1.2431071697636633,1.2431071697636633,1.2431071697636633,1.2431071697636633,1.2431071697636633,3.4584483778816475,-0.10844119391607765,1.2057700939487432,2.243107169763665
IS,comp_pct,15,75.236,250,continuous,96,1.0,0.4374742141184424,0.33555904605297915,1.0231506696553772,0.10521434970939825,41.99752455537047,1.662867539004916,-0.17655249269152506,0.31772619250731404,2.0854786393497045
OOS,comp_pct,15,75.236,250,continuous,10,1.0,1.2627027310283905,1.2735655602129283,1.362450172683535,1.143684133668275,12.627027310283905,3.6058306738032995,-0.10844119391607765,1.3008356986996894,2.4123730859491683
IS,comp_pct,20,70.915,60,single_tranche,6,0.6666666666666666,0.038220089039095496,0.011757572691464824,0.19482474385031745,-0.11071857601965984,0.229320534234573,0.6947817807445567,-0.2225388712265799,0.04902461416256054,1.218796533622445
OOS,comp_pct,20,70.915,60,single_tranche,1,1.0,0.22853540508482362,0.22853540508482362,0.22853540508482362,0.22853540508482362,0.22853540508482362,2.9903787742717567,-0.05684920191152587,1.421609466836081,1.2285354050848238
IS,comp_pct,20,70.915,60,continuous,175,0.6628571428571428,0.06596491605908907,0.04923775493765281,0.29686337209110514,-0.16879574422814603,11.543860310340587,0.4240820523995083,-0.24173140251723046,0.0283219615729966,1.1255694729058847
OOS,comp_pct,20,70.915,60,continuous,34,1.0,0.21361199636951914,0.20753079203252855,0.33679897743549225,0.14865781966521352,7.262807876563651,3.3419714727291865,-0.05684920191152587,1.2413431905059622,1.4241060593733457
IS,comp_pct,20,70.915,120,single_tranche,3,0.3333333333333333,0.0067317288500773715,-0.01029129085740621,0.1944042166905504,-0.1639177392829121,0.020195186550232114,0.08305640295674972,-0.2417314025172309,-0.0028740191821032823,0.988343086995864
OOS,comp_pct,20,70.915,120,single_tranche,1,1.0,0.48513925069039754,0.48513925069039754,0.48513925069039754,0.48513925069039754,0.48513925069039754,3.5821189693256055,-0.05684920191152587,1.3508804212837826,1.4851392506903978
IS,comp_pct,20,70.915,120,continuous,145,0.903448275862069,0.16696339594621057,0.11839301247577394,0.5171426101679928,-0.1639177392829121,24.209692412200532,0.6932201119998778,-0.24173140251723102,0.06570469807532286,1.309347030591871
OOS,comp_pct,20,70.915,120,continuous,34,1.0,0.47184114919089853,0.4924370775643513,0.5773846284047734,0.34871778608321424,16.04259907249055,3.1334946364790284,-0.08030889760978088,1.0231284249211159,1.613563064761647
IS,comp_pct,20,70.915,250,single_tranche,2,1.0,0.33400374519269094,0.33400374519269094,0.5920794055291638,0.07592808485621805,0.6680074903853819,1.4463507374250866,-0.2056778679633996,0.2453350500131226,1.7129629457300175
OOS,comp_pct,20,70.915,250,single_tranche,1,1.0,1.1920988682803997,1.1920988682803997,1.1920988682803997,1.1920988682803997,1.1920988682803997,3.3346019516679406,-0.10844119391607776,1.156641326982708,2.192098868280396
IS,comp_pct,20,70.915,250,continuous,125,1.0,0.48964443149975084,0.3737433568403612,1.0231506696553772,0.07592808485621805,61.205553937468856,1.3557627637406902,-0.25374782037008214,0.25541285522361656,1.86175258960088
OOS,comp_pct,20,70.915,250,continuous,11,1.0,1.2562841980513004,1.2431071697636633,1.362450172683535,1.143684133668275,13.819126178564304,3.435270579906929,-0.10844119391607776,1.225371769441269,2.3339405597573633
IS,comp_z,5,5.593,60,single_tranche,2,0.5,0.017870139528859463,0.017870139528859463,0.1520052102991183,-0.11626493124139936,0.03574027905771893,0.27440669793298084,-0.21865297159627017,0.010761607233739756,1.0180674037339577
OOS,comp_z,5,5.593,60,single_tranche,1,1.0,0.33679897743549225,0.33679897743549225,0.33679897743549225,0.33679897743549225,0.33679897743549225,4.519516861785775,-0.05684920191152587,2.4810756986812064,1.3367989774354927
IS,comp_z,5,5.593,60,continuous,53,0.6037735849056604,0.06045254728261051,0.013245105951842806,0.29686337209110514,-0.13273253005863572,3.203985005978357,1.116534556992058,-0.1548961707706109,0.0993756014833429,1.180278627518899
OOS,comp_z,5,5.593,60,continuous,1,1.0,0.33679897743549225,0.33679897743549225,0.33679897743549225,0.33679897743549225,0.33679897743549225,4.519516861785775,-0.05684920191152587,2.4810756986812064,1.3367989774354927
IS,comp_z,5,5.593,120,single_tranche,2,1.0,0.17477375750134316,0.17477375750134316,0.3421515188220885,0.00739599618059783,0.3495475150026863,1.4987184321711624,-0.1327325300586355,0.17045534951640362,1.3520780663290781
OOS,comp_z,5,5.593,120,single_tranche,1,1.0,0.5773846284047734,0.5773846284047734,0.5773846284047734,0.5773846284047734,0.5773846284047734,4.369154147542583,-0.05684920191152587,1.677880441467404,1.5773846284047737
IS,comp_z,5,5.593,120,continuous,53,1.0,0.17805918749647157,0.09332108643389181,0.5171426101679928,0.00739599618059783,9.437136937312992,1.1782909872078564,-0.18043353097773496,0.14335098123099455,1.3060533581519842
OOS,comp_z,5,5.593,120,continuous,1,1.0,0.5773846284047734,0.5773846284047734,0.5773846284047734,0.5773846284047734,0.5773846284047734,4.369154147542583,-0.05684920191152587,1.677880441467404,1.5773846284047737
IS,comp_z,5,5.593,250,single_tranche,2,1.0,0.4484442311790935,0.4484442311790935,0.7888140074187076,0.10807445493947943,0.896888462358187,1.8508986581337996,-0.1327325300586355,0.320447287961813,1.9821391062585856
OOS,comp_z,5,5.593,250,single_tranche,1,1.0,1.362450172683535,1.362450172683535,1.362450172683535,1.362450172683535,1.362450172683535,3.745910642611869,-0.10844119391607743,1.310230048604505,2.362450172683536
IS,comp_z,5,5.593,250,continuous,53,1.0,0.45548096792414267,0.2545990268630849,1.0231506696553772,0.10807445493947943,24.140491299979562,1.9933009477366772,-0.1327325300586355,0.3643411621696917,2.2056726751045397
OOS,comp_z,5,5.593,250,continuous,1,1.0,1.362450172683535,1.362450172683535,1.362450172683535,1.362450172683535,1.362450172683535,3.745910642611869,-0.10844119391607743,1.310230048604505,2.362450172683536
IS,comp_z,10,3.97,60,single_tranche,4,0.5,0.02054517339179096,0.027446492863383798,0.1399298633647139,-0.11264215552431767,0.08218069356716384,0.3928231840748687,-0.16964636184595472,0.015737143997677228,1.063767806301578
