d,lvl,tk,ema20,swing_at_tk,up_full,satcons,cont,W5_level,W5_slope,W5_ddpeak,W5_frozen,W10_level,W10_slope,W10_ddpeak,W10_frozen,is_seg,tk_min
2025-11-28,L3,10:56:00,296.3234592542108,215.0,296.0,0.7255584844383016,1.0,0.08040764388524012,0.01584373133447682,0.03939696381626853,-0.043169586938007945,0.10996764512141365,0.021695741733559537,0.02042341785497674,-0.0708651127002437,IS,656
2025-11-28,L4,13:01:00,296.3234592542108,294.0,296.0,0.9921590438365613,0.0,0.1490548040919066,0.05913646754854485,0.009926504524277319,-0.043169586938007945,0.17732367225763557,0.04875193986505255,6.549163483496323e-05,-0.0708651127002437,IS,781
2025-12-05,L3,12:36:00,275.2102000258789,201.0,256.0,0.7303508372186035,0.0,0.23469575799204243,0.09952913604051317,0.010950019376423287,0.01643331227796152,0.29884342507743267,0.07248844531862861,0.009041776610526076,-0.023763066747048825,IS,756
2025-12-08,L3,10:26:00,273.3806571662714,196.0,279.0,0.7169490410610575,1.0,0.2540709206867525,-0.036695689497702466,0.04400422400641846,0.09476200559818276,0.2064321569325049,-0.02745139780079839,0.02745139780079839,0.08391361551807108,IS,626
2025-12-08,L4,12:52:00,273.3806571662714,274.0,279.0,1.0022654961771926,0.0,0.461625564862378,-0.00632336960096852,0.00632336960096852,0.09476200559818276,0.3709876342476809,-0.0005813353591126447,0.009275274885968632,0.08391361551807108,IS,772
2025-12-15,L3,10:13:00,273.1508025459575,195.0,229.0,0.7138913676345188,0.0,0.2141850194962644,0.001918810213929395,0.10056059568165587,0.17859198711220134,0.2070050008121597,0.026112326307386552,0.05746379398967491,0.15255950587745973,IS,613
2025-12-16,L3,12:24:00,268.9459642082473,263.0,278.0,0.977891602776968,1.0,-0.07129031459193655,0.22221362771009964,0.2857648174044162,0.21447450281247968,-0.13948018069764226,0.17781038244493527,0.29392018349256577,0.14013064654903112,IS,744
2025-12-16,L4,12:24:00,268.9459642082473,263.0,278.0,0.977891602776968,0.0,-0.07129031459193655,0.22221362771009964,0.2857648174044162,0.21447450281247968,-0.13948018069764226,0.17781038244493527,0.29392018349256577,0.14013064654903112,IS,744
2025-12-18,L3,09:47:00,269.540800633055,215.0,215.0,0.7976528952019205,0.0,0.5307734599944323,0.1468168294889176,0.0,0.166882584470182,0.42785931369460073,0.12467096336072037,0.0,0.13951831828256642,IS,587
2025-12-22,L3,10:56:00,257.67852387422414,186.0,198.0,0.7218296550425318,0.0,-0.21515449319717062,0.030264146188348745,0.19666014625543504,-0.018494346941735584,-0.10804290395309853,0.021034530152916106,0.12049963761993393,0.011150202876891304,IS,656
2025-12-26,L3,11:27:00,231.41075426555486,171.0,178.0,0.7389457786554265,0.0,-0.027101831948226615,0.019886144060132963,0.09835917266535459,-0.1515387856497609,-0.05778341594866688,0.014336264333116099,0.09318956477295295,-0.11978409866537355,IS,687
2025-12-29,L3,09:50:00,226.32401576407344,175.0,285.0,0.7732277081121827,1.0,0.3541054077464042,0.08001831586611385,0.0,0.12668540575948448,0.1929802595458001,0.05845905975769847,0.002406615126569339,0.06668703794794056,IS,590
2025-12-29,L4,11:33:00,226.32401576407344,230.0,285.0,1.0162421306617258,1.0,0.3577290903709221,0.08398550282030415,0.0007574373529777856,0.12668540575948448,0.2209883570906793,0.06575854524782213,0.0,0.06668703794794056,IS,693
2025-12-29,L5,12:14:00,226.32401576407344,285.0,285.0,1.259256553211269,,0.3664315651003439,0.024648928348172616,0.0,0.12668540575948448,0.24478719864128604,0.027744559105265215,0.0,0.06668703794794056,IS,734
2025-12-30,L3,11:32:00,231.91220473892358,173.0,237.0,0.7459719517338714,1.0,0.6089779338217527,0.18913909637074833,0.0,0.13836246834419968,0.4715790052315799,0.14998075175343295,0.0,0.10144820317779686,IS,692
2025-12-30,L4,12:15:00,231.91220473892358,227.0,237.0,0.9788186881132301,0.0,0.5084975593481343,-0.07147671810189749,0.10435805942885301,0.13836246834419968,0.3730142853891284,-0.05150375268220214,0.10542222581707589,0.10144820317779686,IS,735
2025-12-31,L3,09:48:00,232.3967566685499,166.0,271.0,0.7142956828642552,1.0,0.32315753355531146,-0.026173677251126293,0.08088123632915611,0.30958634924636624,0.2507359028839895,-0.019514619840723446,0.05082249042818521,0.23536301774502072,IS,588
2025-12-31,L4,11:11:00,232.3967566685499,232.0,271.0,0.9982927615934168,0.0,0.33543815511396763,0.0398753763310179,0.06860061477049995,0.30958634924636624,0.22649531515574944,0.02864384716009563,0.07506307815642527,0.23536301774502072,IS,671
2026-01-02,L3,09:36:00,236.0732560334499,169.0,474.0,0.7158794809694746,1.0,0.24232532570177234,-0.015369253917229764,0.1006172903287546,0.020707618073965203,0.16241592196541546,-0.010571504132371928,0.07193878091924955,-0.01832787074255745,IS,576
2026-01-02,L4,10:04:00,236.0732560334499,231.0,474.0,0.9785098231002878,1.0,0.32122573937310966,0.016393410300817313,0.09148098263589871,0.020707618073965203,0.22979678741537668,0.016625700877888894,0.0644649727911723,-0.01832787074255745,IS,604
2026-01-02,L5,10:22:00,236.0732560334499,302.0,474.0,1.2792639245726707,,0.587620781011041,0.11291024934919547,0.0,0.020707618073965203,0.4309452580874408,0.08421024452066289,0.0,-0.01832787074255745,IS,622
2026-01-05,L3,09:22:00,258.73294593502607,198.0,637.0,0.7652678296706847,1.0,0.10406710388122031,0.029080639208733675,0.0,0.09681045865598137,0.08611475383652063,0.0318205244524882,0.0,0.07692485537515514,IS,562
2026-01-05,L4,09:36:00,258.73294593502607,257.0,637.0,0.9933021829563937,1.0,0.23048672636941264,0.018321238474109464,0.0,0.09681045865598137,0.22778144302800593,0.01309843190057522,0.0,0.07692485537515514,IS,576
2026-01-05,L5,09:40:00,258.73294593502607,320.0,637.0,1.2367964923970662,,0.32243716648983173,0.10957830730755522,0.0,0.09681045865598137,0.3240931508593041,0.12010721819392878,0.0,0.07692485537515514,IS,580
2026-01-06,L3,10:01:00,294.75837965549977,212.0,489.0,0.7192331571634231,1.0,0.5770913525320682,0.03358013307355012,0.0,0.3211022529799441,0.45718346124171433,-0.009773413439055634,0.023052154549293324,0.1871679496643984,IS,601
2026-01-06,L4,10:47:00,294.75837965549977,309.0,489.0,1.0483162526580083,1.0,0.6074769461718881,0.025718539564167586,0.0,0.3211022529799441,0.5279229623007823,0.02776099357579931,0.0,0.1871679496643984,IS,647
