d,ema20,tk,p_entry,hold_pnl_pts,hold_pnl_pct,rem_min,W10_ddpeak,is_seg,early,ext_ok,take_A,take_B
2025-08-25,256.85321059481004,10:13:00,24233.0,68.3229540182183,0.2819417901960892,212,0.0096321901003211,IS,True,True,True,True
2025-08-26,255.6290953000662,12:54:00,24272.0,-19.0,-0.07827949901120633,51,0.0575856990828587,IS,False,False,False,False
2025-09-01,236.04489553529612,09:33:00,24235.0,-62.78794221238786,-0.2590796047550562,252,0.0,IS,True,True,True,True
2025-09-02,251.46919119860127,12:45:00,24063.0,-66.89080485882732,-0.277981984203247,60,0.4070240150292624,IS,False,False,False,False
2025-09-03,262.7578396558773,09:53:00,24069.0,-69.89358534846178,-0.2903884056191025,232,0.0576327911190907,IS,True,False,True,True
2025-09-09,236.6530633933062,10:10:00,24829.0,-62.94971486261784,-0.2535330253438231,215,0.0,IS,True,True,True,True
2025-09-10,231.06705735584848,10:10:00,25130.0,61.4638372566551,0.24458351474992082,215,0.1536830965236287,IS,True,False,True,True
2025-09-16,224.48542521722703,09:10:00,25576.0,59.71312310778376,0.23347326832883858,275,,IS,True,False,True,True
2025-09-18,220.32480386262802,10:58:00,25652.0,58.60639782745784,0.2284671675793616,167,0.0047150291495352,IS,False,True,False,True
2025-09-22,223.16837685806965,10:54:00,25850.0,59.362788244245166,0.2296432814090722,171,0.0,IS,False,True,False,True
2025-09-23,225.9142457287297,10:05:00,26177.0,60.09318936384079,0.22956484457287235,220,0.0291322827733723,IS,True,True,True,True
2025-09-24,233.44622232599355,10:32:00,26235.0,-62.096695138712676,-0.23669409239074776,193,0.0,IS,False,True,False,True
2025-09-26,237.42423188136888,10:36:00,25674.0,-63.15484568044485,-0.24598755815394896,189,0.0752961909677231,IS,False,False,False,False
2025-09-30,261.5743050355242,09:21:00,25971.0,69.57876513944939,0.26790945723864845,264,0.0438113856445924,IS,True,False,True,True
2025-10-01,260.3767521749981,09:22:00,26257.0,69.26021607855,0.26377810137696617,263,0.0,IS,True,True,True,True
2025-10-03,259.36056130425015,09:48:00,26572.0,68.9899093069289,0.2596338601043538,237,0.0111043308456327,IS,True,True,True,True
2025-10-07,270.46907927527394,08:45:00,27002.0,71.94477508722412,0.2664423934790909,300,,IS,True,False,True,True
2025-10-08,279.09107172524784,12:29:00,27110.0,-17.0,-0.06270748801180376,76,0.0650992079014759,IS,False,False,False,False
2025-10-13,264.32171631023687,08:45:00,26602.0,70.30957653852238,0.26430184399113743,300,,IS,True,False,True,True
2025-10-15,334.1000897686973,09:59:00,27060.0,88.87062387847254,0.3284206351754344,226,0.0,IS,True,True,True,True
2025-10-16,347.90008121929753,09:51:00,27704.0,-92.54142160433184,-0.33403631823683166,234,0.0075725954664198,IS,True,True,True,True
2025-10-17,355.4334068174597,09:05:00,27520.0,-94.54528621344434,-0.34355118536862045,280,,IS,True,False,True,True
2025-10-20,350.2492728348445,09:25:00,27687.0,93.16630657406859,0.33649838037370816,260,0.0,IS,True,True,True,True
2025-10-22,343.1564342253489,12:12:00,27743.0,-39.0,-0.14057600115344412,93,0.0754188550184239,IS,False,False,False,False
2025-10-23,336.28439287055375,10:31:00,27550.0,6.0,0.021778584392014518,194,0.0724467786598839,IS,False,False,False,False
2025-10-29,317.2999298886868,10:36:00,28421.0,-9.0,-0.03166672530875057,189,0.0052374364606361,IS,False,True,False,True
2025-10-30,310.22374608976423,13:24:00,28393.0,5.0,0.017609974289437537,21,0.3342865274197195,IS,False,False,False,False
2025-11-03,305.9155835337979,09:21:00,28557.0,-81.37354521999077,-0.28495130868085156,264,0.0074023973591111,IS,True,True,True,True
2025-11-05,326.7336182668958,10:45:00,27647.0,86.91114245899371,0.31436012029874383,180,0.0990425996648212,IS,False,False,False,False
2025-11-10,319.4583616988055,12:08:00,27944.0,84.97592421188165,0.30409363087561425,97,0.0066651245762067,IS,False,True,False,True
2025-11-18,296.0775131352503,09:46:00,27254.0,-78.75661849397511,-0.28897269572897594,239,0.0,IS,True,True,True,True
2025-11-20,321.97728399506883,11:22:00,27430.0,52.0,0.18957345971563982,143,0.1223574289580246,IS,False,False,False,False
2025-11-26,313.69707903353725,09:26:00,27361.0,-83.44342302291989,-0.30497212464061946,259,0.0335041569270357,IS,True,False,True,True
2025-11-28,296.3234592542108,10:56:00,27767.0,78.82204016161995,0.2838694859423775,169,0.0204234178549767,IS,False,True,False,True
2025-12-05,275.2102000258789,12:36:00,27956.0,60.0,0.21462297896694807,69,0.009041776610526,IS,False,True,False,True
2025-12-08,273.3806571662714,10:26:00,28213.0,72.71925480622667,0.2577508765683432,199,0.0274513978007983,IS,True,True,True,True
2025-12-15,273.1508025459575,10:13:00,27950.0,-72.6581134772241,-0.25995747219042614,212,0.0574637939896749,IS,True,False,True,True
2025-12-16,268.9459642082473,12:24:00,27660.0,-36.0,-0.1301518438177874,81,0.2939201834925657,IS,False,False,False,False
2025-12-18,269.540800633055,09:47:00,27672.0,-71.69785296839109,-0.25909891937117335,238,0.0,IS,True,True,True,True
2025-12-22,257.67852387422414,10:56:00,28350.0,-68.54248735054352,-0.24177244215359267,169,0.1204996376199339,IS,False,False,False,False
2025-12-26,231.41075426555486,11:27:00,28705.0,-61.555260634639126,-0.21444090100901977,138,0.0931895647729529,IS,False,False,False,False
2025-12-29,226.32401576407344,09:50:00,28880.0,60.20218819324509,0.20845633030902042,235,0.0024066151265693,IS,True,True,True,True
2025-12-30,231.91220473892358,11:32:00,28874.0,61.68864646055226,0.21364773311821106,133,0.0,IS,False,True,False,True
2025-12-31,232.3967566685499,09:48:00,28946.0,-61.817537273833295,-0.21356158803922232,237,0.0508224904281852,IS,True,False,True,True
2026-01-02,236.0732560334499,09:36:00,29194.0,62.795486104896554,0.2150972326673171,249,0.0719387809192495,IS,True,False,True,True
2026-01-05,258.73294593502607,09:22:00,30046.0,68.82296361871704,0.22905865545735554,263,0.0,IS,True,True,True,True
2026-01-06,294.75837965549977,10:01:00,30387.0,78.40572898836399,0.25802392137546976,224,0.0230521545492933,IS,True,True,True,True
2026-01-07,313.2575815930712,11:29:00,30672.0,-83.32651670375708,-0.27166965539826904,136,0.0140531682697403,IS,False,True,False,True
2026-01-08,305.1378119175406,09:43:00,30593.0,-81.16665797006499,-0.26531120834852745,242,0.0,IS,True,True,True,True
2026-01-09,305.6008774492034,09:47:00,30217.0,81.28983340148989,0.26902019856865306,238,0.3629801920361455,IS,True,False,True,True
2026-01-13,319.3467500207765,11:23:00,30862.0,-84.94623550552569,-0.27524540051041957,142,0.3908657272869502,IS,False,False,False,False
2026-01-15,336.78498130952454,13:19:00,30974.0,76.0,0.24536708206883193,26,0.0287195037743561,IS,False,True,False,True
2026-01-16,334.51974499433175,10:39:00,31393.0,88.98225216849096,0.28344615732325984,186,0.0086268494482172,IS,False,True,False,True
2026-01-19,338.75595975677635,09:28:00,31444.0,-90.10908529530207,-0.28657004609878534,257,0.0070031075695013,IS,True,True,True,True
2026-01-20,360.39824930375005,10:11:00,31584.0,95.86593431479923,0.30352689436043323,214,0.0676713648541582,IS,True,False,True,True
2026-01-21,365.50317794148816,09:30:00,31696.0,97.2238453324353,0.30673853272474544,255,0.1264441332592418,IS,True,False,True,True
2026-01-23,361.91529985686446,11:16:00,32128.0,25.0,0.07781374501992032,149,0.0,IS,False,True,False,True
