date,session_open,vwap_t1,vwap_t2,or_high,or_low,brk_time,day_low,max_decline,EmaHL,reach_ratio,L2,L3,L4,L5
2022-10-19,13125.0,13088.931916367415,12923.85907246328,13139.0,13084.0,08:59:00,12967.0,201.0,181.2714684152724,1.108834179792331,1.0,1.0,1.0,0.0
2022-10-24,13100.0,12877.046820418262,12769.67222638272,13126.0,13065.0,08:58:00,12864.0,262.0,186.4791061289659,1.4049831396060268,1.0,1.0,1.0,1.0
2022-11-01,12960.0,12923.609037105773,12835.24946464605,12986.0,12943.0,09:00:00,12934.0,90.0,186.34785728422654,0.4829677212908746,0.0,0.0,0.0,0.0
2022-11-02,13033.0,13026.756508254237,12923.609037105773,13047.0,13024.0,09:02:00,13015.0,61.0,183.93377563810972,0.33164110174097494,0.0,0.0,0.0,0.0
2022-11-07,13156.0,12943.489311336902,12939.06595526536,13175.0,13133.0,09:01:00,13096.0,79.0,172.2036245655755,0.45875921717267126,0.0,0.0,0.0,0.0
2022-11-14,14159.0,13983.48858639305,13507.63645711549,14177.0,14116.0,08:58:00,14080.0,97.0,160.09212568033865,0.6059011309131042,1.0,0.0,0.0,0.0
2022-11-16,14620.0,14422.826740182505,14139.887192899712,14646.0,14586.0,09:12:00,14451.0,195.0,175.53119585170577,1.1109136416112728,1.0,1.0,1.0,0.0
2022-11-23,14615.0,14451.348055036522,14459.540368722186,14635.0,14596.0,09:09:00,14543.0,94.0,176.37968564372252,0.5329411925014707,1.0,0.0,0.0,0.0
2022-11-24,14690.0,14596.136233126763,14451.348055036522,14710.0,14677.0,09:13:00,14656.0,59.0,169.0101917728918,0.34909137360947745,0.0,0.0,0.0,0.0
2022-12-13,14660.0,14543.95851846749,14657.211049030786,14687.0,14625.0,09:01:00,14496.0,191.0,170.11861851421818,1.1227460090386086,1.0,1.0,1.0,0.0
2022-12-14,14609.0,14568.521366625924,14543.95851846749,14635.0,14598.0,09:02:00,14576.0,64.0,172.10732151286408,0.37186099601937245,0.0,0.0,0.0,0.0
2022-12-22,14311.0,14234.46623737485,14281.382499058744,14329.0,14292.0,09:05:00,14285.0,51.0,169.4040409396963,0.30105539228639033,0.0,0.0,0.0,0.0
2022-12-30,14193.0,14001.137835184312,14131.167839112803,14199.0,14177.0,09:13:00,14127.0,86.0,143.2750126937428,0.6002442322851446,1.0,0.0,0.0,0.0
2023-01-04,14205.0,14106.361427910751,14170.851136641408,14215.0,14191.0,09:14:00,14181.0,84.0,152.78974962004798,0.5497751008093682,1.0,0.0,0.0,0.0
2023-01-05,14324.0,14220.91,14106.361427910751,14345.0,14318.0,08:59:00,14239.0,136.0,146.8097734657577,0.9263688430915058,1.0,1.0,0.0,0.0
2023-01-09,14618.0,14344.438701126574,14299.330129609112,14638.0,14608.0,08:59:00,14582.0,56.0,144.0869120660738,0.38865431424000624,0.0,0.0,0.0,0.0
2023-01-11,14855.0,14781.863198654175,14663.826918985218,14884.0,14851.0,09:03:00,14746.0,138.0,143.10062416293118,0.9643563807441977,1.0,1.0,0.0,0.0
2023-01-12,14825.0,14799.249706860273,14781.863198654175,14840.0,14822.0,09:03:00,14709.0,131.0,142.6148504331282,0.9185579173707834,1.0,1.0,0.0,0.0
2023-01-13,15000.0,14771.661392265842,14799.249706860273,15016.0,14991.0,08:59:00,14822.0,194.0,141.5086742014017,1.3709406938820599,1.0,1.0,1.0,1.0
2023-01-16,14935.0,14895.126469527138,14771.661392265842,14958.0,14929.0,09:07:00,14916.0,88.0,146.5078480869825,0.6006504166777054,1.0,0.0,0.0,0.0
2023-01-30,15450.0,14933.317813525156,14949.842483275865,15532.0,15450.0,09:05:00,15349.0,183.0,133.51322711882239,1.3706507134093615,1.0,1.0,1.0,1.0
2023-01-31,15449.0,15428.96473241747,14933.317813525156,15456.0,15435.0,09:00:00,15265.0,191.0,138.22625310750595,1.3817925011064944,1.0,1.0,1.0,1.0
2023-02-02,15549.0,15355.225966787804,15366.348310755224,15555.0,15515.0,09:02:00,15468.0,102.0,139.60924574106497,0.7306106372724103,1.0,1.0,0.0,0.0
