strategy,fraction,period,year,n_trades,wr,ev_pts,ev_pct,pf,total_pts
S003,0.8,OOS,2025,25,52.0,1.72,0.008346281885785059,1.0585034013605443,43.0
S003,0.8,OOS,2026,7,71.42857142857143,68.14285714285714,0.20463286847634926,2.7732342007434942,477.0
S003,0.85,IS,2022,16,68.75,15.1875,0.08557052147041624,2.3806818181818183,243.0
S003,0.85,IS,2023,5,40.0,-5.4,-0.03600682876945971,0.6746987951807228,-27.0
S003,0.85,IS,2024,17,41.17647058823529,-7.235294117647059,-0.03211539390507806,0.8214804063860668,-123.0
S003,0.85,OOS,2025,25,44.0,-10.68,-0.04765713486859381,0.6931034482758621,-267.0
S003,0.85,OOS,2026,8,50.0,45.875,0.13685930620249193,1.9657894736842105,367.0
S003,0.9,IS,2022,16,68.75,19.375,0.1125230497479237,2.7613636363636362,310.0
S003,0.9,IS,2023,5,40.0,0.2,-0.0028687732632167507,1.0120481927710843,1.0
S003,0.9,IS,2024,17,41.17647058823529,-6.9411764705882355,-0.030874600591465066,0.8287373004354136,-118.0
S003,0.9,OOS,2025,25,44.0,-5.08,-0.02213160320840152,0.8540229885057471,-127.0
S003,0.9,OOS,2026,9,66.66666666666666,41.44444444444444,0.12407585438529217,2.1512345679012346,373.0
S003,0.95,IS,2022,16,56.25,20.0625,0.11045214383458231,2.420353982300885,321.0
S003,0.95,IS,2023,6,33.33333333333333,-4.5,-0.028892243946844597,0.7567567567567568,-27.0
S003,0.95,IS,2024,17,41.17647058823529,-11.0,-0.050603517825915996,0.7285921625544267,-187.0
S003,0.95,OOS,2025,26,46.15384615384615,-5.8076923076923075,-0.026696891947462557,0.8264367816091954,-151.0
S003,0.95,OOS,2026,9,66.66666666666666,58.888888888888886,0.17596703853911422,2.6358024691358026,530.0
S003,1.0,IS,2022,16,56.25,20.1875,0.11166772889166326,2.4292035398230087,323.0
S003,1.0,IS,2023,6,33.33333333333333,-2.1666666666666665,-0.009932030435101366,0.8828828828828829,-13.0
S003,1.0,IS,2024,17,41.17647058823529,-6.764705882352941,-0.029191797644021734,0.8330914368650217,-115.0
S003,1.0,OOS,2025,26,46.15384615384615,-4.769230769230769,-0.022325935340146222,0.8574712643678161,-124.0
S003,1.0,OOS,2026,9,66.66666666666666,60.888888888888886,0.18229795557244652,2.691358024691358,548.0
