strategy,mode,fraction,period,n_trades,wr,ev_pts,ev_pct,pf,total_pts
S001,no_satreach,1.0,IS,82,64.63414634146342,30.109756097560975,0.16395905562264218,3.0089503661513426,2469.0
S001,no_satreach,1.0,OOS,36,58.333333333333336,51.416666666666664,0.20645989937408385,2.6720867208672088,1851.0
S001,no_satreach,1.0,2022,28,71.42857142857143,25.714285714285715,0.16697705828832568,3.4,720.0
S001,no_satreach,1.0,2023,27,55.55555555555556,13.148148148148149,0.0801701695463264,1.9293193717277486,355.0
S001,no_satreach,1.0,2024,27,66.66666666666666,51.629629629629626,0.24461816115676777,3.5484460694698354,1394.0
S001,no_satreach,1.0,2025,26,57.692307692307686,50.34615384615385,0.22105666789057807,2.8861671469740635,1309.0
S001,no_satreach,1.0,2026,10,60.0,54.2,0.16850830123119875,2.3123486682808716,542.0
S002,with_satreach,0.8,IS,152,46.71052631578947,1.256578947368421,0.009834073289962483,1.0659986178299932,191.0
S002,with_satreach,0.8,OOS,59,45.76271186440678,4.271186440677966,0.01818928447494894,1.1686746987951808,252.0
S002,with_satreach,0.8,2022,65,40.0,-1.0,-0.0061471752634147045,0.9471974004874086,-65.0
S002,with_satreach,0.8,2023,45,55.55555555555556,6.555555555555555,0.04231931596641185,1.5483271375464684,295.0
S002,with_satreach,0.8,2024,42,47.61904761904761,-0.9285714285714286,-0.00023865919743526807,0.9653333333333334,-39.0
S002,with_satreach,0.8,2025,55,45.45454545454545,2.8,0.014481641328342235,1.1125730994152048,154.0
S002,with_satreach,0.8,2026,3,33.33333333333333,24.666666666666668,0.06449523973998326,1.5873015873015872,74.0
S002,with_satreach,0.85,IS,197,42.63959390862944,-1.015228426395939,-0.0009713221199541874,0.9491740787801779,-200.0
S002,with_satreach,0.85,OOS,79,48.10126582278481,16.481012658227847,0.0628889193862043,1.7138157894736843,1302.0
S002,with_satreach,0.85,2022,85,41.17647058823529,-0.5176470588235295,-0.0017489629137234875,0.9721342621912603,-44.0
S002,with_satreach,0.85,2023,60,43.333333333333336,2.4833333333333334,0.019195683155890923,1.1677927927927927,149.0
S002,with_satreach,0.85,2024,52,44.230769230769226,-5.865384615384615,-0.02296979998688335,0.7922343324250681,-305.0
S002,with_satreach,0.85,2025,73,46.57534246575342,11.67123287671233,0.04935205730193156,1.5017667844522968,852.0
S002,with_satreach,0.85,2026,5,60.0,85.2,0.2564665313451843,4.380952380952381,426.0
S002,with_satreach,0.9,IS,250,42.8,-1.308,-0.004530128446540029,0.9329643296432965,-327.0
S002,with_satreach,0.9,OOS,94,47.87234042553192,14.51063829787234,0.05356053963982811,1.5650372825186412,1364.0
S002,with_satreach,0.9,2022,97,38.144329896907216,-2.515463917525773,-0.014948264946013446,0.8645948945615982,-244.0
S002,with_satreach,0.9,2023,82,43.90243902439025,2.3902439024390243,0.01617837093624949,1.161051766639277,196.0
S002,with_satreach,0.9,2024,71,47.88732394366197,-3.9295774647887325,-0.01421375814991775,0.849919311457773,-279.0
S002,with_satreach,0.9,2025,85,47.05882352941176,9.729411764705882,0.04032843824550046,1.4077909270216962,827.0
S002,with_satreach,0.9,2026,8,50.0,64.125,0.1904477104416361,2.3290155440414506,513.0
S002,with_satreach,0.95,IS,297,44.44444444444444,0.9023569023569024,0.007156208142834829,1.0484366528104103,268.0
S002,with_satreach,0.95,OOS,104,49.03846153846153,21.673076923076923,0.07629660953066658,1.8832288401253918,2254.0
S002,with_satreach,0.95,2022,112,40.17857142857143,0.8482142857142857,0.005633909879670912,1.0476668339187154,95.0
S002,with_satreach,0.95,2023,98,45.91836734693878,2.6530612244897958,0.016848740916726338,1.1849217638691323,260.0
S002,with_satreach,0.95,2024,87,48.275862068965516,-1.0,-0.0018020769878204447,0.9592314901593252,-87.0
S002,with_satreach,0.95,2025,91,46.15384615384615,10.428571428571429,0.04461345209607327,1.438134810710988,949.0
S002,with_satreach,0.95,2026,12,66.66666666666666,106.75,0.31598595489195347,4.318652849740933,1281.0
S002,with_satreach,1.0,IS,324,44.44444444444444,0.8981481481481481,0.005904942586042135,1.0485485485485486,291.0
S002,with_satreach,1.0,OOS,112,49.107142857142854,24.473214285714285,0.0848476652216651,2.0121861152141802,2741.0
S002,with_satreach,1.0,2022,120,40.833333333333336,-0.9083333333333333,-0.0067144717814927885,0.9484389782403028,-109.0
S002,with_satreach,1.0,2023,106,45.28301886792453,3.207547169811321,0.020979006857289633,1.2253147779986746,340.0
S002,with_satreach,1.0,2024,98,47.95918367346938,0.6122448979591837,0.005052686579429428,1.0253057781526782,60.0
S002,with_satreach,1.0,2025,98,45.91836734693878,10.36734693877551,0.044931306909463266,1.43755383290267,1016.0
S002,with_satreach,1.0,2026,13,69.23076923076923,130.84615384615384,0.38588297199660604,5.4067357512953365,1701.0
S002,no_satreach,0.8,IS,273,47.61904761904761,2.318681318681319,0.012595965669846327,1.1314641744548286,633.0
S002,no_satreach,0.8,OOS,103,47.57281553398058,7.601941747572815,0.03273850798677078,1.2800429184549356,783.0
S002,no_satreach,0.8,2022,104,39.42307692307692,-2.0096153846153846,-0.013884607433223579,0.8912024986985945,-209.0
S002,no_satreach,0.8,2023,86,52.32558139534884,5.511627906976744,0.035163314246157464,1.4606413994169096,474.0
S002,no_satreach,0.8,2024,83,53.01204819277109,4.433734939759036,0.02239340693679226,1.1973190348525469,368.0
S002,no_satreach,0.8,2025,90,46.666666666666664,8.588888888888889,0.03706417575811035,1.364107395195478,773.0
S002,no_satreach,0.8,2026,12,50.0,-1.1666666666666667,-0.003908440611312926,0.9791976225854383,-14.0
S002,no_satreach,0.85,IS,293,43.68600682593857,-0.4812286689419795,-0.0010591320721899564,0.9745945945945946,-141.0
S002,no_satreach,0.85,OOS,113,47.78761061946903,10.274336283185841,0.041883540061988,1.3939599592806244,1161.0
S002,no_satreach,0.85,2022,116,37.93103448275862,-2.646551724137931,-0.016085279886564434,0.8620224719101124,-307.0
S002,no_satreach,0.85,2023,89,47.19101123595505,3.7865168539325844,0.024485266084279308,1.2843881856540085,337.0
S002,no_satreach,0.85,2024,88,47.72727272727273,-1.9431818181818181,-0.007086612634216383,0.9200934579439253,-171.0
