trade_date,list_month,total_value,top1_value,top1_share,top5_value,top5_share,top10_value,top10_share,top20_value,top20_share,top1_ma20,top1_std20,top1_dev_pct,top1_zscore,top5_ma20,top5_std20,top5_dev_pct,top5_zscore,top10_ma20,top10_std20,top10_dev_pct,top10_zscore,top20_ma20,top20_std20,top20_dev_pct,top20_zscore,list_changed,tx_open,tx_close,tx_high,tx_low,tx_dir,tx_range,weekday
2025-10-09,2025-09,547752591743,61324929553,11.1957,117844218117,21.5141,162505877904,29.6678,236942508030,43.2572,9.9433,1.8896,12.5951,0.6628,19.4982,2.3158,10.3389,0.8705,27.8217,3.3314,6.6354,0.5541,39.0805,6.4126,10.6874,0.6513,True,27440.0,27335.0,27455.0,27273.0,-0.003826530612244898,0.0066326530612244895,3
2025-10-13,2025-09,535751656784,84889085424,15.8449,160427873785,29.9444,199108322029,37.1643,262001723643,48.9036,10.2881,2.2862,54.0113,2.4306,20.1266,3.2333,48.7805,3.0365,28.3466,3.9156,31.1067,2.2519,39.6721,6.7542,23.2694,1.3668,True,26450.0,26904.0,26945.0,26390.0,0.017164461247637052,0.020982986767485824,0
2025-10-14,2025-09,650352253261,64625249986,9.937,151624830430,23.3143,210603068842,32.3829,297944519187,45.8128,10.4001,2.2061,-4.4527,-0.2099,20.2902,3.3106,14.9045,0.9135,28.5314,4.0184,13.4994,0.9585,40.0175,6.8882,14.4818,0.8413,True,27269.0,26718.0,27450.0,26716.0,-0.020206094832960503,0.02691701199163886,1
2025-10-15,2025-09,484700191611,65812420573,13.578,115239970602,23.7755,151317379354,31.2188,205389416289,42.3745,10.6961,2.2159,26.9438,1.3005,20.5973,3.336,15.4304,0.9527,28.8448,3.9685,8.2302,0.5982,40.3811,6.8066,4.9365,0.2929,True,26878.0,27288.0,27300.0,26821.0,0.015254111168985788,0.01782126646327852,2
2025-10-16,2025-09,523652534662,62810575702,11.9947,123292967927,23.5448,166647859066,31.8241,221290405500,42.259,10.8611,2.1816,10.4368,0.5196,20.9103,3.3023,12.599,0.7978,29.211,3.8835,8.9455,0.6729,40.8182,6.6207,3.5297,0.2176,True,27545.0,27822.0,27877.0,27450.0,0.010056271555636232,0.015501905972045744,3
2025-10-17,2025-09,505450588888,63869792469,12.6362,142579498643,28.2084,180935958289,35.797,239264644236,47.3369,10.8556,2.1767,16.4026,0.818,21.3089,3.6766,32.3787,1.8766,29.5689,4.1488,21.0632,1.5012,41.2854,6.7394,14.6576,0.8979,True,27251.0,27328.0,27545.0,27244.0,0.0028255843822245054,0.011045466221423068,4
2025-10-20,2025-09,461469386367,51667454455,11.1963,128173913325,27.7752,175195438820,37.9647,239734154394,51.9502,10.9167,2.1678,2.5613,0.129,21.8054,3.8506,27.3777,1.5504,30.2659,4.335,25.4371,1.776,42.3243,6.6999,22.7433,1.4367,True,27444.0,27783.0,27824.0,27432.0,0.01235242675994753,0.014283632123597144,0
2025-10-21,2025-09,487053449254,55189404010,11.3313,109385636240,22.4587,144065718188,29.579,220868707863,45.3479,11.0978,2.0329,2.1043,0.1149,22.0237,3.7515,1.9751,0.116,30.5041,4.1465,-3.0329,-0.2231,43.0067,6.24,5.4438,0.3752,True,27900.0,27833.0,28036.0,27798.0,-0.0024014336917562726,0.008530465949820789,1
2025-10-22,2025-09,422381025007,44813844075,10.6098,84283495393,19.9544,101695274808,24.0767,154977107096,36.6913,11.0987,2.0326,-4.4049,-0.2405,22.1482,3.6316,-9.9053,-0.6041,30.4548,4.2199,-20.9428,-1.5114,43.0422,6.1999,-14.755,-1.0243,True,27690.0,27704.0,27797.0,27526.0,0.0005055976886962802,0.009786926688335138,2
2025-10-23,2025-09,396543273673,37826608364,9.5391,78749491107,19.859,93399282394,23.5534,164108576295,41.3848,11.1433,1.9853,-14.3959,-0.808,22.3396,3.3848,-11.104,-0.7329,30.4893,4.1569,-22.7486,-1.6685,43.5943,5.4565,-5.0683,-0.4049,True,27385.0,27556.0,27629.0,27313.0,0.006244294321708965,0.011539163775789667,3
