d,ema20,dn_full,s_thr_09:01,s_B_09:01,dn_09:01,s_thr_09:05,s_B_09:05,dn_09:05,s_thr_09:10,s_B_09:10,dn_09:10,s_thr_09:15,s_B_09:15,dn_09:15,s_thr_09:20,s_B_09:20,dn_09:20,s_thr_09:25,s_B_09:25,dn_09:25,s_thr_09:30,s_B_09:30,dn_09:30,comp_09:01,comp_09:05,comp_09:10,comp_09:15,comp_09:20,comp_09:25,comp_09:30,dn_exc
2025-12-30,231.91220473892358,102.0,-0.030204034279533405,0.4090909090909091,40.0,-0.045664029883190134,0.45727482678983833,45.0,-0.013104650752599173,0.5224534501642936,52.0,-0.004513858506725139,0.5090329436769394,69.0,0.023622298030281007,0.5288659793814433,76.0,0.08985997524457957,0.564206268958544,102.0,-0.016745096146405885,0.536,102.0,1.0953583396550903,1.1409584023778683,1.5222052999377997,1.4971942497318165,1.6809227820162147,2.088020350960418,1.2593841163829989,0.43982161316101087
2025-12-31,232.3967566685499,93.0,-0.02507396811450974,-0.3272010512483574,61.0,-0.09342806909119673,-0.3102232667450059,61.0,-0.15189948028438655,-0.2753623188405797,61.0,-0.13664881174301408,-0.24920127795527156,61.0,-0.16078708698869268,-0.25051334702258726,61.0,-0.07799766105597462,-0.192964824120603,61.0,-0.10887649495391899,-0.10813492063492064,61.0,-0.49894917133567196,-1.2004778596356824,-1.6228709049546874,-1.3754013517707655,-1.5821951286171179,-0.8922666938533103,-0.9638110960646094,0.40017770184563695
2026-01-02,236.0732560334499,97.0,-0.02615193700236531,-0.3875476493011436,51.0,0.007479704380781697,-0.3806818181818182,80.0,0.07742010837545436,-0.3650107991360691,97.0,0.013284790313335425,-0.40729166666666666,97.0,0.02662938563417524,-0.3475609756097561,97.0,-0.006159963154621735,-0.312625250501002,97.0,-0.022074782188026467,-0.2737154150197628,97.0,-0.6560439625966293,-0.3139832698252779,0.1344718052806615,-0.6357857055521772,-0.5048824420847203,-0.7283605981652518,-0.8218998519747267,0.4108894062369174
2026-01-05,258.73294593502607,233.0,-0.05732383010121453,-0.2636986301369863,68.0,0.03968021224976514,-0.11252653927813164,68.0,0.07583966286506025,0.13729508196721313,73.0,0.04457700318628248,0.13841524573721165,93.0,0.07264721238250911,0.13082259663032705,93.0,0.01372566135400276,0.23391812865497075,93.0,0.023388131703353614,0.31770334928229665,93.0,-0.9223762419233839,0.6663593525152082,1.3478849846101748,0.9504281527579657,1.024306119053791,0.7691801383271034,0.9666955556019402,0.9005424460266138
2026-01-06,294.75837965549977,106.0,-0.05704073950996794,-0.4297719087635054,92.0,-0.18790974660755946,-0.33995584988962474,92.0,-0.10596811192238474,-0.27195767195767195,92.0,-0.11875481622376544,-0.3010204081632653,92.0,-0.12991561314791894,-0.3316633266533066,92.0,-0.2045155839454428,-0.4051383399209486,92.0,-0.2028935949591705,-0.316147859922179,92.0,-1.2973914040628989,-2.2601817709970597,-1.2187054775238588,-1.368661634270075,-1.5688347808092828,-2.2404099667096493,-2.096714680073533,0.35961657858171153
2026-01-07,313.2575815930712,194.0,-0.06460586810334464,-0.3406466512702079,73.0,0.05008955906617481,-0.16666666666666666,73.0,0.055870151295935616,-0.2896622313203685,73.0,0.0843341307227701,-0.34995014955134596,73.0,0.23214219172806538,-0.31573802541544477,194.0,0.16639024560715251,-0.30776699029126214,194.0,0.1699096646753597,-0.2526215443279314,194.0,-1.2268682788096115,0.645327883708662,0.1328102787563969,0.04193187245894592,1.0245700217771723,0.3975365691215347,0.4710701465153687,0.6192986583546138
2026-01-08,305.1378119175406,244.0,0.003188875618975832,-0.14489311163895488,37.0,0.11133898022605157,0.00331858407079646,67.0,0.05929064253722917,-0.06335797254487856,77.0,0.006262137417065556,-0.05165289256198347,77.0,-0.11844682839640175,-0.05864509605662285,77.0,-0.04923915079800163,-0.07577268195413758,77.0,0.04394179506344107,-0.06862745098039216,77.0,0.4166272941109035,1.693964028558376,0.7151054906524406,0.19118916997128174,-0.800442225515641,-0.413057453919651,0.12280983890762248,0.7996386893733698
2026-01-09,305.6008774492034,460.0,-0.000850805089855997,-0.37485448195576254,123.0,-0.10508010509544827,-0.35917030567685587,123.0,-0.053943689447021485,-0.3514644351464435,123.0,-0.03258860056451454,-0.2870182555780933,135.0,0.08224303640523607,-0.09693372898120672,222.0,0.3018243194838267,0.17075564278704614,358.0,0.3645445114614366,0.41256038647342996,460.0,-0.1808090183113897,-1.439827017404724,-0.9645646841731446,-0.6841678063688498,0.5184434582881837,2.4704813379684127,3.4093364688689802,1.5052312802225531
2026-01-12,331.06746054927925,198.0,-0.019086037878121513,-0.32062780269058294,64.0,-0.03746911059339687,-0.3771186440677966,64.0,-0.01731064628012222,-0.3735926305015353,70.0,0.029911004899442768,-0.3054726368159204,123.0,0.014967148925924717,-0.2873900293255132,151.0,0.05483162627328193,-0.2811594202898551,151.0,0.14043525152990585,-0.28708133971291866,151.0,-0.37830996537471295,-0.7756331308463805,-0.7029063370365294,-0.25846850347208583,-0.43560477026405375,-0.25586248960921193,0.19364281492774038,0.5980654204780351
2026-01-13,319.3467500207765,626.0,0.03819674703183766,-0.38181818181818183,256.0,0.0718391343702894,-0.19877675840978593,302.0,0.01810592908811569,-0.031840796019900496,302.0,-0.009649379589048417,-0.011799410029498525,302.0,0.01277671184168337,0.07774538386783285,302.0,0.06830466700020728,0.06840077071290944,302.0,0.10015546609980112,0.10782442748091603,320.0,0.49186812373230704,0.7957903447302929,0.4371550813704952,0.16979494962580519,0.4684291034265028,0.7068100913451987,0.9318331623597358,1.9602516698832002
