date,session_open,vwap_t1,vwap_t2,or_low,brk_time,brk_close,day_low,max_decline,fwd_mfe,EmaHL,reach_sw,reach_fwd,L3,L4,L3_f,L4_f
2021-05-11,16968.0,17248.961143314013,17169.152039094362,16874.0,09:00:00,16864.0,16425.0,545.0,439.0,244.7992598550495,2.2263139207312364,1.7933060755981884,1.0,1.0,1.0,1.0
2021-05-12,16503.0,16736.286777386373,17248.961143314013,16410.0,09:04:00,16358.0,15027.0,1504.0,1331.0,273.389806535521,5.501302404281808,4.868506316555243,1.0,1.0,1.0,1.0
2021-05-13,15538.0,15937.041468128671,16736.286777386373,15526.0,09:00:00,15511.0,15348.0,436.0,163.0,390.5907773416619,1.1162577953514177,0.4173165611061493,1.0,1.0,0.0,0.0
2021-07-09,17662.0,17801.85693343796,17824.607587297814,17655.0,09:00:00,17625.0,17526.0,174.0,99.0,194.81750078253205,0.8931435795094718,0.5081678986864236,1.0,0.0,0.0,0.0
2021-07-16,17826.0,17956.324299795062,17843.465075552886,17804.0,09:15:00,17780.0,17772.0,75.0,8.0,190.79781887620481,0.39308625455861307,0.041929200486252066,0.0,0.0,0.0,0.0
2021-07-20,17680.0,17732.308719908415,17858.683834392083,17672.0,09:06:00,17660.0,17478.0,238.0,182.0,185.4376703272334,1.2834501187380765,0.981461855505588,1.0,1.0,1.0,1.0
2021-07-27,17322.0,17339.1460094675,17465.64225663335,17274.0,09:06:00,17270.0,17153.0,195.0,117.0,204.79371887707782,0.9521776403554826,0.5713065842132895,1.0,0.0,0.0,0.0
2021-07-28,17062.0,17242.697204653836,17339.1460094675,17052.0,09:14:00,17038.0,16733.0,403.0,305.0,203.86098374592757,1.976837316267736,1.49611757186516,1.0,1.0,1.0,1.0
2021-08-09,17438.0,17439.322307217095,17551.753704439216,17275.0,09:07:00,17268.0,17235.0,203.0,33.0,198.41524742688895,1.023106856113971,0.16631786330916767,1.0,1.0,0.0,0.0
2021-08-11,17217.0,17322.045802646906,17346.410614435375,17211.0,09:03:00,17206.0,17078.0,220.0,128.0,198.2991027689499,1.1094351760952499,0.6454895570008727,1.0,1.0,0.0,0.0
2021-08-20,16297.0,16414.394416414056,16559.588116947474,16295.0,09:12:00,16273.0,16145.0,281.0,128.0,241.35301690324894,1.1642696810069058,0.5303434845867756,1.0,1.0,0.0,0.0
2021-09-08,17395.0,17423.552497141896,17512.978599369086,17383.0,09:01:00,17374.0,17163.0,263.0,211.0,220.85939878308025,1.1908028431169853,0.955358934972182,1.0,1.0,1.0,0.0
2021-09-09,17142.0,17290.720894152753,17423.552497141896,17112.0,09:09:00,17107.0,17084.0,115.0,23.0,224.87278937516783,0.5114002468664143,0.10228004937328285,0.0,0.0,0.0,0.0
2021-09-15,17403.0,17489.0378071411,17427.998075740445,17398.0,08:59:00,17396.0,17280.0,153.0,116.0,205.8278021203164,0.7433398132996826,0.5635778976651188,1.0,0.0,0.0,0.0
2021-09-17,17256.0,17263.535182083655,17360.79014053336,17224.0,08:59:00,17222.0,17165.0,118.0,57.0,197.95881307354696,0.5960835901565033,0.28793868338068374,0.0,0.0,0.0,0.0
2021-09-28,17182.0,17283.945728154315,17224.518021604406,17101.0,09:04:00,17085.0,17042.0,141.0,43.0,179.99874760506572,0.783338783608469,0.2388905510295331,1.0,0.0,0.0,0.0
2021-09-29,16926.0,17117.303278530166,17283.945728154315,16889.0,08:58:00,16885.0,16760.0,177.0,125.0,176.284581166488,1.0040583176859712,0.7090807328290757,1.0,1.0,0.0,0.0
2021-10-01,16800.0,16838.641552122237,16839.223708570928,16743.0,09:02:00,16738.0,16415.0,390.0,323.0,184.509600456014,2.11371115126865,1.7505864150250614,1.0,1.0,1.0,1.0
2021-10-05,16240.0,16441.172956957926,16576.037781859057,16164.0,08:59:00,16161.0,16107.0,155.0,54.0,214.73915139369856,0.7218059631605139,0.2514678839397919,1.0,0.0,0.0,0.0
2021-10-12,16485.0,16679.16553364384,16667.092053934186,16343.0,09:06:00,16336.0,16285.0,204.0,51.0,220.7975943602624,0.9239231097198697,0.23098077742996742,1.0,0.0,0.0,0.0
2021-10-22,16877.0,16928.25164128653,16927.6463403211,16836.0,09:09:00,16835.0,16770.0,127.0,65.0,205.58550531863006,0.6177478310212919,0.31617014973530694,0.0,0.0,0.0,0.0
2021-11-11,17430.0,17541.79045355516,17547.67165491867,17420.0,09:06:00,17413.0,17395.0,103.0,18.0,164.68533276329765,0.625435175505532,0.10929935105921917,0.0,0.0,0.0,0.0
2021-11-23,17765.0,17839.265718588493,17875.392649622314,17726.0,09:00:00,17723.0,17638.0,130.0,85.0,132.66472958539597,0.9799138053217024,0.6407128727103438,1.0,1.0,0.0,0.0
2021-12-06,17619.0,17691.729630240796,17636.871066804382,17570.0,09:03:00,17553.0,17527.0,97.0,26.0,167.58913743971317,0.5787964630756203,0.1551413199996508,0.0,0.0,0.0,0.0
2021-12-10,17808.0,17882.189321558628,17919.581706862587,17792.0,09:12:00,17786.0,17765.0,76.0,21.0,169.16348630601888,0.44926953008354914,0.124140264891507,0.0,0.0,0.0,0.0
2021-12-14,17683.0,17858.224587221368,17830.50103725832,17668.0,09:08:00,17666.0,17565.0,146.0,101.0,167.01137994665038,0.8741919266018747,0.6047492094985571,1.0,0.0,0.0,0.0
2022-01-06,18345.0,18494.82577513234,18454.647608861054,18334.0,09:02:00,18330.0,18238.0,181.0,92.0,133.81011222681965,1.3526630909119142,0.6875414605740117,1.0,1.0,0.0,0.0
2022-01-19,18261.0,18491.01367504417,18478.989549327176,18237.0,09:01:00,18236.0,18210.0,135.0,26.0,182.42450063867955,0.7400321751045313,0.14252471520531715,1.0,0.0,0.0,0.0
2022-01-20,18203.0,18273.29486869606,18491.01367504417,18153.0,09:15:00,18123.0,18081.0,135.0,42.0,177.90788153023388,0.7588196702632195,0.2360772307485572,1.0,0.0,0.0,0.0
2022-01-21,18026.0,18179.04446516629,18273.29486869606,18004.0,08:59:00,18002.0,17836.0,214.0,166.0,178.9642737654497,1.195769387360899,0.927559431317333,1.0,1.0,1.0,0.0
2022-01-25,17790.0,17831.93948508451,17937.581334313825,17721.0,09:02:00,17704.0,17578.0,221.0,126.0,190.6532943975677,1.1591722067972798,0.6608855115676798,1.0,1.0,0.0,0.0
2022-02-14,18099.0,18249.686704078165,18220.420347917763,18072.0,09:02:00,18050.0,17934.0,198.0,116.0,174.25420956871926,1.1362709715309134,0.6656941045332623,1.0,1.0,0.0,0.0
2022-02-22,17990.0,18148.910235941104,18173.029921586956,17980.0,09:11:00,17955.0,17773.0,295.0,182.0,185.09796488428134,1.5937506400160946,0.983263106721794,1.0,1.0,1.0,1.0
2022-02-24,17811.0,17990.31310190102,17907.79716598348,17777.0,09:04:00,17767.0,17506.0,344.0,261.0,188.74912771706477,1.822524978847354,1.3827878473231379,1.0,1.0,1.0,1.0
2022-02-25,17660.0,17703.2943844504,17990.31310190102,17618.0,09:05:00,17614.0,17513.0,189.0,101.0,203.5349250773443,0.9285875626906736,0.4962293324431642,1.0,0.0,0.0,0.0
2022-03-07,17362.0,17697.701607043276,17912.314315907577,17312.0,09:03:00,17309.0,17051.0,354.0,258.0,197.63916476333154,1.7911429671538384,1.3054092811460178,1.0,1.0,1.0,1.0
2022-03-15,17177.0,17251.49799547303,17257.432694544917,17120.0,09:00:00,17119.0,16861.0,334.0,258.0,215.4883379696639,1.549967869013032,1.1972805694771327,1.0,1.0,1.0,1.0
2022-03-28,17512.0,17647.74385060862,17621.66270594109,17407.0,08:59:00,17406.0,17304.0,217.0,102.0,184.64582747939596,1.1752228737701333,0.5524089084080812,1.0,1.0,0.0,0.0
2022-04-01,17466.0,17704.173180705286,17712.263633024257,17435.0,09:02:00,17423.0,17414.0,64.0,9.0,169.0265315529145,0.37863878180547367,0.053246078691394735,0.0,0.0,0.0,0.0
2022-04-06,17439.0,17499.260073707075,17704.173180705286,17370.0,08:58:00,17366.0,17327.0,120.0,39.0,167.5001952145417,0.7164170754923519,0.23283554953501437,1.0,0.0,0.0,0.0
2022-04-12,16960.0,17091.90466352061,17233.085649788067,16938.0,09:00:00,16936.0,16906.0,139.0,30.0,189.09582396508804,0.7350770476330719,0.15864972251073495,1.0,0.0,0.0,0.0
2022-04-15,17102.0,17290.196692800353,17225.8407844174,17065.0,09:00:00,17056.0,16960.0,157.0,96.0,183.84129754632747,0.8539974537572901,0.5221895258643302,1.0,0.0,0.0,0.0
