date,entry,exit,reason,pnl_pts,pnl_pct
2022-02-22,17955.0,17823.395346967274,TP,129.60465303272576,0.7218304262474283
2022-02-24,17767.0,17840.0,SL,-75.0,-0.42213091686835147
2022-02-25,17614.0,17606.0,TIME,6.0,0.034063812876121265
2022-03-07,17309.0,17168.47855385327,TP,138.52144614672943,0.8002856672640212
2022-03-15,17119.0,16965.78779170357,TP,151.21220829643062,0.8833004748900672
2022-03-28,17406.0,17438.0,TIME,-34.0,-0.19533494197403195
2022-04-01,17423.0,17478.0,SL,-57.0,-0.3271537622682661
2022-04-06,17366.0,17447.0,SL,-83.0,-0.4779454105723828
2022-04-12,16936.0,16976.0,SL,-42.0,-0.24799244213509686
2022-04-15,17056.0,17109.0,SL,-55.0,-0.32246716697936206
2022-04-25,16657.0,16536.60999280442,TP,118.39000719557953,0.7107522794955846
2022-05-06,16290.0,16341.0,SL,-53.0,-0.32535297728667895
2022-05-09,16143.0,16033.507012987578,TP,107.49298701242151,0.6658798675117481
2022-05-10,15797.0,15850.0,SL,-55.0,-0.3481673735519403
2022-05-25,15978.0,16015.0,SL,-39.0,-0.244085617724371
2022-06-02,16489.0,16553.0,SL,-66.0,-0.40026684456304207
2022-06-07,16481.0,16462.0,TIME,17.0,0.10314908075966264
2022-06-13,16050.0,16053.0,TIME,-5.0,-0.03115264797507788
2022-06-20,15166.0,15221.0,SL,-57.0,-0.37584069629434264
2022-06-23,15048.0,14900.348264671997,TP,145.65173532800327,0.9679142432748755
2022-06-30,14856.0,14708.98387187292,TP,145.01612812707936,0.9761451812538999
2022-07-01,14627.0,14471.301122170737,TP,153.69887782926344,1.0507888003641446
2022-07-04,14174.0,14245.0,SL,-73.0,-0.5150275151686187
2022-07-12,14109.0,13901.587418195422,TP,205.4125818045777,1.455897525016498
2022-08-02,14693.0,14643.0,TIME,48.0,0.3266861770911318
2022-08-10,14840.0,14883.0,SL,-45.0,-0.3032345013477089
2022-08-22,15162.0,15194.0,SL,-34.0,-0.22424482258277273
2022-08-29,14803.0,14847.0,SL,-46.0,-0.3107478213875566
2022-09-07,14411.0,14359.0,TIME,50.0,0.34695718548331134
2022-09-22,14181.0,14243.0,SL,-64.0,-0.4513080882871448
2022-09-26,13899.0,13796.06178310765,TP,100.93821689234937,0.7262264687556614
2022-09-28,13779.0,13673.153872339823,TP,103.84612766017744,0.7536550378124497
2022-09-30,13313.0,13377.0,SL,-66.0,-0.49575602794261253
2022-10-11,13226.0,13108.590931270948,TP,115.4090687290518,0.8725923841603795
2022-10-12,13039.0,13110.0,SL,-73.0,-0.5598588848838101
2022-10-20,12765.0,12819.0,SL,-56.0,-0.43869956913435176
2022-10-26,12688.0,12738.0,SL,-52.0,-0.4098360655737705
2022-11-04,12869.0,12906.0,SL,-39.0,-0.3030538503380216
