trade_date,limitup_count_ma,limitup_ratio_ma,shrink_flag,shrink_event,tx_fwd_ret_5d,tx_fwd_ret_20d,tx_fwd_min_20d
2024-11-08,21.428571428571427,0.03906717124699023,False,False,-0.042975484630587424,-0.025314326563222744,-0.07472351877549299
2024-11-11,21.428571428571427,0.03496880421360034,False,False,-0.04237899291562386,-0.013744538242905002,-0.06655919908369745
2024-11-12,18.142857142857142,0.03132664961964284,True,False,-0.0008308190126371517,0.009663736936464273,-0.03782412873321961
2024-11-13,18.571428571428573,0.032570311404887385,True,False,-0.000438923758943055,0.0028530044331298576,-0.03419216082166532
2024-11-14,18.285714285714285,0.039441649459503965,False,False,-0.004893316875330678,0.018647504849232943,-0.029977076353376875
2024-11-15,18.428571428571427,0.03522702661356193,False,False,0.012258886594314289,0.009974076189639192,-0.033173689529416905
2024-11-18,17.428571428571427,0.026085657712306778,True,False,0.021794985381412335,0.017143616550013396,-0.02525028794188
2024-11-19,19.142857142857142,0.03301811828844952,False,False,-0.009365426695842505,0.007921225382932162,-0.037024070021881794
2024-11-20,18.428571428571427,0.029499354133232954,True,False,-0.01870636279805027,0.014578667720546168,-0.03376805866596411
2024-11-21,21.142857142857142,0.03790872441674241,False,False,-0.010454968324990044,0.012226996854649341,-0.025207105834403887
2024-11-22,21.714285714285715,0.03946065759370011,False,False,-0.031469745637642155,-0.01749283791995837,-0.04488236826113379
2024-11-25,22.857142857142858,0.03741033347300593,False,False,-0.010361571143674642,0.007630278331743678,-0.046041793115408014
2024-11-26,21.857142857142858,0.03802401254571906,False,False,0.021028450256229014,0.025622901572716072,-0.02792012723095949
2024-11-27,21.857142857142858,0.0395110474138891,False,False,0.04237705284825699,0.04394325860294446,-0.01534881639593677
2024-11-28,17.857142857142858,0.02998722909573699,True,False,0.04091865514616999,0.04427631284415989,-0.01490800017907512
2024-11-29,19.285714285714285,0.036993488166801584,False,False,0.03881145520548568,,
2024-12-02,18.571428571428573,0.032233903906251596,True,False,0.01848687957243622,0.015332720024532343,
2024-12-03,17.142857142857142,0.026451767243292817,True,False,-0.0009518864659051607,-0.0030719972308757004,
2024-12-04,18.142857142857142,0.03610480615123398,False,False,-0.019146561346269464,-0.019404138404739424,
2024-12-05,21.142857142857142,0.041418641113900485,False,False,-0.006193282009375967,-0.011784439378951461,
2024-12-06,21.857142857142858,0.0446112729635205,False,False,-0.008326502437551286,0.018551274860865385,
2024-12-09,23.142857142857142,0.05491548910090053,False,False,-0.012387629575465575,0.021635339154372213,
2024-12-10,21.0,0.04685104274230906,False,False,-0.0025552187093980105,0.015591165006496377,
2024-12-11,20.571428571428573,0.04756603950873621,False,False,0.011248249299719904,0.011248249299719904,
2024-12-12,20.428571428571427,0.04790189279392859,False,False,-0.011165447699831188,-0.002510061886008552,
2024-12-13,16.0,0.03141454086541371,True,False,-0.015270164447924839,-0.01962063864961283,
2024-12-16,12.571428571428571,0.02439652031401043,True,False,0.012238142938025387,-0.009189495231043954,
2024-12-17,13.285714285714286,0.03337045219277375,False,False,0.008032651643437028,-0.022534844340237115,
2024-12-18,14.285714285714286,0.030077668325503123,True,False,0.009694871239991354,-0.0032027699632114492,
2024-12-19,15.428571428571429,0.03547499026422748,False,False,0.020876187141669167,0.01492406669876134,
2024-12-20,14.571428571428571,0.03224169672814895,True,False,,0.03141153081510928,
2024-12-23,16.428571428571427,0.038298160501482104,False,False,-0.002796661216762808,0.005292143533258686,
2024-12-24,19.571428571428573,0.0443290262298622,False,False,-0.007537904893177072,0.020761543762922052,
2024-12-25,22.571428571428573,0.05675297210732907,False,False,-0.02087530541386262,-0.0313343906725535,
2024-12-26,22.857142857142858,0.051687628010633486,False,False,-0.014961845151333253,-0.021606790705650303,
2024-12-27,21.571428571428573,0.045236786893309414,False,False,,,
2024-12-30,21.428571428571427,0.04195943995259426,False,False,0.024809077965224136,0.0048755231479484795,-0.03218708202096909
