trade_date,exit_date,is_lc_hv,entry_adj,exit_adj,pnl_pts,ret_pct
2024-09-05,2024-10-23,False,21364.0,23422.0,2052.0,9.604942894589028
2024-09-06,2024-10-24,False,21500.0,23320.0,1814.0,8.43720930232558
2024-09-09,2024-10-25,False,21254.0,23497.0,2237.0,10.525077632445658
2024-09-10,2024-10-28,False,21181.0,23342.0,2155.0,10.174212737831075
2024-09-11,2024-10-29,False,21186.0,22992.0,1800.0,8.496176720475786
2024-09-12,2024-10-30,False,21892.0,22920.0,1022.0,4.668372008039467
2024-09-13,2024-11-01,False,22001.0,22769.0,762.0,3.4634789327757827
2024-09-16,2024-11-04,False,21994.0,23057.0,1057.0,4.805856142584341
2024-09-18,2024-11-05,False,21800.0,23151.0,1345.0,6.169724770642202
2024-09-19,2024-11-06,False,22093.0,23340.0,1241.0,5.61716380754085
2024-09-20,2024-11-07,False,22239.0,23548.0,1303.0,5.859076397320023
2024-09-23,2024-11-08,False,22357.0,23797.0,1434.0,6.414098492642125
2024-09-24,2024-11-11,True,22510.0,23589.0,1073.0,4.766770324300311
2024-09-25,2024-11-12,False,22811.0,22885.0,68.0,0.2981017929946079
2024-09-26,2024-11-13,False,22976.0,22799.0,-183.0,-0.7964832869080779
2024-09-27,2024-11-14,False,22903.0,22700.0,-209.0,-0.9125442081823343
2024-09-30,2024-11-15,False,22345.0,22775.0,424.0,1.8975162228686508
2024-10-01,2024-11-18,False,22410.0,22590.0,174.0,0.7764390896921017
2024-10-04,2024-11-19,False,22303.0,22866.0,557.0,2.4974218714971084
2024-10-07,2024-11-20,False,22798.0,22792.0,-12.0,-0.05263619615755768
2024-10-08,2024-11-21,True,22594.0,22592.0,-8.0,-0.035407630344339205
2024-10-09,2024-11-22,False,22721.0,23057.0,330.0,1.452400862638088
2024-10-11,2024-11-25,False,22931.0,23085.0,148.0,0.6454145043827133
2024-10-14,2024-11-26,False,23027.0,22655.0,-378.0,-1.641551222477961
2024-10-15,2024-11-27,False,23244.0,22366.0,-884.0,-3.803131991051454
2024-10-16,2024-11-28,False,23079.0,22356.0,-729.0,-3.158715715585597
2024-10-17,2024-11-29,False,23272.0,22332.0,-946.0,-4.0649707803368855
2024-10-18,2024-12-02,False,23673.0,22846.0,-833.0,-3.5187766653994
2024-10-21,2024-12-03,False,23583.0,23131.0,-458.0,-1.942076919815121
2024-10-22,2024-12-04,False,23649.0,23313.0,-342.0,-1.4461499429151339
2024-10-23,2024-12-05,False,23422.0,23270.0,-158.0,-0.6745794552130475
2024-10-24,2024-12-06,False,23320.0,23198.0,-128.0,-0.5488850771869639
2024-10-25,2024-12-09,False,23497.0,23268.0,-235.0,-1.0001276758735158
2024-10-28,2024-12-10,False,23342.0,23109.0,-239.0,-1.0239054065632767
2024-10-29,2024-12-11,False,22992.0,22867.0,-131.0,-0.5697633959638135
2024-10-30,2024-12-12,True,22920.0,23126.0,200.0,0.8726003490401396
2024-11-01,2024-12-13,False,22769.0,23005.0,230.0,1.0101453730949976
2024-11-04,2024-12-16,False,23057.0,22980.0,-83.0,-0.35997744719607927
2024-11-05,2024-12-17,False,23151.0,23050.0,-107.0,-0.46218305904712537
2024-11-06,2024-12-18,False,23340.0,23124.0,-222.0,-0.9511568123393316
