trade_date,nh,nl,nb,night_range,sma20,ema20,norm_sma,norm_ema,norm_sma_exp_med,norm_ema_exp_med
2023-08-23,16472.0,16334.0,840,138.0,138.55,138.84505662223148,0.9960303139660771,0.9939136715214089,0.9165668454273646,0.9341195177650017
2023-08-24,16765.0,16518.0,840,247.0,144.8,149.1455274201142,1.7058011049723756,1.6561006171123631,0.9178947368421052,0.9359754037156782
2023-08-25,16774.0,16523.0,840,251.0,153.7,158.84595338010334,1.6330513988288875,1.5801472726181494,0.9179247762688528,0.9378312896663549
2023-08-28,16507.0,16362.0,840,145.0,152.75,157.52729115342683,0.9492635024549918,0.92047542326348,0.9179548156956004,0.9382254283973974
2023-08-29,16584.0,16470.0,840,114.0,147.35,153.38183485310046,0.7736681370885646,0.7432431624591144,0.9180532157608174,0.9378312896663549
2023-08-30,16733.0,16585.0,840,148.0,149.25,152.86927915280518,0.9916247906197655,0.9681474317155775,0.9179548156956004,0.9359754037156782
2023-08-31,16747.0,16672.0,840,75.0,149.35,145.45315732872848,0.5021760964178106,0.5156299208445353,0.9180532157608174,0.9378312896663549
2023-09-01,16669.0,16534.0,840,135.0,151.4,144.45761853551625,0.8916776750330251,0.9345301505632186,0.9179548156956004,0.9359754037156782
2023-09-04,16681.0,16572.0,840,109.0,149.2,141.0807024845147,0.7305630026809652,0.7726074373067717,0.9179247762688528,0.9345301505632186
2023-09-05,16792.0,16724.0,840,68.0,142.65,134.1206355812276,0.4766912022432527,0.5070062463193228,0.9178947368421052,0.9343248341641102
2023-09-06,16782.0,16691.0,840,91.0,141.25,130.01390838301543,0.6442477876106195,0.6999251167184197,0.9165668454273646,0.9341195177650017
2023-09-07,16710.0,16568.0,840,142.0,140.55,131.15544091796633,1.0103166133048735,1.0826847823173162,0.9152389540126239,0.9333663731746258
2023-09-08,16588.0,16464.0,840,124.0,137.55,130.47397035435048,0.901490367139222,0.950381134744593,0.9165668454273646,0.9341195177650017
2023-09-11,16598.0,16525.0,840,73.0,132.95,125.0002588920314,0.5490786009778112,0.5839987904589344,0.9152389540126239,0.9343248341641102
2023-09-12,16503.0,16423.0,840,80.0,131.9,120.71451994993316,0.6065200909780136,0.662720607539013,0.9147316039221496,0.9341195177650017
2023-09-13,16607.0,16520.0,840,87.0,128.65,117.50361328803477,0.6762534006995724,0.7404027635025849,0.9142242538316753,0.9333663731746258
2023-09-14,16666.0,16550.0,840,116.0,128.75,117.36041202250765,0.9009708737864077,0.9884082545462882,0.9137865999837533,0.93261322858425
2023-09-15,16875.0,16805.0,840,70.0,124.45,112.84989659179263,0.5624748895138609,0.620292991966206,0.9133489461358314,0.9333663731746258
2023-09-18,16906.0,16711.0,840,195.0,127.85,120.67371596400285,1.5252248728979274,1.6159276976120367,0.9133165394885798,0.93261322858425
2023-09-19,16747.0,16650.0,840,97.0,125.25,118.41907634838353,0.7744510978043913,0.8191247811681154,0.9133489461358314,0.9333663731746258
2023-09-20,16642.0,16529.0,840,113.0,124.0,117.90297383901367,0.9112903225806451,0.9584151808951973,0.9133165394885798,0.93261322858425
2023-09-21,16651.0,16504.0,840,147.0,119.0,120.67411918767904,1.2352941176470589,1.2181568093434973,0.9132841328413284,0.9333663731746258
2023-09-22,16338.0,16217.0,840,121.0,112.5,120.70515545551913,1.0755555555555556,1.0024426839381315,0.9133165394885798,0.9341195177650017
2023-09-25,16402.0,16313.0,840,89.0,109.7,117.6856168407078,0.8113035551504102,0.7562521435432936,0.9133489461358314,0.9343248341641102
