trade_date,breadth_adv_dec,breadth_adv_dec_cum,new_highs_52w,new_lows_52w,new_high_low_diff,value_concentration_top20,value_per_stock
2013-06-18,1.6490486257928119,-29759.0,39.0,20.0,19.0,0.325382312677855,52951645.85489391
2013-06-19,1.142608695652174,-29677.0,59.0,17.0,42.0,0.29197972604020245,56677155.8489011
2013-06-20,0.2567307692307692,-30450.0,38.0,39.0,-1.0,0.3639674890360093,65207332.51130912
2013-06-21,0.2997090203685742,-31172.0,28.0,74.0,-46.0,0.37310012646278934,92000712.95547946
2013-06-24,1.2333333333333334,-31039.0,26.0,47.0,-21.0,0.40349095793491396,64034165.60027379
2013-06-25,0.09607686148919135,-32168.0,9.0,91.0,-82.0,0.3953382720515769,72905409.9080302
2013-06-26,4.293172690763052,-31348.0,9.0,23.0,-14.0,0.39796177116168546,71990534.34381407
2013-06-27,3.0483870967741935,-30713.0,26.0,14.0,12.0,0.4032775040714697,71045759.5151099
2013-06-28,1.0246305418719213,-30698.0,27.0,18.0,9.0,0.4254874340016222,73253376.87620358
2013-07-01,3.6678571428571427,-29951.0,52.0,9.0,43.0,0.3993952366637283,64019285.86956522
2013-07-02,0.7553041018387553,-30124.0,36.0,6.0,30.0,0.37559082309597247,59933860.14305364
2013-07-03,0.3458725182863114,-30750.0,35.0,29.0,6.0,0.4549218041906172,69723357.89448276
2013-07-04,0.5086633663366337,-31147.0,25.0,37.0,-12.0,0.41238759760848526,57526583.782130584
2013-07-05,2.6715542521994133,-30577.0,40.0,20.0,20.0,0.4095599766712803,63103464.132049516
2013-07-08,0.3995560488346282,-31118.0,46.0,49.0,-3.0,0.4137763953971261,60194970.94340925
2013-07-09,1.4609218436873748,-30888.0,50.0,43.0,7.0,0.39873590797615016,59801632.61659808
2013-07-10,1.0016181229773462,-30887.0,38.0,33.0,5.0,0.36299318880225667,69644232.86547701
2013-07-11,2.53168044077135,-30331.0,60.0,18.0,42.0,0.38205252451104077,86706351.87997256
2013-07-12,1.6197478991596639,-30036.0,78.0,15.0,63.0,0.3545521057247959,71113750.59834938
2013-07-15,2.0469135802469136,-29612.0,81.0,14.0,67.0,0.3335469400928383,70383512.47793104
2013-07-16,1.4781746031746033,-29371.0,88.0,11.0,77.0,0.32355671489399795,73812906.43522961
2013-07-17,0.9872813990461049,-29379.0,85.0,16.0,69.0,0.34727120049066157,77544109.77785419
2013-07-18,0.5284450063211125,-29752.0,71.0,16.0,55.0,0.3538210571775176,77424863.74412172
2013-07-19,0.3694951664876477,-30339.0,27.0,42.0,-15.0,0.4198598976653783,82328054.07889274
2013-07-22,1.6717062634989202,-30028.0,69.0,39.0,30.0,0.35638242593033176,63238872.08518006
2013-07-23,2.6358381502890174,-29462.0,88.0,19.0,69.0,0.343445206310762,81945827.03848797
2013-07-24,1.0214168039538716,-29449.0,86.0,16.0,70.0,0.3332402249175875,71276259.55916955
2013-07-25,0.9143302180685359,-29504.0,64.0,14.0,50.0,0.3345877084964377,70383702.64005506
2013-07-26,0.6805369127516778,-29742.0,54.0,14.0,40.0,0.2961846542288115,59642435.51037344
2013-07-29,0.4701834862385321,-30204.0,39.0,22.0,17.0,0.33440248432881425,55840183.99237171
2013-07-30,1.933806146572104,-29809.0,49.0,13.0,36.0,0.29760029442610736,59329077.229813665
2013-07-31,0.3802363050483351,-30386.0,55.0,44.0,11.0,0.29952138786627197,67288924.9815195
2013-08-01,1.0369747899159665,-30364.0,59.0,48.0,11.0,0.35310122702077246,62753187.33813443
2013-08-02,1.2368896925858952,-30233.0,68.0,40.0,28.0,0.3411888863397632,71911635.46190803
2013-08-05,1.8065934065934066,-29866.0,95.0,32.0,63.0,0.2787688789214096,61855176.07565337
2013-08-06,0.5230769230769231,-30269.0,48.0,29.0,19.0,0.3178558234432986,68291437.62180814
2013-08-07,0.20783956244302643,-31138.0,24.0,57.0,-33.0,0.29102503668006097,64851753.574673094
2013-08-08,1.44,-30918.0,41.0,44.0,-3.0,0.3595053394090656,67392590.76328503
2013-08-09,0.6758893280632411,-31164.0,40.0,53.0,-13.0,0.3129966276854142,64721215.087707184
2013-08-12,0.810320781032078,-31300.0,32.0,49.0,-17.0,0.31094926106547444,53735286.70413793
