Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,ret_pct,d
-1,31062,31089,23358.0,23347.0,,,11.0,0.0,0.0004709307303707444,2025-07-30 09:44:00,2025-07-30 10:11:00,0 days 00:27:00,,0.04709307303707509,2025-07-30
1,32242,32362,23455.0,23546.0,,,91.0,0.0,0.0038797697719037405,2025-08-05 09:20:00,2025-08-05 11:20:00,0 days 02:00:00,,0.3879769771903645,2025-08-05
1,33137,33234,23992.0,23972.0,,,-20.0,0.0,-0.0008336112037345966,2025-08-08 09:12:00,2025-08-08 10:49:00,0 days 01:37:00,,-0.08336112037345782,2025-08-08
1,33789,33805,24150.0,24138.0,,,-12.0,0.0,-0.0004968944099379424,2025-08-12 10:02:00,2025-08-12 10:18:00,0 days 00:16:00,,-0.04968944099378882,2025-08-12
1,34051,34127,24267.0,24380.0,,,113.0,0.0,0.004656529443276769,2025-08-13 09:23:00,2025-08-13 10:39:00,0 days 01:16:00,,0.46565294432768783,2025-08-13
1,34367,34389,24306.0,24268.0,,,-38.0,0.0,-0.0015633999835431567,2025-08-14 09:38:00,2025-08-14 10:00:00,0 days 00:22:00,,-0.1563399983543158,2025-08-14
-1,35868,35942,23875.0,23871.0,,,4.0,0.0,0.00016753926701573718,2025-08-21 09:34:00,2025-08-21 10:48:00,0 days 01:14:00,,0.01675392670157068,2025-08-21
1,36446,36540,24140.0,24269.0,,,129.0,0.0,0.00534382767191377,2025-08-25 09:10:00,2025-08-25 10:44:00,0 days 01:34:00,,0.5343827671913836,2025-08-25
1,37365,37412,24369.0,24333.0,,,-36.0,0.0,-0.0014772867167303083,2025-08-28 09:26:00,2025-08-28 10:13:00,0 days 00:47:00,,-0.14772867167302722,2025-08-28
-1,37978,38072,24223.0,23910.0,,,313.0,0.0,0.012921603434752127,2025-09-01 09:37:00,2025-09-01 11:11:00,0 days 01:34:00,,1.2921603434752096,2025-09-01
-1,38599,38658,24043.0,24010.0,,,33.0,0.0,0.0013725408642848436,2025-09-03 09:56:00,2025-09-03 10:55:00,0 days 00:59:00,,0.1372540864284823,2025-09-03
1,38861,38934,24240.0,24321.0,,,81.0,0.0,0.0033415841584159,2025-09-04 09:17:00,2025-09-04 10:30:00,0 days 01:13:00,,0.3341584158415842,2025-09-04
1,39197,39276,24310.0,24388.0,,,78.0,0.0,0.0032085561497325887,2025-09-05 09:52:00,2025-09-05 11:11:00,0 days 01:19:00,,0.32085561497326204,2025-09-05
1,40684,40725,25391.0,25421.0,,,30.0,0.0,0.0011815210113819141,2025-09-12 09:34:00,2025-09-12 10:15:00,0 days 00:41:00,,0.11815210113819857,2025-09-12
1,42168,42177,25763.0,25711.0,,,-52.0,0.0,-0.0020183984784380993,2025-09-19 09:13:00,2025-09-19 09:22:00,0 days 00:09:00,,-0.201839847843807,2025-09-19
1,42497,42576,25742.0,25870.0,,,128.0,0.0,0.004972418615492247,2025-09-22 09:41:00,2025-09-22 11:00:00,0 days 01:19:00,,0.49724186154921923,2025-09-22
1,42784,42888,26044.0,26260.0,,,216.0,0.0,0.008293656888342715,2025-09-23 09:27:00,2025-09-23 11:11:00,0 days 01:44:00,,0.8293656888342804,2025-09-23
-1,43991,44036,26005.0,25954.0,,,51.0,0.0,0.0019611613151316876,2025-09-30 09:30:00,2025-09-30 10:15:00,0 days 00:45:00,,0.19611613151317053,2025-09-30
1,44595,44631,26439.0,26462.0,,,23.0,0.0,0.0008699270017775707,2025-10-02 09:32:00,2025-10-02 10:08:00,0 days 00:36:00,,0.0869927001777677,2025-10-02
