leg_ext,est_min,est_bucket,side,anchor,leg_amp,reach_L3,reach_L4,reach_L5,had_pullback,pb_depth,pb_min,matured_pre_pb,date
148,561,≤09:30,bear,23346,148,False,False,False,True,44,562,False,2025-07-30
223,574,09:30-11:30,bull,23198,223,True,False,False,True,45,575,False,2025-07-30
156,530,≤09:30,bear,23511,156,False,False,False,True,89,531,False,2025-07-31
266,572,09:30-11:30,bull,23355,266,True,True,False,True,91,573,False,2025-07-31
394,525,≤09:30,bull,23048,394,True,True,True,True,81,526,False,2025-08-01
128,719,>11:30,bear,23442,128,False,False,False,False,,,False,2025-08-01
268,567,≤09:30,bull,23032,268,True,True,False,True,26,568,False,2025-08-04
163,624,09:30-11:30,bull,23421,163,False,False,False,True,58,625,False,2025-08-05
401,538,≤09:30,bull,23653,401,True,True,True,True,20,539,False,2025-08-07
148,555,≤09:30,bear,24095,148,False,False,False,True,39,556,False,2025-08-08
152,541,≤09:30,bear,23985,152,False,False,False,True,0,542,False,2025-08-11
390,578,09:30-11:30,bull,23833,390,True,True,True,True,52,579,False,2025-08-11
153,755,>11:30,bull,24088,153,False,False,False,True,13,757,False,2025-08-12
169,613,09:30-11:30,bull,24243,169,False,False,False,True,25,615,False,2025-08-13
258,688,09:30-11:30,bear,24412,258,True,True,False,False,,,True,2025-08-13
194,747,>11:30,bull,24154,194,True,False,False,True,22,748,False,2025-08-13
155,608,09:30-11:30,bear,24362,155,False,False,False,True,14,610,False,2025-08-14
167,550,≤09:30,bear,24355,167,False,False,False,True,24,551,False,2025-08-15
197,635,09:30-11:30,bull,24188,197,True,False,False,True,50,638,False,2025-08-15
124,823,>11:30,bear,24385,124,False,False,False,False,,,False,2025-08-15
286,549,≤09:30,bull,24176,286,True,True,False,True,31,550,False,2025-08-18
134,558,≤09:30,bear,24447,134,False,False,False,True,0,559,False,2025-08-19
120,570,09:30-11:30,bull,24313,120,False,False,False,False,,,False,2025-08-19
527,540,≤09:30,bear,24140,527,True,True,True,True,66,541,False,2025-08-20
252,554,≤09:30,bull,23691,252,True,False,False,True,25,555,False,2025-08-21
130,681,09:30-11:30,bear,23943,130,False,False,False,False,,,False,2025-08-21
129,540,≤09:30,bull,23853,129,False,False,False,False,,,False,2025-08-22
250,543,≤09:30,bear,23982,250,True,False,False,True,35,544,False,2025-08-22
244,605,09:30-11:30,bull,24070,244,True,False,False,True,26,606,False,2025-08-25
191,729,>11:30,bull,24090,191,True,False,False,True,30,730,False,2025-08-26
165,594,09:30-11:30,bull,24331,165,False,False,False,True,16,597,False,2025-08-27
217,722,>11:30,bear,24420,217,True,False,False,True,32,723,False,2025-08-28
207,588,09:30-11:30,bear,24453,207,True,False,False,True,48,589,False,2025-08-29
118,540,≤09:30,bear,24187,118,False,False,False,False,,,False,2025-09-01
176,544,≤09:30,bull,24069,176,True,False,False,True,88,545,False,2025-09-01
398,594,09:30-11:30,bear,24245,398,True,True,True,True,68,595,False,2025-09-01
174,766,>11:30,bull,23847,174,True,False,False,True,16,767,False,2025-09-01
172,541,≤09:30,bull,24077,172,False,False,False,True,31,542,False,2025-09-02
370,564,≤09:30,bear,24249,370,True,True,True,True,57,565,False,2025-09-02
184,700,>11:30,bull,23879,184,True,False,False,True,22,701,False,2025-09-02
195,552,≤09:30,bull,23888,195,True,False,False,True,118,553,False,2025-09-03
133,549,≤09:30,bull,24189,133,False,False,False,False,,,False,2025-09-04
128,555,≤09:30,bear,24322,128,False,False,False,False,,,False,2025-09-04
171,602,09:30-11:30,bull,24194,171,False,False,False,True,20,603,False,2025-09-04
252,658,09:30-11:30,bear,24365,252,True,True,False,True,27,659,False,2025-09-04
143,637,09:30-11:30,bull,24286,143,False,False,False,True,60,639,False,2025-09-05
156,604,09:30-11:30,bear,24674,156,False,False,False,True,72,605,False,2025-09-08
178,603,09:30-11:30,bull,24660,178,True,False,False,True,16,605,False,2025-09-09
138,652,09:30-11:30,bear,24838,138,False,False,False,True,14,653,False,2025-09-09
125,707,>11:30,bull,24700,125,False,False,False,True,16,713,False,2025-09-09
283,572,09:30-11:30,bull,24961,283,True,True,False,True,58,573,False,2025-09-10
152,625,09:30-11:30,bull,25312,152,False,False,False,True,24,626,False,2025-09-11
288,741,>11:30,bear,25464,288,True,True,False,True,24,742,False,2025-09-11
181,599,09:30-11:30,bear,25450,181,True,False,False,True,49,600,False,2025-09-15
139,708,>11:30,bull,25269,139,False,False,False,True,13,709,False,2025-09-15
253,545,≤09:30,bull,25410,253,True,True,False,True,30,546,False,2025-09-16
155,582,09:30-11:30,bear,25596,155,False,False,False,True,72,584,False,2025-09-17
157,564,≤09:30,bear,25647,157,True,False,False,True,54,565,False,2025-09-18
257,631,09:30-11:30,bull,25490,257,True,True,False,True,39,632,False,2025-09-18
217,551,≤09:30,bear,25853,217,True,False,False,True,49,552,False,2025-09-19
138,615,09:30-11:30,bull,25636,138,False,False,False,True,25,616,False,2025-09-19
111,558,≤09:30,bear,25800,111,False,False,False,False,,,False,2025-09-22
252,600,09:30-11:30,bull,25689,252,True,True,False,True,48,601,False,2025-09-22
305,592,09:30-11:30,bull,26023,305,True,True,True,True,29,593,False,2025-09-23
157,732,>11:30,bear,26328,157,False,False,False,True,17,733,False,2025-09-23
321,542,≤09:30,bear,26393,321,True,True,True,True,66,543,False,2025-09-24
188,627,09:30-11:30,bull,26072,188,True,False,False,True,35,628,False,2025-09-24
137,733,>11:30,bear,26260,137,False,False,False,True,21,734,False,2025-09-24
125,808,>11:30,bull,26123,125,False,False,False,True,0,809,False,2025-09-24
169,567,≤09:30,bull,26114,169,False,False,False,True,55,568,False,2025-09-25
196,627,09:30-11:30,bear,26283,196,True,False,False,True,72,628,False,2025-09-25
407,547,≤09:30,bear,25991,407,True,True,True,True,30,548,False,2025-09-26
131,580,09:30-11:30,bull,25584,131,False,False,False,False,,,False,2025-09-26
215,591,09:30-11:30,bear,25715,215,True,False,False,True,61,592,False,2025-09-26
194,627,09:30-11:30,bull,25500,194,True,False,False,True,46,628,False,2025-09-26
146,685,09:30-11:30,bear,25694,146,False,False,False,True,40,686,False,2025-09-26
133,805,>11:30,bull,25548,133,False,False,False,False,,,False,2025-09-26
249,534,≤09:30,bull,25797,249,True,False,False,True,77,537,False,2025-09-30
171,596,09:30-11:30,bear,26046,171,False,False,False,True,78,597,False,2025-09-30
314,556,≤09:30,bull,26061,314,True,True,False,True,37,557,False,2025-10-01
375,610,09:30-11:30,bear,26375,375,True,True,True,True,36,611,False,2025-10-01
135,673,09:30-11:30,bull,26000,135,False,False,False,False,,,False,2025-10-01
146,550,≤09:30,bear,26527,146,False,False,False,True,38,551,False,2025-10-02
139,676,09:30-11:30,bull,26381,139,False,False,False,False,,,False,2025-10-02
376,556,≤09:30,bull,26388,376,True,True,True,True,93,557,False,2025-10-03
361,546,≤09:30,bull,26995,361,True,True,True,True,45,547,False,2025-10-07
165,555,≤09:30,bear,27077,165,False,False,False,True,38,556,False,2025-10-08
215,598,09:30-11:30,bull,26912,215,True,False,False,True,48,599,False,2025-10-08
175,553,≤09:30,bear,27455,175,False,False,False,True,0,554,False,2025-10-09
148,591,09:30-11:30,bull,27280,148,False,False,False,True,36,592,False,2025-10-09
155,714,>11:30,bear,27428,155,False,False,False,True,54,715,False,2025-10-09
186,526,≤09:30,bear,26724,186,False,False,False,True,129,527,False,2025-10-13
407,543,≤09:30,bull,26538,407,True,True,True,True,90,544,False,2025-10-13
190,542,≤09:30,bull,27260,190,False,False,False,True,60,543,False,2025-10-14
734,561,≤09:30,bear,27450,734,True,True,True,True,122,562,False,2025-10-14
182,550,≤09:30,bear,27003,182,False,False,False,False,,,False,2025-10-15
479,576,09:30-11:30,bull,26821,479,True,True,True,True,33,577,False,2025-10-15
273,574,09:30-11:30,bull,27459,273,True,False,False,True,30,575,False,2025-10-16
282,633,09:30-11:30,bear,27732,282,True,False,False,True,53,634,False,2025-10-16
427,660,09:30-11:30,bull,27450,427,True,True,True,True,89,661,False,2025-10-16
301,525,≤09:30,bull,27244,301,True,False,False,True,85,526,False,2025-10-17
224,800,>11:30,bear,27545,224,False,False,False,True,41,801,False,2025-10-17
392,540,≤09:30,bull,27432,392,True,True,False,True,152,541,False,2025-10-20
238,710,>11:30,bear,28036,238,False,False,False,True,63,711,False,2025-10-21
189,689,09:30-11:30,bear,27715,189,False,False,False,True,38,690,False,2025-10-22
271,722,>11:30,bull,27526,271,True,False,False,True,30,723,False,2025-10-22
316,552,≤09:30,bull,27313,316,True,False,False,True,29,553,False,2025-10-23
212,547,≤09:30,bear,28291,212,False,False,False,True,29,548,False,2025-10-27
177,694,>11:30,bull,28079,177,False,False,False,False,,,False,2025-10-27
266,546,≤09:30,bear,28250,266,True,False,False,True,29,547,False,2025-10-28
243,616,09:30-11:30,bull,28203,243,True,False,False,True,16,617,False,2025-10-29
164,549,≤09:30,bull,28388,164,False,False,False,False,,,False,2025-10-30
260,561,≤09:30,bear,28552,260,True,False,False,True,46,562,False,2025-10-30
183,610,09:30-11:30,bull,28292,183,False,False,False,True,0,611,False,2025-10-30
294,730,>11:30,bear,28475,294,True,False,False,True,29,731,False,2025-10-30
238,782,>11:30,bull,28181,238,True,False,False,True,24,783,False,2025-10-30
164,579,09:30-11:30,bull,28424,164,False,False,False,True,0,580,False,2025-10-31
210,681,09:30-11:30,bear,28588,210,False,False,False,True,29,682,False,2025-10-31
167,783,>11:30,bull,28378,167,False,False,False,False,,,False,2025-10-31
219,555,≤09:30,bull,28364,219,True,False,False,True,22,556,False,2025-11-03
354,594,09:30-11:30,bear,28583,354,True,True,False,True,47,595,False,2025-11-03
212,561,≤09:30,bull,28382,212,False,False,False,True,25,562,False,2025-11-04
