Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,trade_date,weekday,year,night_norm
1,215577,215594,17497.0,17484.0,,,-13.0,0.0,-0.0007429845116305733,2023-12-12 09:46:00,2023-12-12 10:03:00,0 days 00:17:00,,2023-12-12,1,2023,1.035252119589469
1,215870,215921,17503.0,17487.0,,,-16.0,0.0,-0.0009141290064560437,2023-12-13 09:38:00,2023-12-13 10:29:00,0 days 00:51:00,,2023-12-13,2,2023,1.0099103350637093
-1,217672,217705,17471.0,17503.0,,,-32.0,0.0,-0.0018316066624692873,2023-12-21 09:34:00,2023-12-21 10:07:00,0 days 00:33:00,,2023-12-21,3,2023,2.6272292301000433
1,218283,218343,17617.0,17634.0,,,17.0,0.0,0.0009649770108417499,2023-12-25 09:43:00,2023-12-25 10:43:00,0 days 01:00:00,,2023-12-25,0,2023,0.8104685521317011
1,219472,219514,17835.0,17868.0,,,33.0,0.0,0.0018502943650127168,2023-12-29 09:28:00,2023-12-29 10:10:00,0 days 00:42:00,,2023-12-29,4,2023,0.4003639672429481
-1,219785,219826,17838.0,17787.0,,,51.0,0.0,0.0028590649175916916,2024-01-02 09:40:00,2024-01-02 10:21:00,0 days 00:41:00,,2024-01-02,1,2024,1.03273397879207
-1,220099,220142,17609.0,17540.0,,,69.0,0.0,0.003918450792208539,2024-01-03 09:53:00,2024-01-03 10:36:00,0 days 00:43:00,,2024-01-03,2,2024,1.5179392824287028
-1,220395,220460,17552.0,17550.0,,,2.0,0.0,0.00011394712853241007,2024-01-04 09:48:00,2024-01-04 10:53:00,0 days 01:05:00,,2024-01-04,3,2024,0.9662716499544212
1,220992,221010,17671.0,17622.0,,,-49.0,0.0,-0.002772904759209993,2024-01-08 09:43:00,2024-01-08 10:01:00,0 days 00:18:00,,2024-01-08,0,2024,1.4305750350631137
1,221269,221306,17669.0,17621.0,,,-48.0,0.0,-0.0027166223328993766,2024-01-09 09:19:00,2024-01-09 09:56:00,0 days 00:37:00,,2024-01-09,1,2024,2.089160839160839
-1,221573,221612,17484.0,17490.0,,,-6.0,0.0,-0.00034317089910773646,2024-01-10 09:22:00,2024-01-10 10:01:00,0 days 00:39:00,,2024-01-10,2,2024,1.0801393728222997
1,222470,222635,17570.0,17615.0,,,45.0,0.0,0.0025611838360841688,2024-01-15 09:16:00,2024-01-15 12:01:00,0 days 02:45:00,,2024-01-15,0,2024,1.068504954760879
-1,223094,223168,17323.0,17277.0,,,46.0,0.0,0.0026554291981758515,2024-01-17 09:38:00,2024-01-17 10:52:00,0 days 01:14:00,,2024-01-17,2,2024,0.7815892314372557
1,223669,223783,17516.0,17587.0,,,71.0,0.0,0.004053436857730075,2024-01-19 09:11:00,2024-01-19 11:05:00,0 days 01:54:00,,2024-01-19,4,2024,1.512396694214876
1,224003,224042,17810.0,17795.0,,,-15.0,0.0,-0.0008422234699606568,2024-01-22 09:44:00,2024-01-22 10:23:00,0 days 00:39:00,,2024-01-22,0,2024,1.1481975967957276
1,224305,224383,17831.0,17840.0,,,9.0,0.0,0.0005047389378050049,2024-01-23 09:45:00,2024-01-23 11:03:00,0 days 01:18:00,,2024-01-23,1,2024,0.6162211146352515
1,224879,224903,17969.0,17945.0,,,-24.0,0.0,-0.001335633591184826,2024-01-25 09:17:00,2024-01-25 09:41:00,0 days 00:24:00,,2024-01-25,3,2024,1.606529209621993
1,225219,225251,17991.0,17984.0,,,-7.0,0.0,-0.0003890834306041757,2024-01-26 09:56:00,2024-01-26 10:28:00,0 days 00:32:00,,2024-01-26,4,2024,0.8097849008857022
1,225814,225835,18107.0,18095.0,,,-12.0,0.0,-0.0006627271221074649,2024-01-30 09:49:00,2024-01-30 10:10:00,0 days 00:21:00,,2024-01-30,1,2024,0.7664084794129636
1,226701,226805,18043.0,18065.0,,,22.0,0.0,0.0012193094274788319,2024-02-02 09:33:00,2024-02-02 11:17:00,0 days 01:44:00,,2024-02-02,4,2024,0.9162848812994586
1,227911,227946,18659.0,18650.0,,,-9.0,0.0,-0.0004823409614662655,2024-02-19 09:39:00,2024-02-19 10:14:00,0 days 00:35:00,,2024-02-19,0,2024,0.6103286384976526
1,228503,228545,18695.0,18707.0,,,12.0,0.0,0.0006418828563787837,2024-02-21 09:29:00,2024-02-21 10:11:00,0 days 00:42:00,,2024-02-21,2,2024,1.1032388663967612
