strategy,cutoff,method,diff_pct,total_N,hi_PF,lo_PF,thr
EstHL,2026-03-02,"SMA, median",10.195307691521046,230,2.0246256239600666,1.837306566290255,0.8741401736103638
EstHL,2026-03-02,"EMA, median (H066)",64.31390449487577,237,2.3508645533141213,1.4307155322862128,0.8964965523743708
EstHL,2026-03-09,"SMA, fixed 0.85",10.80757861000394,230,2.0211180124223604,1.8239889705882353,0.85
EstHL,2026-03-09,"SMA, median",10.195307691521046,230,2.0246256239600666,1.837306566290255,0.8741401736103638
EstHL,2026-03-09,"EMA, median (H066)",64.31390449487577,237,2.3508645533141213,1.4307155322862128,0.8964965523743708
EstHL,2026-03-16,"SMA, fixed 0.85",12.680478678704063,231,2.05527950310559,1.8239889705882353,0.85
EstHL,2026-03-16,"SMA, median",12.187662038343419,231,2.0612312811980034,1.837306566290255,0.8754623921085081
EstHL,2026-03-16,"EMA, median (H066)",70.19384772339151,238,2.413090909090909,1.4178484953303356,0.8965770521127447
EstHL,2026-03-23,"SMA, fixed 0.85",24.418904898053082,233,2.0968944099378883,1.6853503184713376,0.85
EstHL,2026-03-23,"SMA, median",23.1952361058453,233,2.1058236272878537,1.7093385214007781,0.8754623921085081
EstHL,2026-03-23,"EMA, median (H066)",84.38111291002241,240,2.461818181818182,1.3351791530944626,0.8965770521127447
EstHL,2026-03-30,"SMA, fixed 0.85",24.418904898053082,233,2.0968944099378883,1.6853503184713376,0.85
EstHL,2026-03-30,"SMA, median",23.1952361058453,233,2.1058236272878537,1.7093385214007781,0.8754623921085081
EstHL,2026-03-30,"EMA, median (H066)",84.38111291002241,240,2.461818181818182,1.3351791530944626,0.8965770521127447
EstHL,2026-04-06,"SMA, fixed 0.85",24.418904898053082,233,2.0968944099378883,1.6853503184713376,0.85
EstHL,2026-04-06,"SMA, median",23.1952361058453,233,2.1058236272878537,1.7093385214007781,0.8754623921085081
EstHL,2026-04-06,"EMA, median (H066)",84.38111291002241,240,2.461818181818182,1.3351791530944626,0.8965770521127447
EstHL,2026-04-13,"SMA, fixed 0.85",26.637840781585243,234,2.0968944099378883,1.655819774718398,0.85
EstHL,2026-04-13,"SMA, median",25.208543466329935,234,2.1058236272878537,1.6818529862174578,0.8741401736103638
EstHL,2026-04-13,"EMA, median (H066)",83.60614418502298,241,2.4387608069164264,1.3282566429034348,0.8964965523743708
EstHL,2026-04-20,"SMA, fixed 0.85",19.530461370300074,235,2.0968944099378883,1.754276178556529,0.85
EstHL,2026-04-20,"SMA, median",15.302827886266302,235,2.076796849360026,1.8011673151750973,0.8728179551122195
EstHL,2026-04-20,"EMA, median (H066)",73.61051557425817,242,2.4387608069164264,1.4047310434219054,0.8951543228239702
Reversal,2025-12-01,"SMA, fixed 0.85",22.583189954782334,457,1.2109733310684558,0.9878787878787879,0.85
Reversal,2025-12-01,"SMA, median",45.3672502046932,457,1.335195530726257,0.9184981684981685,0.9349220898258479
Reversal,2025-12-01,"EMA, median (H066)",81.06745338444755,464,1.4497948607212265,0.8006932409012132,0.9496935047404913
Reversal,2025-12-08,"SMA, fixed 0.85",23.078078452724064,459,1.2109733310684558,0.9839065951404229,0.85
Reversal,2025-12-08,"SMA, median",37.22345969343729,459,1.297286012526096,0.9453820909517112,0.9339347306977979
Reversal,2025-12-08,"EMA, median (H066)",79.0406510569129,466,1.4404634198669812,0.8045454545454546,0.9484928765143912
Reversal,2025-12-15,"SMA, fixed 0.85",22.780485130197377,462,1.1855978712788957,0.965624032208114,0.85
Reversal,2025-12-15,"SMA, median",43.82841557153483,462,1.3,0.9038547736441058,0.9344284102618229
Reversal,2025-12-15,"EMA, median (H066)",76.59207164682802,469,1.4025485690411532,0.7942307692307692,0.9492110438048785
Reversal,2025-12-22,"SMA, fixed 0.85",23.142161408459984,463,1.1890903043405954,0.965624032208114,0.85
Reversal,2025-12-22,"SMA, median",44.314478771889235,463,1.3043933054393306,0.9038547736441058,0.9349220898258479
Reversal,2025-12-22,"EMA, median (H066)",79.40427793169337,470,1.415808282531007,0.789171974522293,0.9496935047404913
Reversal,2025-12-29,"SMA, fixed 0.85",19.42093892916311,465,1.1890903043405954,0.9957134109001837,0.85
Reversal,2025-12-29,"SMA, median",32.796398257219984,465,1.2683075671277462,0.9550767820307128,0.9339347306977979
Reversal,2025-12-29,"EMA, median (H066)",72.33223885971358,472,1.4069354501775642,0.8164087343650626,0.9484928765143912
Reversal,2026-01-05,"SMA, fixed 0.85",18.546060255689397,466,1.1890903043405954,1.0030618493570116,0.85
Reversal,2026-01-05,"SMA, median",32.03593212546782,466,1.2683075671277462,0.9605775842310337,0.9327379186468046
Reversal,2026-01-05,"EMA, median (H066)",69.54347898968092,473,1.399916857202245,0.8256978478585126,0.9477747092239039
Reversal,2026-01-12,"SMA, fixed 0.85",15.423787079963875,468,1.171554972964116,1.015003061849357,0.85
Reversal,2026-01-12,"SMA, median",28.466667422261132,468,1.2455053935277667,0.9695163878065551,0.9327379186468046
Reversal,2026-01-12,"EMA, median (H066)",64.77170302078237,475,1.3742093450316262,0.8340080971659919,0.9477747092239039
Reversal,2026-01-19,"SMA, fixed 0.85",19.86316350611634,470,1.216614779616582,1.015003061849357,0.85
Reversal,2026-01-19,"SMA, median",30.075763342517636,470,1.2846584099081102,0.987623195049278,0.9327379186468046
Reversal,2026-01-19,"EMA, median (H066)",66.21202488971083,477,1.4142011834319526,0.8508416790965267,0.9477747092239039
Reversal,2026-01-26,"SMA, fixed 0.85",21.184374126514445,471,1.216614779616582,1.0039370078740157,0.85
Reversal,2026-01-26,"SMA, median",28.595964696329663,471,1.2729612034837687,0.9898920284861016,0.9315411065958112
Reversal,2026-01-26,"EMA, median (H066)",67.48703722638876,478,1.4142011834319526,0.8443645591034046,0.9443782942811161
Reversal,2026-02-02,"SMA, fixed 0.85",21.184374126514445,471,1.216614779616582,1.0039370078740157,0.85
Reversal,2026-02-02,"SMA, median",28.595964696329663,471,1.2729612034837687,0.9898920284861016,0.9315411065958112
Reversal,2026-02-02,"EMA, median (H066)",67.48703722638876,478,1.4142011834319526,0.8443645591034046,0.9443782942811161
Reversal,2026-02-09,"SMA, fixed 0.85",19.288425047438324,472,1.1975806451612903,1.0039370078740157,0.85
Reversal,2026-02-09,"SMA, median",28.656107940637305,472,1.2602390750538899,0.9795408047283474,0.9327379186468046
Reversal,2026-02-09,"EMA, median (H066)",64.23648848470015,479,1.3867547018807522,0.8443645591034046,0.9477747092239039
