d,e,uL3,uL4,uL5,cont,mae_pct,reg
2021-08-11,198.29910276894987,1,0,0,0,-1.0892636274389729,升壓
2021-08-16,197.87771794538682,1,0,0,0,-0.8591164369851844,降壓
2021-08-18,206.38969654939828,1,1,1,1,-0.09690406223943018,升壓
2021-08-20,241.3530169032489,1,0,0,0,-0.7375089082534849,升壓
2021-08-23,245.12892005532044,1,1,1,1,-0.19173584246768227,升壓
2021-08-25,241.51823160991083,1,0,0,0,-0.13663564766944836,降壓
2021-08-27,237.82331431106078,1,1,1,1,-0.16819208880287506,降壓
2021-08-31,235.3927811027051,1,1,1,1,-0.19116983872315899,降壓
2021-09-03,234.35645023036977,1,0,0,0,-0.2944233023335768,降壓
2021-09-06,229.4653597322393,1,0,0,0,-0.6536934384128106,降壓
2021-09-09,224.87278937516786,1,0,0,0,-0.4713776188507818,降壓
2021-09-10,223.1706189584852,1,0,0,0,-0.21508207587544975,降壓
2021-09-17,197.95881307354696,1,1,0,1,-0.04546400263905533,降壓
2021-09-22,201.0103546855901,1,0,0,0,-0.21391932802296854,降壓
2021-09-23,199.86651138220057,1,0,0,0,-0.46030722887873055,升壓
2021-09-28,179.99874760506572,1,0,0,0,-0.022222376839956568,升壓
2021-09-30,176.35271629348918,1,1,1,1,-0.11340908391065359,升壓
2021-10-05,214.73915139369856,1,1,1,1,-0.28406557259865384,升壓
2021-10-07,224.81368175311835,1,1,0,1,-0.10230694066590532,升壓
2021-10-12,220.79759436026242,1,0,0,0,-0.4664905897115028,升壓
2021-10-15,220.7265629756009,1,1,0,1,-0.1177928005107117,升壓
2021-10-19,215.35666493014043,1,0,0,0,-0.2321729862236653,降壓
2021-10-21,202.48924272059114,1,0,0,0,-1.1506784107119692,降壓
2021-10-25,199.62498100257008,1,1,0,1,-0.09517846866948673,降壓
2021-10-27,192.46398671638957,1,0,0,0,-0.10391554462327299,降壓
2021-11-05,180.69798575163554,1,0,0,0,-0.09407963198530633,降壓
2021-11-08,179.96484425147978,1,0,0,0,-0.17781250628752665,降壓
2021-11-11,164.68533276329768,1,0,0,0,-0.5525689414660524,降壓
2021-11-12,162.52482488107884,1,0,0,0,-0.8183365224193752,降壓
2021-11-18,140.803624535698,1,0,0,0,-0.07812298892356401,降壓
2021-11-24,132.41094581535828,1,0,0,0,-0.6872543613342649,降壓
2021-11-26,128.39081959034996,1,0,0,0,-1.9939120321593564,降壓
2021-11-29,141.40121772460236,1,1,1,1,0.0,升壓
2021-11-30,150.02967317940212,1,0,0,0,-1.3663963645036112,升壓
2021-12-01,157.16970430517335,1,1,1,1,-0.12725098700425364,升壓
2021-12-02,169.24878008563303,1,1,0,1,-0.0649930829305502,升壓
2021-12-03,172.17746769652513,1,0,0,0,-0.22070251414649486,升壓
2021-12-06,167.5891374397132,1,1,1,1,-0.17900921538421244,升壓
2021-12-07,171.53302911212145,1,1,1,1,0.0,升壓
2021-12-15,165.01029614220752,1,0,0,0,-0.2787704832694606,降壓
2021-12-16,161.67598222390205,1,0,0,0,-0.1051485803033936,降壓
2021-12-21,156.21094504629565,1,1,1,1,-0.1280320018169833,升壓
2021-12-27,139.88529763513296,1,0,0,0,-0.264502421809247,降壓
2021-12-28,139.13431690797745,1,0,0,0,-0.014374598908785294,降壓
2021-12-29,135.78819148817007,1,0,0,0,-0.22093231871796168,降壓
2022-01-03,128.23931321367212,1,0,0,0,-1.3802319707146506,降壓
2022-01-04,133.7403310028462,1,1,0,1,-0.022431528152387744,降壓
2022-01-06,133.81011222681968,1,0,0,0,-1.2928768769489565,降壓
2022-01-07,138.30438725283685,1,0,0,0,-0.6290472900252518,升壓
2022-01-10,159.70396941923335,1,1,1,1,-0.062615851292646,升壓
2022-01-11,167.5416866174016,1,1,0,1,-0.08356129320800271,升壓
2022-01-14,162.7207027868219,1,1,0,1,-0.3380024733057767,升壓
2022-01-17,179.60444537855315,1,0,0,0,-0.37304199157645446,升壓
2022-01-20,177.90788153023388,1,1,0,1,-0.12365950182067281,升壓
2022-01-24,182.30100959731163,1,1,1,1,-0.26878622399424495,升壓
2022-01-26,193.54345683589455,1,0,0,0,-0.7078513644414354,升壓
2022-02-07,189.39646094676172,1,1,0,1,-0.11615845348970949,升壓
2022-02-10,178.5155302487678,1,1,0,1,-0.08402630280456251,降壓
2022-02-15,176.51571341931736,1,1,0,1,-0.1416304504325453,升壓
2022-02-18,171.8398961605764,1,1,1,1,-0.10474866664944814,升壓
2022-02-21,175.9503822405215,1,1,1,1,-0.22733681786107524,升壓
2022-02-22,185.09796488428134,1,0,0,0,-0.37277557342749335,升壓
2022-02-24,188.74912771706477,1,0,0,0,-1.6794779601587537,升壓
2022-03-01,202.1506464985496,1,1,1,1,-0.06430847600625048,升壓
2022-03-04,190.44328736999802,1,1,1,1,-0.042007256388393456,升壓
2022-03-08,212.5306728811095,1,1,0,1,0.0,升壓
2022-03-10,220.30288641741618,1,0,0,0,-0.38129323390181113,升壓
2022-03-17,232.60609978922605,1,0,0,0,-0.15476808231865408,升壓
2022-03-24,195.22662027261393,1,0,0,0,-0.11268955006893659,降壓
2022-03-28,184.645827479396,1,1,0,1,-0.17330475557900582,降壓
2022-04-01,169.0265315529145,1,0,0,0,-0.3076440102169474,降壓
2022-04-06,167.5001952145417,1,1,0,1,-0.10746256132385279,降壓
2022-04-08,177.85390129807155,1,0,0,0,-0.16305518061927632,升壓
2022-04-12,189.09582396508804,1,0,0,0,-0.6980587790472337,升壓
2022-04-13,186.51526930174632,1,1,1,1,-0.08578386134228526,升壓
2022-04-18,181.2849834942963,1,0,0,0,-0.948782390491883,升壓
2022-04-20,176.84326313251918,1,0,0,0,-0.15267757177590244,升壓
2022-04-22,168.62226301777648,1,1,0,1,-0.3439640707104348,降壓
2022-04-27,170.4632439303454,1,1,0,1,-0.09386187679578543,升壓
2022-04-28,171.75245879412205,1,1,0,1,-0.13391365783921538,升壓
2022-05-06,158.20895160713872,1,0,0,0,-0.2717924590435106,降壓
2022-05-10,156.37966333373487,1,1,1,1,-0.43483915075887464,升壓
2022-05-11,171.48636206385535,1,0,0,0,-0.34988205054847543,升壓
2022-05-17,175.87501190616922,1,0,0,0,-0.13646054513306416,升壓
2022-05-18,171.791677438915,1,0,0,0,-0.18627212026251058,降壓
2022-05-19,167.33532720663737,1,0,0,0,-0.3167292937166334,降壓
2022-05-20,165.20815318695762,1,0,0,0,-0.18764207093894988,降壓
2022-05-23,162.04547193105688,1,0,0,0,-0.5245441232456265,降壓
2022-05-25,171.81046568506017,1,1,0,1,-0.0523833048476662,降壓
2022-05-27,180.36185512994723,1,0,0,0,-0.21623197417159662,降壓
2022-05-30,176.99405940328558,1,1,0,1,-0.2485959141698923,降壓
2022-05-31,178.51843469821077,1,1,1,1,-0.20726150810446714,降壓
2022-06-01,185.89763139361926,1,0,0,0,-0.8606887500423086,降壓
2022-06-06,177.07719939477676,1,1,0,1,-0.05647254437148597,降壓
2022-06-08,172.8001564206676,1,0,0,0,-0.37615706690544254,降壓
2022-06-10,161.15386954163495,1,0,0,0,-0.29164673571711724,降壓
2022-06-14,155.73366645018191,1,1,1,1,-0.012842438283181278,升壓
2022-06-20,180.6829826330292,1,0,0,0,-0.8799943286465013,升壓
2022-06-21,188.7131747632169,1,1,1,1,-0.08478475347614493,升壓
2022-06-23,207.66770088326822,1,0,0,0,-1.300154038647393,升壓
2022-06-27,216.80734698154154,1,0,0,0,-0.5996106765287244,升壓
2022-07-04,252.79664314218672,1,0,0,0,-1.0126716748212972,升壓
2022-07-05,256.0541057000737,1,1,0,1,-0.19527122934934296,升壓
2022-07-07,285.09644480210113,1,1,1,1,-0.07365928401729839,升壓
2022-07-14,281.8928532565766,1,1,0,1,-0.07094894307872418,升壓
2022-07-15,285.04591485118834,1,0,0,0,-0.23504985165277026,升壓
2022-07-21,250.190027145694,1,0,0,0,-0.0999240468743451,降壓
2022-07-27,217.87807820637485,1,0,0,0,-0.07343556603636253,降壓
2022-08-04,188.61814230593228,1,1,0,1,-0.09012918795704483,升壓
2022-08-05,195.51165256251016,1,1,1,1,-0.12786961632379865,升壓
2022-08-09,190.41203305003665,1,1,0,1,-0.005251768934882488,降壓
2022-08-15,170.1831570133526,1,0,0,0,-0.2702970188547556,降壓
2022-08-19,142.93199441147016,1,0,0,0,-0.39879104909086616,降壓
2022-08-25,132.5101086671562,1,0,0,0,-0.6867400601759158,降壓
2022-08-29,126.43571253705984,1,1,0,1,-0.09490989340913197,降壓
2022-08-30,127.34659705733986,1,1,1,1,-0.0785258517390719,升壓
2022-08-31,130.17073067092653,1,1,1,1,-0.41483980094198575,升壓
2022-09-01,143.7735182260764,1,0,0,0,-0.8137799049754321,升壓
2022-09-05,150.9393199084208,1,0,0,0,-0.9871516586294582,升壓
2022-09-08,154.44409839670212,1,1,0,1,-0.16834570093586163,升壓
2022-09-14,144.72671103584707,1,1,1,1,-0.034547872774926526,升壓
2022-09-15,149.80035760386164,1,1,0,1,-0.17356433866970794,升壓
2022-09-20,144.6937320812965,1,0,0,0,-0.16586758565682408,升壓
2022-09-22,139.6835312502223,1,1,0,1,-0.10022656124665892,升壓
2022-09-27,151.27668079530014,1,0,0,0,-0.4693386953411119,升壓
2022-09-29,169.26277044694638,1,0,0,0,-0.5789814248060949,升壓
2022-09-30,172.2853637377134,1,0,0,0,-0.6442799178750087,升壓
2022-10-03,171.11532909602641,1,1,1,1,-0.005844011785985699,升壓
2022-10-04,176.62815489640485,1,0,0,0,-0.19249479235029957,升壓
2022-10-05,171.806425858652,1,0,0,0,-0.8556140974665252,升壓
2022-10-12,169.97684722068166,1,0,0,0,-0.40593763873274463,升壓
2022-10-13,169.50286177109294,1,0,0,0,-0.18288776765234974,升壓
2022-10-14,180.02639874527455,1,0,0,0,-0.5499193489954685,升壓
2022-10-17,179.54769410286744,1,0,0,0,-0.44556406251681496,升壓
2022-10-18,180.35267561688008,1,0,0,0,-0.2606005141827851,升壓
2022-10-20,183.1503761852465,1,1,1,1,-0.5459994245321971,升壓
2022-10-25,193.67157221192159,1,0,0,0,-0.6970563540026344,升壓
2022-10-26,203.22666057269095,1,0,0,0,-0.4379346673768037,升壓
2022-10-31,189.0160527878293,1,0,0,0,-0.3756294714274748,降壓
2022-11-01,186.3478572842265,1,0,0,0,-0.4722351052621886,降壓
2022-11-03,174.79722557733734,1,0,0,0,-0.3146503030488077,降壓
2022-11-04,170.43558504616234,1,1,0,1,-0.2229581339466622,降壓
2022-11-07,172.20362456557547,1,1,0,1,-0.11033449526937665,降壓
2022-11-09,164.28913484846427,1,1,0,1,-0.1582575745132609,降壓
2022-11-11,159.4702441730059,1,1,0,1,-0.24455973089054608,降壓
2022-11-14,160.09212568033868,1,0,0,0,-0.47472665927212276,降壓
2022-11-15,155.79763752030644,1,1,1,1,-0.10269732105478546,降壓
2022-11-16,175.53119585170583,1,1,0,1,-0.19939475618663863,升壓
2022-11-17,177.95679624678147,1,1,0,1,-0.08429012162704233,升壓
2022-11-18,178.9132918423261,1,0,0,0,-1.3246640177458975,降壓
2022-11-22,177.5775472904302,1,0,0,0,-0.21399101733199719,降壓
2022-11-24,169.01019177289183,1,0,0,0,-0.20708810298867303,降壓
2022-11-28,158.8586830612561,1,0,0,0,-0.7239138445813242,降壓
2022-11-29,158.49118943637455,1,1,1,1,-0.20821346673814745,降壓
2022-11-30,166.92059996624366,1,1,1,1,-0.0599087230816466,降壓
2022-12-05,168.38747383311363,1,1,0,1,-0.19597657265590798,降壓
2022-12-07,173.2877053373107,1,1,0,1,-0.14426874631028558,升壓
2022-12-08,174.49840006709064,1,0,0,0,-0.30372771314592406,升壓
2022-12-09,172.83188577498677,1,0,0,0,-0.28929846929458364,升壓
2022-12-14,172.10732151286408,1,0,0,0,-0.3079473873285428,升壓
2022-12-15,170.5732908925913,1,0,0,0,-0.3048542930014993,降壓
2022-12-16,167.94726318853498,1,0,0,0,-0.6668760054414852,降壓
2022-12-19,165.19038098010307,1,0,0,0,-0.5085041846965512,降壓
2022-12-29,144.2513298193999,1,0,0,0,-0.26342911394699325,降壓
2023-01-03,137.82024958005297,1,1,1,1,-0.10158158937209072,降壓
2023-01-06,145.78027123092357,1,0,0,0,-0.3086837445151796,降壓
2023-01-09,144.08691206607372,1,1,1,1,-0.08328306733714425,降壓
2023-01-30,133.51322711882239,1,0,0,0,-0.11983831374070919,升壓
2023-02-01,143.25232424012444,1,0,0,0,-0.12565241154361856,升壓
2023-02-02,139.60924574106497,1,0,0,0,-0.12893128893042533,升壓
2023-02-03,138.88455567048734,1,1,0,1,-0.12960404353890992,升壓
2023-02-08,131.39241629887408,1,1,0,1,-0.09894026128897211,升壓
2023-02-13,123.15738941733909,1,0,0,0,-0.19487259443826022,降壓
2023-02-14,122.47573328235441,1,0,0,0,-0.39191437122765577,升壓
2023-02-16,124.83387690460304,1,1,0,1,-0.13618098245071128,降壓
2023-02-20,123.6077767858542,1,1,1,1,0.0,降壓
2023-02-22,124.62223904692374,1,0,0,0,-0.31294574947666776,降壓
2023-02-23,123.13440675674052,1,1,1,1,-0.08933327645563086,降壓
2023-03-01,135.06013795733182,1,1,1,1,-0.16289040077058292,降壓
2023-03-02,143.3401248185383,1,1,0,1,-0.22324523604615568,降壓
2023-03-06,142.8203742845631,1,1,0,1,-0.02100540637166121,降壓
2023-03-07,142.74224340031898,1,1,0,1,-0.2031634035530031,降壓
2023-03-13,138.61447597540618,1,1,1,1,-0.15871358200642316,升壓
2023-03-14,143.98452588251035,1,0,0,0,-0.5208893076551788,升壓
2023-03-16,143.17554159543366,1,0,0,0,-1.0476649735598695,升壓
2023-03-17,144.30168049110665,1,0,0,0,-0.18710800808493713,升壓
2023-03-22,135.7627930556636,1,1,0,1,-0.10312103695642084,升壓
2023-03-23,137.78538419321944,1,1,1,1,-0.050803646852584504,降壓
2023-03-24,142.0915380795795,1,0,0,0,-0.07741488443765991,降壓
2023-03-27,139.70186778628621,1,0,0,0,-0.47243462844008494,降壓
2023-04-10,123.44130912533285,1,0,0,0,-0.7290914252101854,降壓
2023-04-11,121.11356539911067,1,1,0,1,0.0,降壓
2023-04-14,117.60673200221359,1,1,0,1,-0.06802331689523883,降壓
2023-04-17,119.73942419247896,1,0,0,0,-0.008351468254870827,降壓
2023-04-20,118.18623372597054,1,1,0,1,-0.10999589030091368,降壓
2023-04-24,123.50392375300537,1,0,0,0,-0.46962070707966974,降壓
2023-04-27,134.76594460877484,1,1,0,1,0.0,降壓
2023-05-02,133.09411792237577,1,0,0,0,-0.5109166435113196,降壓
2023-05-04,126.23350696140056,1,1,0,1,-0.18220202031646712,升壓
2023-05-05,126.49698248888622,1,0,0,0,-0.8853966141827937,降壓
2023-05-09,120.74696298976853,1,0,0,0,-0.15735385412227684,降壓
2023-05-12,122.8374278314245,1,1,0,1,-0.1058309362993216,降壓
2023-05-15,124.37672041890788,1,0,0,0,-0.144721616226694,降壓
2023-05-16,121.76941371234523,1,1,0,1,-0.16424485747501272,降壓
2023-05-17,122.55327907307425,1,1,1,1,-0.12239574586214068,降壓
2023-05-18,134.11963344706717,1,0,0,0,-0.3429773763746138,降壓
2023-05-23,123.47312016126052,1,1,0,1,-0.11338500219088556,升壓
2023-05-25,119.86348385082778,1,0,0,0,-0.7091400756028751,降壓
2023-05-26,118.63839015074895,1,0,0,0,-0.5563123363030845,升壓
2023-05-31,112.96023302494191,1,0,0,0,-0.5665710691820955,升壓
2023-06-01,115.82116321304268,1,0,0,0,-0.7597920583661543,升壓
2023-06-02,113.93343338322909,1,1,1,1,-0.1755410980438687,升壓
2023-06-05,119.46358258482631,1,0,0,0,-0.862187436299793,升壓
2023-06-06,118.27657471960475,1,0,0,0,-0.6932902833413573,升壓
2023-06-07,116.91690093678525,1,1,0,1,-0.342123334432438,升壓
2023-06-09,126.8185969119716,1,0,0,0,-0.346952269394225,升壓
2023-06-13,120.0215725288475,1,1,1,1,-0.24162322979920775,升壓
2023-06-14,126.97189895467154,1,0,0,0,-0.4725455041152039,升壓
2023-06-15,124.11743238755997,1,0,0,0,-0.21753592126923627,升壓
2023-06-16,123.53481977922092,1,0,0,0,-0.5423572084351693,升壓
2023-06-19,121.96007503834274,1,1,0,1,-0.20498511494142907,升壓
2023-06-20,122.3448297965958,1,0,0,0,-0.4904171275545759,升壓
2023-06-21,123.26436981596763,1,0,0,0,-0.49487130864395235,升壓
2023-06-26,120.57252507158975,1,0,0,0,-0.4312756987474972,升壓
2023-06-27,117.94657030286692,1,0,0,0,-1.1954565498423206,降壓
2023-06-29,118.80887047468245,1,1,0,1,-0.10100255942216989,降壓
2023-06-30,129.58897804852222,1,1,0,1,-0.3858352828531329,降壓
2023-07-03,132.00907537723438,1,1,0,1,-0.14392949837505373,降壓
2023-07-04,132.86535391273586,1,1,0,1,-0.17310758089054643,降壓
2023-07-07,140.8005034539958,1,1,0,1,-0.021306741995991512,升壓
2023-07-11,148.36503797481288,1,0,0,0,-0.31004609056083127,升壓
2023-07-12,147.56836769149737,1,0,0,0,-0.07454172037056286,降壓
2023-07-13,143.5142374351643,1,1,0,1,-0.2787179914332254,升壓
2023-07-14,148.79859577467246,1,1,0,1,-0.05376394823049606,升壓
2023-07-17,150.0558723675608,1,0,0,0,-0.5597914874950218,降壓
2023-07-18,146.81245595160263,1,0,0,0,-0.4427417250034121,升壓
2023-07-20,161.4859333299967,1,0,0,0,-0.5015916763132329,升壓
2023-07-21,158.67774920333034,1,1,0,1,-0.23947907120428485,升壓
2023-07-24,159.56558261253699,1,1,0,1,-0.25068062513912837,降壓
2023-07-25,159.41647950658108,1,1,0,1,-0.4077370181626464,升壓
2023-07-28,151.64989017769568,1,1,0,1,-0.09231790397998645,升壓
2023-08-04,186.73406316219825,1,0,0,0,-0.3695094447769083,升壓
2023-08-07,183.0451047657984,1,1,0,1,-0.03277880611817972,降壓
2023-08-09,191.9167410894631,1,0,0,0,-0.7294829997907175,升壓
2023-08-17,182.97704867872818,1,1,1,1,-0.092907827089553,升壓
2023-08-18,192.9792345188493,1,0,0,0,-1.1192914125633664,降壓
2023-08-23,185.0904405101811,1,0,0,0,-0.23772162343294942,升壓
2023-08-29,168.03156759646092,1,1,0,1,-0.017853788088228167,降壓
2023-09-01,157.84240601923392,1,0,0,0,-0.5131700792126149,降壓
2023-09-04,154.90503401740213,1,1,0,1,-0.14202249874932085,降壓
2023-09-08,138.72135035392589,1,0,0,0,-0.3171826102308034,降壓
2023-09-12,143.30251128745408,1,1,1,1,-0.09071718201729889,降壓
2023-09-14,144.26350697226965,1,1,0,1,-0.13170343906620946,降壓
2023-09-15,146.42888726062492,1,0,0,0,-0.143414324815722,降壓
2023-09-22,142.48324008567516,1,1,0,1,-0.2947715111948985,升壓
2023-09-25,144.81816960132514,1,1,0,1,-0.16572506106153956,升壓
2023-09-27,144.41578055800085,1,0,0,0,-0.526258278052076,降壓
2023-10-02,140.5126911143726,1,0,0,0,-0.3914237181268691,升壓
2023-10-04,137.96617118432766,1,0,0,0,-0.34791137267896133,升壓
2023-10-05,136.44558345248694,1,1,1,1,-0.07328929047734402,升壓
2023-10-12,139.20443331180306,1,0,0,0,-0.12930622661766758,升壓
2023-10-19,138.3845052115318,1,0,0,0,-0.6142306168603969,升壓
2023-10-20,137.58598090567162,1,1,1,1,-0.09448637073651237,升壓
2023-10-24,141.76992994772664,1,1,1,1,-0.021161045936230336,升壓
2023-10-25,146.83946042889553,1,0,0,0,-0.8308393373528935,升壓
2023-10-30,139.93217353220976,1,0,0,0,-0.6288761031768298,升壓
2023-11-01,146.82429624745515,1,0,0,0,-0.29286706014601654,升壓
2023-11-02,146.36483946198322,1,1,0,1,-0.1639738074268428,升壓
2023-11-06,141.7952540720543,1,0,0,0,-0.5994558883952958,降壓
2023-11-08,136.18613768710114,1,0,0,0,-0.4846308230845083,降壓
2023-11-10,130.1024845919354,1,0,0,0,-0.0384312414607794,降壓
2023-11-17,122.18264484536661,1,0,0,0,-0.45014576390622063,降壓
2023-11-21,121.48284532693276,1,1,0,1,-0.18109552785657876,降壓
2023-11-23,119.36804345356627,1,0,0,0,-0.2764559009701527,降壓
2023-11-27,115.20150495858826,1,1,0,1,-0.06076309508731076,降壓
2023-11-28,124.8013616291989,1,1,1,1,-0.032050932359893,降壓
2023-11-29,132.629803378799,1,0,0,0,-0.9047740171737456,降壓
2023-11-30,132.95077448558007,1,0,0,0,-0.3610358810298327,降壓
2023-12-01,132.19355786790578,1,1,1,1,-0.2496339498856306,降壓
2023-12-06,131.27779002439974,1,0,0,0,-0.6170122149751688,降壓
2023-12-14,120.123231916142,1,0,0,0,-0.6576579629088725,降壓
2023-12-20,114.09837313950227,1,0,0,0,-0.18405170400040996,降壓
2023-12-21,111.32709950716873,1,1,0,1,-0.29642378312276985,降壓
2023-12-26,102.94574835543357,1,1,0,1,-0.19427708593605442,升壓
2023-12-27,103.23662946443989,1,1,1,1,-0.2324756254103284,升壓
2024-01-02,99.68535163552458,1,0,0,0,-1.6652396493211852,升壓
2024-01-03,106.28674671785558,1,0,0,0,-0.3669319195885052,升壓
2024-01-08,109.048136889944,1,1,1,1,-0.1008728834230489,升壓
2024-01-11,121.39176880770175,1,1,0,1,-0.42012733236295247,升壓
2024-01-12,121.73540987363492,1,1,0,1,-0.18071980882831604,升壓
2024-01-15,121.85584702852684,1,0,0,0,-0.779609697167508,升壓
2024-01-16,122.44100445438143,1,0,0,0,-1.0208998248341878,降壓
2024-01-19,131.07340995061034,1,1,1,1,-0.22887937386617374,降壓
2024-01-26,119.15690167929156,1,0,0,0,-0.5119300614594721,降壓
2024-01-29,116.09433961459713,1,1,1,1,-0.1292052657329899,降壓
2024-02-01,114.7380493916987,1,0,0,0,-0.07843954161426724,降壓
2024-02-05,111.38420823220687,1,1,1,1,-0.1256910671826447,降壓
2024-02-15,114.49047411485384,1,1,1,1,-0.04367175556443352,升壓
2024-02-20,112.62500399025834,1,1,1,1,-0.06215316094999184,升壓
2024-02-22,113.04677197388494,1,1,0,1,-0.11499664937803925,升壓
2024-02-23,115.51850797637209,1,0,0,0,-0.8137224211658496,降壓
2024-02-26,114.23103102624141,1,1,1,1,-0.32390498157633085,降壓
2024-02-27,116.97093283326603,1,1,0,1,-0.3077687689412164,降壓
2024-02-29,131.54512970628832,1,1,1,1,-0.3116801062231957,降壓
2024-03-04,133.08342817226776,1,1,1,1,-0.030056334247884436,降壓
2024-03-05,139.74214929871846,1,0,0,0,-0.40073807567029857,升壓
2024-03-06,138.90956365122148,1,1,1,1,-0.07918821217824244,升壓
2024-03-07,149.68008139872418,1,1,1,1,-1.0622655901452178,升壓
2024-03-08,153.13912126551236,1,1,1,1,-0.11101017074876267,升壓
2024-03-11,173.8877763830826,1,0,0,0,-0.816618643090631,升壓
2024-03-12,171.23179767993187,1,1,1,1,-0.07592047841662987,升壓
2024-03-14,179.35301352030703,1,1,0,1,-0.14496550400618824,升壓
2024-03-18,176.52707002455972,1,1,0,1,-0.050983681985702564,升壓
2024-03-19,176.19115859364928,1,0,0,0,-0.4427009880779084,升壓
2024-03-21,180.4784767626018,1,1,1,1,-0.09419405740198872,降壓
2024-03-26,177.36787302825675,1,1,0,1,-0.05074199654277974,降壓
2024-03-28,194.80227247891312,1,0,0,0,-0.3850057755774824,升壓
2024-04-02,180.1009380124031,1,0,0,0,-0.18323058371704523,降壓
2024-04-03,179.51989629693614,1,0,0,0,-0.3899289240019168,降壓
2024-04-08,176.13704903056126,1,0,0,0,-0.4598691782666679,升壓
2024-04-09,173.17161578955543,1,1,1,1,-0.18478778900398773,降壓
2024-04-12,174.58936537097082,1,0,0,0,-0.3436635437245038,升壓
2024-04-16,167.6706596347403,1,1,0,1,-0.05367665410040086,升壓
2024-04-17,198.17821586000312,1,1,1,1,-0.3027577967620071,升壓
