d,lvl,tk,ema20,swing_at_tk,up_full,satcons,cont,W5_level,W5_slope,W5_ddpeak,W5_frozen,W10_level,W10_slope,W10_ddpeak,W10_frozen,is_seg,tk_min,tk_t,tod,vol_ratio
2025-10-16,L3,09:51:00,347.90008121929753,248.0,427.0,0.7128483532709328,1.0,0.6123593971044131,0.0,0.0153785290931333,0.2486399301504118,0.5020892184613002,0.0046240971706343,0.0075725954664198,0.1922937319924485,IS,591,09:51:00,591,1.113163146935539
2025-10-17,L3,09:05:00,355.4334068174597,279.0,301.0,0.7849571667957659,0.0,0.1932091397162219,0.062544004656182,,0.2339926616348583,0.1834674786522348,0.0729424371814131,,0.2439966046748252,IS,545,09:05:00,545,1.3584297941416985
2025-10-20,L3,09:25:00,350.2492728348445,255.0,392.0,0.7280529033967245,1.0,0.3307578480976086,0.2196843906479322,0.0,-0.0532416109802836,0.2739397461243656,0.1848051402068706,0.0,-0.0119492824423774,IS,565,09:25:00,565,1.3057473126070276
2025-10-22,L3,12:12:00,343.1564342253489,244.0,271.0,0.7110459710621849,0.0,0.18263597095688,0.027808262191797,0.0992880304523217,0.2502246311812233,0.1861686992334293,0.041420892510575,0.0754188550184239,0.2044701198065443,IS,732,12:12:00,732,1.0240410366643165
2025-10-23,L3,10:31:00,336.28439287055375,244.0,316.0,0.7255763430386826,0.0,0.2735566837633298,0.1045195976316465,0.0717452224216169,0.1720399494615787,0.1892894121032371,0.0807707383014638,0.0724467786598839,0.147866285797239,IS,631,10:31:00,631,0.7989053192733738
2025-10-29,L3,10:36:00,317.2999298886868,227.0,243.0,0.7154114407766643,0.0,0.2678519161820201,0.1009115351136175,0.0,-0.0942987369356481,0.2751928063943904,0.1041539411872662,0.0052374364606361,-0.096454221445921,IS,636,10:36:00,636,0.9855459346697849
2025-10-30,L3,13:24:00,310.22374608976423,224.0,238.0,0.7220594903627554,0.0,-0.3259668646897258,0.0093757338302116,0.4244053776197966,0.0329360815296409,-0.1593262272752252,0.0185459204405493,0.3342865274197195,0.1482437515813236,IS,804,13:24:00,804,1.2167938335932007
2025-11-03,L3,09:21:00,305.9155835337979,219.0,219.0,0.715883765940301,0.0,0.3084695263327288,0.1511869473284564,0.00940963030426,0.1136260877196804,0.245615229969179,0.1089487623915203,0.0074023973591111,0.104028966334191,IS,561,09:21:00,561,0.9446575881065837
2025-11-05,L3,10:45:00,326.7336182668958,241.0,435.0,0.7376039272553111,1.0,0.0310618387598305,0.0898685990262334,0.1994404731256154,0.2305023118854459,0.1595334316581657,0.0820481686677478,0.0990425996648212,0.2569303553984227,IS,645,10:45:00,645,1.6925125429156664
2025-11-10,L3,12:08:00,319.4583616988055,233.0,321.0,0.7293595282995882,1.0,0.2553415202848757,0.0104736470154752,0.00819816181847,0.1074983439488331,0.3156721946166828,0.0190452486791371,0.0066651245762067,0.0892281545002655,IS,728,12:08:00,728,0.9182569580968982
2025-11-18,L3,09:46:00,296.0775131352503,221.0,258.0,0.7464261559743838,0.0,0.0136477589650795,0.0559853391660416,0.0,-0.1030047341821045,0.0647264527890965,0.0535632159676095,0.0,-0.0395021518781515,IS,586,09:46:00,586,0.9443838923915132
2025-11-20,L3,11:22:00,321.97728399506883,232.0,291.0,0.7205477266015858,0.0,-0.0480468956296119,0.0939224979448688,0.0359296492091863,-0.1289048852971865,-0.1185770531960254,0.0777454677477588,0.1223574289580246,-0.120958126754923,IS,682,11:22:00,682,1.312232961647682
2025-11-26,L3,09:26:00,313.69707903353725,229.0,251.0,0.730003609550721,0.0,0.1182728813508903,-0.0355336623336602,0.0355336623336602,0.0535581767439943,0.096177101103587,-0.0335041569270357,0.0335041569270357,0.0367635912365619,IS,566,09:26:00,566,0.9586205452192307
