d,ema20,up_full,W20_09:01,W50_09:01,H20_09:01,upsw_09:01,W20_09:05,W50_09:05,H20_09:05,upsw_09:05,W20_09:10,W50_09:10,H20_09:10,upsw_09:10,W20_09:15,W50_09:15,H20_09:15,upsw_09:15,W20_09:20,W50_09:20,H20_09:20,upsw_09:20,W20_09:25,W50_09:25,H20_09:25,upsw_09:25,W20_09:30,W50_09:30,H20_09:30,upsw_09:30,exc
2025-09-01,236.04489553529612,176.0,0.05663347533730678,0.04900612513850874,0.04544417717933842,81.0,-0.08473327086152165,-0.08520138745208154,-0.14021480500812808,123.0,0.025247707916778852,-0.00990823667466769,-0.03580553752896597,123.0,0.037665331660839615,0.01560860521477682,-0.018605591520016767,123.0,-0.07116493402170253,-0.0786000889201649,-0.12546239430823436,123.0,0.04346057847139716,0.026404478598980898,-0.006079623735394235,123.0,0.06054435415815057,0.04647717134456609,0.020448678275049665,123.0,0.7456208684406076
2025-09-02,251.46919119860127,184.0,0.08015664027616015,0.04940930326831445,0.061811608534188316,129.0,0.13213825887274355,0.09526511181036175,0.1302247709232795,131.0,0.11187161290083947,0.04284187310556927,0.07871505696928702,172.0,0.014322888280187077,-0.04293305094942979,0.0023996208766777997,172.0,-0.10014734070968398,-0.16430545693114346,-0.1665756931943721,172.0,-0.1189515598731337,-0.21365628101242223,-0.1627904795411905,172.0,-0.19400456682375186,-0.27990804569884997,-0.23651492056431628,172.0,0.7316999713681962
2025-09-03,262.7578396558773,195.0,-0.15434219206961636,-0.14089696628029122,-0.19036065689268752,93.0,0.054189052740023454,0.019471206220105966,-0.01682583092192748,107.0,0.10728163641764717,0.07398920789999429,0.05633273711408846,126.0,-0.006451186664669367,-0.017369020788226545,-0.04146569612445717,136.0,-0.05219348101521961,-0.05515135066019653,-0.06795967147183925,136.0,0.013847085152621,0.011073984149319406,-0.024570794895932165,136.0,0.12438301276408813,0.08977297964327358,0.043232758346753906,136.0,0.7421281901821964
2025-09-04,256.3047120696033,176.0,0.08107389176966025,0.02683925308907584,0.02017046274933867,86.0,-0.004499653759005584,-0.030798545490751988,-0.05872620694957248,86.0,-0.0042997917604992615,-0.02465914561616522,-0.08928823510705822,133.0,-0.08190130809631063,-0.149295291419271,-0.16706723367712836,133.0,-0.13083815278776562,-0.17403242141497663,-0.19465871812545088,133.0,-0.20533466997670896,-0.26061331506007424,-0.28950239420028157,133.0,-0.03148939059224626,-0.10452631765855672,-0.15494447414435245,133.0,0.6866826543251559
2025-09-05,255.89473949154583,143.0,0.0015226253455317312,0.005002112269577173,-0.0617313978065772,41.0,-0.01619894588376136,-4.956152507490933e-05,-0.06813147765938207,41.0,0.023068762722382938,0.012246033214425195,-0.02430353608316667,50.0,-0.05785754750150677,-0.03916618913563817,-0.043268303076255864,54.0,-0.04979226751245857,-0.055756024344844245,-0.0672659562540154,54.0,-0.07100351244547534,-0.0456007457848988,-0.08608551498184859,54.0,-0.03432873632260354,-0.027507327315729302,-0.06894020343487589,54.0,0.5588235236259103
2025-09-08,245.14285953997003,115.0,-0.08591340901727137,-0.1098214240089533,-0.09203014890399287,100.0,-0.11310133182821154,-0.13459769536944993,-0.08684445456057847,100.0,-0.17349404834649043,-0.19634958143356007,-0.18583316666950186,115.0,-0.17096953757893302,-0.20665317060547927,-0.15318869951787029,115.0,-0.1851658605070629,-0.2110690014616031,-0.14155572531155186,115.0,-0.21023324758529496,-0.22527395742950493,-0.20859361825122696,115.0,-0.17147485947360874,-0.19741369065987438,-0.17485570357874614,115.0,0.4691142145270174
2025-09-09,236.6530633933062,178.0,-0.03324825334449462,-0.03384131542914611,-0.10391800734501319,32.0,0.0037841833085272697,0.02552261071686836,-0.06580023891856465,38.0,0.006807065620220024,0.03713327854500274,-0.09230246947547237,38.0,0.03488339389673755,0.05157493522813636,-0.06536516038800047,38.0,0.008950496751473873,0.05169860519735371,-0.07810130031299325,38.0,0.006060594409012237,0.04283627498136143,-0.034419221011132844,39.0,0.004165009302498067,0.05755056497985218,-0.008841387016374117,39.0,0.752155908939883
2025-09-10,231.06705735584848,283.0,-0.021925859196586617,-0.010742352144611327,0.02043606337601489,65.0,0.03602815704127942,0.04231097586383451,0.0782197601885816,65.0,-0.01279549081352834,0.016046485894809646,0.04673724171551365,65.0,-0.0008912191066593673,0.04838589895732414,0.04797051825401937,65.0,-0.004760241730587677,0.05036974565923302,0.048544289535519806,65.0,0.09042807183451779,0.12198464252315014,0.1340475957894799,88.0,0.14034308867694303,0.14668604096470472,0.1411908295009786,98.0,1.2247526897102152
2025-09-11,236.01305189338672,152.0,-0.0027635422331012175,0.03555916365382658,0.02065283320358178,55.0,-0.09588918580176115,-0.05766394038931837,-0.0957415068824976,55.0,-0.23998704573202512,-0.20802916073999903,-0.23012904868832526,55.0,-0.1479049130606343,-0.15817711945144552,-0.14804306281529073,79.0,-0.07777231448325059,-0.09950289665256974,-0.12847582980619643,79.0,-0.04516076417415329,-0.07394098228403413,-0.1157625413366182,79.0,-0.04747973020429032,-0.07635981180094992,-0.1327155854895371,94.0,0.6440321786468928
2025-09-12,240.96418980830228,116.0,0.004511347081937043,0.0015352877661409426,-0.0018216142781446005,28.0,-0.023442274440912892,0.0073773094572158,-0.036947894880331386,44.0,-0.09007692979395868,-0.08144908990303927,-0.11052871292020798,53.0,-0.07900528041115386,-0.07875742032431124,-0.11175622647403513,53.0,-0.13286404156755546,-0.11440527656691263,-0.12990984100640338,66.0,-0.20364563505763944,-0.1829034963578149,-0.18799546206130913,66.0,-0.21755706765164978,-0.23569436325822793,-0.25910628264509755,66.0,0.4813993319600027
2025-09-15,229.06283839798778,139.0,-0.1732232823507799,-0.17651633218350055,-0.1906405100029917,61.0,-0.2596409966888776,-0.27417020093798034,-0.28210681488268385,61.0,-0.3115183354482879,-0.32046380882673287,-0.3569295366536998,61.0,-0.27302460166635945,-0.2656983739915248,-0.30989202871790494,61.0,-0.2379173968721382,-0.2320566101540941,-0.26229085821010484,61.0,-0.25082820405876305,-0.26567746829901234,-0.3152005030587718,61.0,-0.20497769606150482,-0.21176616522842534,-0.27261088802659456,64.0,0.6068203859348539
2025-09-16,224.48542521722703,253.0,-0.056804219854816075,-0.03593900637409522,-0.09294707980322918,60.0,0.05502112436695244,0.02970479707376211,0.004963238000539484,125.0,0.10849380240328882,0.056634030937811955,0.05874573970594113,174.0,0.08772172843521481,0.09085054347757465,0.06824689435296367,185.0,0.10870072836500036,0.10976055079083642,0.10645977400744815,185.0,0.18944057505073345,0.1874124015438878,0.17270469792062274,189.0,0.0951766852485937,0.10596961091146594,0.08770804703831608,189.0,1.1270219425389438
2025-09-17,227.20109900606255,81.0,0.10255722694053296,0.06509688706312657,0.09201417660554999,38.0,0.10763970559096185,0.04610825950624027,0.04488916198583381,46.0,0.13738749854758597,0.07383154489037842,0.06199292417611702,61.0,-0.02639529527466063,-0.06507252374892729,-0.14495086175597793,61.0,-0.004792343420329516,-0.0676351684647523,-0.1043616338441896,61.0,-0.057408140511598635,-0.0732497248729044,-0.13216651613940597,70.0,-0.09596676708775424,-0.11380711434699528,-0.2122532845585606,70.0,0.3565123599945202
2025-09-18,220.32480386262802,257.0,0.0190320118403761,0.00038815971041878566,0.05887793861483283,39.0,0.05225246095149559,0.0036132676213165077,0.07838222016239271,39.0,0.008499990801245366,-0.04779086574461519,0.0589916406881225,39.0,-0.04131751793609225,-0.06672502292909689,-0.005611306489922038,39.0,-0.04776306066970687,-0.0621661691288609,0.021057869074368376,39.0,-0.04446050577539095,-0.0706719924992278,0.014645705694157792,39.0,-0.025438479438115925,-0.06152735407333058,0.03378074243984869,39.0,1.1664596790483874
2025-09-19,223.81767968523488,138.0,-0.05450392364891377,-0.0224586333590948,-0.043998517284510055,33.0,-0.06975813481815614,-0.03069363753258225,-0.04687767831356232,33.0,-0.1543396698858457,-0.08539391993968715,-0.12953146022038498,33.0,-0.15673956747819143,-0.07781811320522891,-0.06458391411960973,49.0,-0.1583112967666903,-0.10100072529179775,-0.08293770149784577,49.0,-0.29437451560286354,-0.20978238771493768,-0.19398810472742334,49.0,-0.2837535917139254,-0.201669085803914,-0.16421299552908963,49.0,0.6165732760435895
2025-09-22,223.16837685806965,252.0,0.10810217121654848,0.0754961254353888,0.11923975087245638,47.0,0.09163129815746239,0.06815913994408285,0.19750838270764318,49.0,0.07921252393907573,0.029759813816918623,0.17237862852785354,49.0,0.07578226994375915,0.05245100338024088,0.09906800918108191,49.0,0.12405498323063881,0.07556960763121387,0.1111862348528547,49.0,0.1611752351391972,0.11573540414525504,0.15117899785723787,57.0,0.13527693585514888,0.09734823773522408,0.1293912336833573,77.0,1.1291922428609438
2025-09-23,225.9142457287297,305.0,0.033471295518609286,0.04599572795647786,0.0075412381429544135,96.0,0.03353630072537697,0.01783702529417924,0.034726836690942384,96.0,-0.005583196438124216,0.00868784621409094,0.02181582877196572,96.0,-0.06824677919321294,-0.025260285950257033,-0.037939402266201815,96.0,-0.10025481095293667,-0.08544729078525924,-0.08578200568192901,96.0,-0.15394601608556355,-0.13862510041575593,-0.10983825248956211,96.0,-0.11147867743246952,-0.09599819768027644,-0.06655257076903608,96.0,1.3500697975736946
2025-09-24,233.44622232599355,188.0,-0.058607609946240716,-0.05889179563838253,-0.042479380785368843,49.0,-0.183905804356867,-0.13569024159211304,-0.15417798378736525,58.0,-0.1289266340411604,-0.09493692747032997,-0.087269317741702,66.0,-0.3400504718828001,-0.3224610781304785,-0.33090635757691444,66.0,-0.4517710136517592,-0.4192390785911998,-0.4348344561780683,66.0,-0.43732726179271963,-0.41345062301368274,-0.4365771997169878,66.0,-0.3968016444185813,-0.35591242218186697,-0.3837023381519145,86.0,0.8053246616150822
