trade_date,ema20,active,breadth_09:01,thrust_09:01,breadth_09:05,thrust_09:05,breadth_09:10,thrust_09:10,breadth_09:15,thrust_09:15,breadth_09:30,thrust_09:30,up_L3_full,dn_L3_full,up_L3_pre_09:01,dn_L3_pre_09:01,up_L3_fwd_09:01,dn_L3_fwd_09:01,up_L3_pre_09:05,dn_L3_pre_09:05,up_L3_fwd_09:05,dn_L3_fwd_09:05,up_L3_pre_09:10,dn_L3_pre_09:10,up_L3_fwd_09:10,dn_L3_fwd_09:10,up_L3_pre_09:15,dn_L3_pre_09:15,up_L3_fwd_09:15,dn_L3_fwd_09:15,up_L3_pre_09:30,dn_L3_pre_09:30,up_L3_fwd_09:30,dn_L3_fwd_09:30,up_L4_full,dn_L4_full,up_L4_pre_09:01,dn_L4_pre_09:01,up_L4_fwd_09:01,dn_L4_fwd_09:01,up_L4_pre_09:05,dn_L4_pre_09:05,up_L4_fwd_09:05,dn_L4_fwd_09:05,up_L4_pre_09:10,dn_L4_pre_09:10,up_L4_fwd_09:10,dn_L4_fwd_09:10,up_L4_pre_09:15,dn_L4_pre_09:15,up_L4_fwd_09:15,dn_L4_fwd_09:15,up_L4_pre_09:30,dn_L4_pre_09:30,up_L4_fwd_09:30,dn_L4_fwd_09:30,dir_full,dir_10
2025-07-01,216.7115143573886,1018,0.4027504911591356,0.2196916561782488,0.5176817288801572,0.5121479563743467,0.6031434184675835,0.5417052636061082,0.6532416502946955,0.44985965806416195,0.6984282907662083,0.4104143982254773,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1
2025-07-02,234.35803679954208,955,0.039790575916230364,0.04296474829640405,0.13507853403141362,0.05645748347428932,0.20628272251308902,0.03495132862570952,0.14764397905759163,-0.06292626802401195,0.06806282722513089,0.17978923830012913,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-07-03,230.41917615196664,992,0.4375,-0.05924557128052527,0.5201612903225806,-0.09151675888549406,0.5504032258064516,-0.09873945039859658,0.5685483870967742,-0.3133390073900718,0.5806451612903226,-0.20906460712937674,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-07-04,224.5697308041603,971,0.29351184346035014,0.05211680254421735,0.3120494335736354,0.03630408839202517,0.21627188465499486,0.07533104054021574,-0.014418125643666324,0.05219840407207228,-0.5128733264675592,-0.06785953077881995,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-1,-1
2025-07-07,234.7059469180498,979,-0.3084780388151175,0.019578287815927492,-0.5107252298263534,-0.11552185745037433,-0.644535240040858,-0.18111264640237754,-0.6894790602655771,-0.30362275167407243,-0.4586312563840654,0.023201489776138937,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,-1,-1
2025-07-08,237.3053805449022,961,-0.34755463059313213,-0.045143894976735106,-0.48803329864724243,-0.18019166881003898,-0.5265348595213319,-0.15457591263294487,-0.5598335067637877,-0.016117094479755432,-0.4963579604578564,-0.12825422746990686,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,-1,-1
2025-07-09,239.08582049300674,943,-0.10922587486744433,0.04581574485659042,0.1007423117709438,0.27626909103273234,0.25026511134676566,0.28491904134952134,0.2492046659597031,0.3108761064245183,0.1283138918345705,0.2553204619284875,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
2025-07-10,247.45859949367275,1002,-0.15568862275449102,-0.05964288522836789,-0.1347305389221557,-0.04917084543828242,0.01996007984031936,0.019067916171670078,-0.054890219560878244,-0.034745586439117813,0.020958083832335328,0.08194582289090241,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2025-07-11,246.46254239903726,975,0.1835897435897436,-0.031663342127890216,0.1723076923076923,0.01518062935736018,0.21846153846153846,0.06703569416541404,0.24,0.06880704549827876,0.3558974358974359,0.06395134611238627,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1
2025-07-14,250.22801455150992,956,0.032426778242677826,-0.09706413717320017,-0.07740585774058577,-0.17988072555138493,-0.18619246861924685,-0.32125642425711487,-0.24581589958158995,-0.355741087735966,-0.2730125523012552,-0.2646882486746719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
