trade_date,n_weight,thrust,breadth,confirm,up_full,dn_full,ema20,active,up_L3_full,dn_L3_full,up_L3_pre,dn_L3_pre,up_L3_fwd,dn_L3_fwd,up_L4_full,dn_L4_full,up_L4_pre,dn_L4_pre,up_L4_fwd,dn_L4_fwd,yr
2026-01-23,21,-0.26901789349246924,-0.029836381135707413,0.029836381135707413,293.0,283.0,361.91529985686446,1039,1,1,0,1,1,0,0,0,0,0,0,0,2026
2026-01-26,21,0.18430787588068906,0.11596958174904944,0.11596958174904944,145.0,144.0,355.3519379657345,1052,0,0,0,0,0,0,0,0,0,0,0,0,2026
2026-01-27,21,0.030141016869196763,0.09326923076923077,0.09326923076923077,326.0,147.0,335.318420064236,1040,1,0,0,0,1,0,0,0,0,0,0,0,2026
2026-01-28,21,0.10937076305143179,0.01588785046728972,0.01588785046728972,270.0,170.0,334.43095148668976,1070,1,0,0,0,1,0,0,0,0,0,0,0,2026
2026-01-29,21,-0.3797134680029866,-0.4952651515151515,0.4952651515151515,252.0,427.0,328.2946703927193,1056,1,1,0,1,1,0,0,1,0,1,0,0,2026
2026-01-30,21,-0.24219552642970862,-0.6566440349175557,0.6566440349175557,320.0,434.0,337.6951779743651,1031,1,1,0,0,1,1,0,1,0,0,0,1,2026
2026-02-02,21,-0.1276927345922248,-0.5872259294566253,0.5872259294566253,287.0,572.0,346.86706578633033,1049,1,1,0,1,1,0,0,1,0,0,0,1,2026
2026-02-03,21,-0.2182459386821953,0.6835443037974683,-0.6835443037974683,296.0,442.0,368.3082976162036,1027,1,1,0,0,1,1,0,1,0,0,0,1,2026
2026-02-04,21,-0.06398058882816736,0.5399610136452242,-0.5399610136452242,441.0,217.0,375.326554986089,1026,1,0,0,0,1,0,1,0,0,0,1,0,2026
2026-02-05,21,-0.003260695660412323,0.12983151635282458,-0.12983151635282458,215.0,368.0,381.5811687969377,1009,0,1,0,0,0,1,0,0,0,0,0,0,2026
2026-02-06,21,-0.19309479069113106,-0.8668555240793201,0.8668555240793201,663.0,370.0,380.28772414961026,1059,1,1,0,1,1,0,1,0,0,0,1,0,2026
2026-02-09,21,-0.050228525996997335,0.3796384395813511,-0.3796384395813511,188.0,321.0,407.21270280202833,1051,0,1,0,1,0,0,0,0,0,0,0,0,2026
2026-02-10,21,0.17257891910074516,-0.11164581328200192,-0.11164581328200192,430.0,148.0,399.00196920183515,1039,1,0,0,0,1,0,1,0,0,0,1,0,2026
2026-02-11,21,0.3196620228220534,-0.11578947368421053,-0.11578947368421053,571.0,206.0,401.9541626111842,1045,1,0,0,0,1,0,1,0,0,0,1,0,2026
2026-02-23,21,0.2890918158609822,0.47412199630314233,0.47412199630314233,405.0,671.0,418.0537661720238,1082,1,1,1,1,0,0,0,1,0,1,0,0,2026
2026-02-24,21,0.15479233640307824,0.4247460757156048,0.4247460757156048,856.0,157.0,442.1438836794501,1083,1,0,1,0,0,0,1,0,0,0,1,0,2026
2026-02-25,21,0.010744372643346429,-0.20476190476190476,-0.20476190476190476,712.0,411.0,481.5587519004548,1050,1,1,0,0,1,1,1,0,0,0,1,0,2026
2026-02-26,21,-0.28585102094783343,-0.12095238095238095,0.12095238095238095,407.0,247.0,503.50553743374485,1050,1,0,0,0,1,0,0,0,0,0,0,0,2026
