trade_date,n_weight,thrust,breadth,confirm,up_full,dn_full,ema20,active,up_L3_full,dn_L3_full,up_L3_pre,dn_L3_pre,up_L3_fwd,dn_L3_fwd,up_L4_full,dn_L4_full,up_L4_pre,dn_L4_pre,up_L4_fwd,dn_L4_fwd,yr
2025-08-12,21,-0.30926495431037665,0.248,-0.248,153.0,115.0,256.80244991049665,1000,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-08-13,21,-0.09654391022553307,0.5438423645320197,-0.5438423645320197,194.0,258.0,246.91650229997316,1015,1,1,0,0,1,1,0,1,0,0,0,1,2025
2025-08-14,21,0.16123786581550736,0.4534769833496572,0.4534769833496572,122.0,155.0,247.97207350949952,1021,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-08-15,21,-0.13067794454017842,-0.19578313253012047,0.19578313253012047,197.0,167.0,239.11759031811863,996,1,0,0,0,1,0,0,0,0,0,0,0,2025
2025-08-18,21,0.114733173708922,0.3509803921568627,0.3509803921568627,286.0,86.0,235.10639124020256,1020,1,0,1,0,0,0,1,0,0,0,1,0,2025
2025-08-19,21,0.16645070797078454,-0.2854368932038835,-0.2854368932038835,120.0,134.0,239.9534015982785,1030,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-08-20,21,-0.17307396141491307,-0.6733067729083665,0.6733067729083665,104.0,527.0,229.8626014460615,1004,0,1,0,1,0,0,0,1,0,1,0,0,2025
2025-08-21,21,0.449419860692861,0.7412236710130391,0.7412236710130391,252.0,130.0,258.16140130834134,997,1,0,1,0,0,0,0,0,0,0,0,0,2025
2025-08-22,21,-0.33286031817319667,-0.2172211350293542,0.2172211350293542,129.0,250.0,257.5746011837374,1022,0,1,0,1,0,0,0,0,0,0,0,0,2025
2025-08-25,21,-0.024834437717848032,0.6245136186770428,-0.6245136186770428,244.0,121.0,256.85321059481004,1028,1,0,0,0,1,0,0,0,0,0,0,0,2025
2025-08-26,21,-0.14679792433380268,-0.2876712328767123,0.2876712328767123,191.0,112.0,255.6290953000662,1022,1,0,0,0,1,0,0,0,0,0,0,0,2025
2025-08-27,21,-0.1616018469621193,0.4344894026974952,-0.4344894026974952,165.0,90.0,249.47394336672656,1038,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-08-28,21,-0.10582830887902298,0.14356929212362912,-0.14356929212362912,114.0,217.0,241.42880590322878,1003,0,1,0,0,0,1,0,0,0,0,0,0,2025
2025-08-29,21,-0.11996784738191645,0.22233300099700898,-0.22233300099700898,107.0,207.0,239.10225296006413,1003,0,1,0,0,0,1,0,0,0,0,0,0,2025
2025-09-01,21,0.3047770821586195,-0.09145129224652088,-0.09145129224652088,176.0,398.0,236.04489553529612,1006,1,1,0,0,1,1,0,1,0,0,0,1,2025
2025-09-02,21,-0.022696557749946795,0.1385237613751264,-0.1385237613751264,184.0,370.0,251.46919119860127,989,1,1,0,0,1,1,0,1,0,0,0,1,2025
2025-09-03,21,0.017607379506802464,0.47194388777555113,0.47194388777555113,195.0,125.0,262.7578396558773,998,1,0,0,0,1,0,0,0,0,0,0,0,2025
2025-09-04,21,0.19684063102310737,0.48554336989032904,0.48554336989032904,176.0,252.0,256.3047120696033,1003,0,1,0,0,0,1,0,1,0,0,0,1,2025
2025-09-05,21,-0.1176706840901479,-0.014,0.014,143.0,97.0,255.89473949154583,1000,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-09-08,21,-0.24666216931115567,-0.005825242718446602,0.005825242718446602,115.0,156.0,245.14285953997003,1030,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-09-09,21,-0.009057857346511648,-0.026892430278884463,0.026892430278884463,178.0,138.0,236.6530633933062,1004,1,0,0,0,1,0,0,0,0,0,0,0,2025
2025-09-10,21,-0.023793627210031733,-0.20865384615384616,0.20865384615384616,283.0,96.0,231.06705735584848,1040,1,0,0,0,1,0,1,0,0,0,1,0,2025
2025-09-11,21,-0.07089125065690632,-0.2894736842105263,0.2894736842105263,152.0,288.0,236.01305189338672,1026,0,1,0,0,0,1,0,1,0,0,0,1,2025
2025-09-12,21,-0.03063834934759737,0.45045045045045046,-0.45045045045045046,116.0,103.0,240.96418980830228,999,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-09-15,21,-0.22852852840830837,0.06726013847675569,-0.06726013847675569,139.0,181.0,229.06283839798778,1011,0,1,0,0,0,1,0,0,0,0,0,0,2025
2025-09-16,21,0.11816519391113842,0.07142857142857142,0.07142857142857142,253.0,75.0,224.48542521722703,1008,1,0,1,0,0,0,1,0,0,0,1,0,2025
2025-09-17,21,-0.24417166278330593,0.36363636363636365,-0.36363636363636365,81.0,155.0,227.20109900606255,990,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-09-18,21,-0.23487160370789398,0.6282306163021869,-0.6282306163021869,257.0,157.0,220.32480386262802,1006,1,1,0,0,1,1,1,0,0,0,1,0,2025
2025-09-19,21,-0.17609309958607683,-0.11567877629063097,0.11567877629063097,138.0,217.0,223.81767968523488,1046,0,1,0,1,0,0,0,0,0,0,0,0,2025
2025-09-22,21,0.16081489491728812,0.20079129574678536,0.20079129574678536,252.0,111.0,223.16837685806965,1011,1,0,0,0,1,0,1,0,0,0,1,0,2025
2025-09-23,21,-0.06614572468535931,-0.27263779527559057,0.27263779527559057,305.0,157.0,225.9142457287297,1016,1,0,0,0,1,0,1,0,0,0,1,0,2025
2025-09-24,21,-0.3197257526070933,0.07263681592039802,-0.07263681592039802,188.0,321.0,233.44622232599355,1005,1,1,0,1,1,0,0,1,0,1,0,0,2025
2025-09-25,21,0.2756073873903075,0.5787362086258776,0.5787362086258776,169.0,196.0,241.7846773425656,997,0,1,0,0,0,1,0,0,0,0,0,0,2025
2025-09-26,21,-0.6666413814059643,-0.785929648241206,0.785929648241206,194.0,491.0,237.42423188136888,995,1,1,0,1,1,0,0,1,0,1,0,0,2025
2025-09-30,21,0.23107437564817593,0.342,0.342,249.0,171.0,261.5743050355242,1000,1,0,1,0,0,0,0,0,0,0,0,0,2025
2025-10-01,21,0.37538820026406267,0.08135942327497425,0.08135942327497425,314.0,375.0,260.3767521749981,971,1,1,1,0,0,1,1,1,0,0,1,1,2025
2025-10-02,21,0.1229489879865293,0.03360488798370672,0.03360488798370672,139.0,146.0,271.29325196785544,982,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-10-03,21,0.14894915008888018,-0.05348133198789102,-0.05348133198789102,376.0,102.0,259.36056130425015,991,1,0,0,0,1,0,1,0,0,0,1,0,2025
2025-10-07,21,0.20727538629145323,0.18611378977820636,0.18611378977820636,361.0,229.0,270.46907927527394,1037,1,1,1,1,0,0,1,0,0,0,1,0,2025
2025-10-08,21,0.023772660219191395,-0.28428428428428426,-0.28428428428428426,215.0,165.0,279.09107172524784,999,1,0,0,0,1,0,0,0,0,0,0,0,2025
2025-10-09,21,-0.11144046634469042,0.3727634194831014,-0.3727634194831014,148.0,182.0,272.9871601323671,1006,0,0,0,0,0,0,0,0,0,0,0,0,2025
2025-10-13,21,0.5604365751762176,-0.7250470809792844,-0.7250470809792844,555.0,240.0,264.32171631023687,1062,1,1,1,1,0,0,1,0,1,0,0,0,2025
2025-10-14,21,-0.2366855947857183,0.5207729468599034,-0.5207729468599034,190.0,734.0,292.0053623759286,1035,0,1,0,0,0,1,0,1,0,0,0,1,2025
2025-10-15,21,-0.12310774409018428,0.15166835187057634,-0.15166835187057634,479.0,182.0,334.1000897686973,989,1,0,0,0,1,0,1,0,0,0,1,0,2025
2025-10-16,21,0.07015965789348448,0.6063618290258449,0.6063618290258449,427.0,282.0,347.90008121929753,1006,1,1,0,0,1,1,1,0,0,0,1,0,2025
