d,HT5lin_09:15,HT10lin_09:15,HT15lin_09:15,HT10tanh_09:15,HT10eq_09:15,HT5lin_09:30,HT10lin_09:30,HT15lin_09:30,HT10tanh_09:30,HT10eq_09:30,ema20,up_full,upsw_09:30,W50_09:30,fwdL4,tx_own
2025-07-14,-0.5103028840504126,-0.44584942285043394,-0.4134153205649498,-0.3992379520346319,-0.17991253853014474,-0.400653894563587,-0.3387855527013337,-0.30976777019385393,-0.29910432018371874,-0.01656184748670896,250.22801455150992,89.0,55.0,-0.1845934653662715,0,0.21979953003494795
2025-07-15,0.06777077889376044,0.08039853390924294,0.09015228512879092,0.07826356146818676,0.16741065608912756,0.07932563400537984,0.09564203693104655,0.11241820791979072,0.08999128101375027,0.17821301330560854,243.0634417370804,370.0,128.0,0.1327770191365885,1,0.5266114849902294
2025-07-16,0.29227372747437197,0.2868597075693236,0.2837721164762961,0.276372996897841,0.2663224354491892,0.06958080125204638,0.09767128170700512,0.12855879126180253,0.09047821182176788,0.2229547500225486,255.1526377621204,297.0,153.0,0.0819156572890068,1,0.5996410671742394
2025-07-17,0.2040919230316602,0.19442183091167867,0.18001570776144823,0.1879334757200147,0.0841429656599817,-0.20855789198732666,-0.19527798445791092,-0.17393028104537148,-0.18945980371827434,-0.09513637648273761,259.1381008323946,284.0,118.0,-0.077563319405318,1,0.455355656389255
2025-07-18,0.05001066910188413,0.014292699570655288,0.019058460104737055,0.01496043122603907,-0.04694244021981965,0.014538397912105183,-0.010484626994101907,-0.001397334037573527,-0.008875817155609405,-0.07561654234582388,261.50590075311896,80.0,65.0,-0.0369885719324559,0,0.24856035681338157
2025-07-21,-0.40698371073893513,-0.34871201147351066,-0.32087664138941935,-0.312911606915839,-0.050697777294590005,0.012841354876975037,0.026844022841184773,0.012760995498719433,0.02398580706430357,0.0704154624087541,252.6958149671076,108.0,106.0,-0.1241109655828378,0,0.41947667401534766
2025-07-22,0.7369824442402207,0.6407347471698108,0.6084882662671501,0.5162560672095837,0.2569366609015712,0.31737064776981094,0.25466926087722686,0.2463990148040604,0.23138207271718328,0.099320414477815,240.91526116071643,201.0,201.0,0.1194244467479914,0,0.834318253777669
2025-07-23,0.08231560700063727,0.04556570514288551,0.016582037847099662,0.03945631611839189,-0.0019412321986383928,-0.1885843609482486,-0.18175958186614194,-0.1968836948516786,-0.17738560513960747,-0.10479438488582711,258.8280934311244,258.0,197.0,-0.180913497524888,1,0.7611229422142416
2025-07-24,0.015013836024801702,9.225105126178766e-05,-0.013765000520564159,-0.007244855476409154,-0.06179368155178504,0.029125324543560906,0.006077630191368438,-0.006563748839003572,-0.0066128309588842525,-0.07129121873485803,258.7492273900649,103.0,75.0,0.0133726352859072,0,0.28985593795392234
2025-07-25,-0.3105338059267147,-0.2545702747545188,-0.23785679885352976,-0.24039791298379037,-0.09380256571378702,-0.33013258518425737,-0.2732565454474204,-0.2505696327556375,-0.2562316490694757,-0.12322021389398156,251.1540628767254,109.0,91.0,-0.1861066703786105,0,0.36232740556805476
2025-07-28,-0.4930216012480635,-0.4537350091978473,-0.41408038481903503,-0.3688182628717828,-0.26078484769707416,-0.5069947052503995,-0.4552139324563383,-0.41575969205551105,-0.3773966153305383,-0.22642061328500374,238.7584378408468,193.0,131.0,-0.0849932647677744,0,0.5486717084626046
2025-07-29,-0.04478034083604261,-0.056007710014952986,-0.050295037243791245,-0.05350243854758875,-0.11397602731281435,-0.2536139112747058,-0.24935412227108783,-0.23164405434911697,-0.240887813754656,-0.18758201624088097,236.78144376076617,188.0,73.0,-0.0733767562954908,0,0.3083011862777392
2025-07-30,-0.03903450159052398,-0.02359810556004753,-0.00660387043345702,-0.022211477886292786,-0.023257756408659895,-0.05235652554710281,-0.06494638084521213,-0.046668896740635096,-0.061818216112748306,-0.15489614731511311,245.8498776883122,223.0,143.0,-0.2416084198298386,0,0.5816557703611918
2025-07-31,-0.05393957059479581,-0.056402367263483744,-0.059346094559139397,-0.0510886532127939,-0.0881312411947999,-0.05037281319296693,-0.07399241803585295,-0.07430794975047156,-0.07849469779524001,-0.15651820044503761,243.6736988608539,266.0,99.0,0.078035748846575,1,0.40628102443067693
2025-08-01,0.5917392165838117,0.5723129241753584,0.5653130394435951,0.4363585419351511,0.7354998753909159,0.13855095703253872,0.2102039814244484,0.24491469840175015,0.0894552679383815,0.755629946482393,245.8000132550583,394.0,304.0,0.3615738893786134,0,1.236777801490798
2025-08-04,-0.20707551469444813,-0.14640463317107966,-0.1323947301993246,-0.1428987215092144,0.0997571011275332,-0.24320898796499876,-0.1294783258029263,-0.09270094942425032,-0.13577813100165256,0.23673496694167723,259.9142977069575,268.0,133.0,-0.1058740911044433,1,0.5117071325947291
2025-08-05,-0.14850223630689943,-0.13518373719141993,-0.12460495999870662,-0.14876960225325506,0.04823659879205351,0.08409195600187375,0.06568933227515217,0.05799698236819321,0.03831200481465346,0.0973738088075782,260.68436459200916,163.0,116.0,0.0333352066006753,0,0.44498257569666216
2025-08-06,0.1097565619311698,0.08636024635925897,0.07045889716628084,0.06628893727700934,0.11601283488854004,-0.08805251597595824,-0.10695329406612597,-0.10413834931502461,-0.12355715456350998,0.0315539376299014,251.38109177372257,102.0,67.0,-0.0402278470361811,0,0.2665276036763703
2025-08-07,0.18663222888221306,0.1790081757201826,0.17919660256244754,0.15055799513324858,0.26996059594801886,0.8741809296491353,0.7666961727718976,0.6934083631612032,0.5971002484065726,0.3322333272358793,237.15432112860617,401.0,341.0,0.2705559558699005,0,1.4378822969667902
2025-08-08,-0.10352210651672437,-0.05486802287894069,-0.05765078160920252,-0.04106822866234324,0.03752135075289637,-0.07361575040603302,-0.03373130148682943,-0.04244024615458534,-0.021490338440638815,0.05673589292758956,252.75867149731033,86.0,86.0,0.044469978301167,0,0.34024549777282376
2025-08-11,-0.07275316464920317,-0.04739554078250902,-0.056621981232418295,-0.04494588558743366,-0.03636523091111987,-0.04906463920185137,-0.018571315482595923,-0.019328442660016095,-0.013582036140059149,0.0030287582769833983,242.78165516423317,390.0,75.0,-0.1134334090565817,1,0.3089195513938858
2025-08-12,-0.3585010635216721,-0.3127821728950029,-0.2907579460207123,-0.286777850190589,-0.2203306462680416,-0.36416000209791316,-0.335655487122534,-0.30727964631639687,-0.30588122772065246,-0.2971714328684095,256.80244991049665,153.0,70.0,-0.1871445833936496,0,0.27258306929858767
2025-08-13,-0.035106780887870045,-0.04261186363321996,-0.04878382142624991,-0.03503376203906902,-0.08467001191152437,-0.07672772821851867,-0.08139081914615356,-0.08841474386861034,-0.06482160977050748,-0.14475027209519886,246.91650229997316,194.0,59.0,-0.0464617577331697,0,0.2389471722239215
2025-08-14,0.2640629699641029,0.2645707907911008,0.24684444097509228,0.2539921686096535,0.23525354648879268,0.12513156657281013,0.1505015942803933,0.13761949990626304,0.13699421673185846,0.30050182897963623,247.97207350949952,122.0,85.0,0.0999119421207478,0,0.34278053490867694
2025-08-15,-0.06283990632655925,-0.08701656101157242,-0.11851234556288992,-0.08315057885236996,-0.18552381524268025,-0.08205575180138706,-0.09224476532641626,-0.11188258315603421,-0.08843471696597485,-0.16229214814544798,239.11759031811863,197.0,81.0,-0.1150565062922861,0,0.3387454678354644
2025-08-18,0.25534653581523115,0.19343065403095083,0.16980560945733633,0.18504028040136575,-0.016710382151378166,0.2900743820370333,0.22160065452917238,0.20663714301017264,0.20365769041782253,0.022477959903465617,235.10639124020256,286.0,181.0,0.1386482859752122,1,0.7698642263411574
2025-08-19,-0.015899683406033382,-0.007201605072099337,-0.004259879829047347,-0.007005436887179918,0.019894314436485136,0.253023225723137,0.2364070676910883,0.21987997769901654,0.22941784186399647,0.15759098582727488,239.9534015982785,120.0,120.0,-0.093212323537869,0,0.500097098856301
2025-08-20,-0.032480183390526725,-0.05686940224860134,-0.09453061163479066,-0.06354313093163638,-0.10584822832351504,-0.12756638688721342,-0.15970074811832902,-0.2037022755381805,-0.13134538386335406,-0.29391005113164953,229.8626014460615,104.0,66.0,-0.2431708057461702,0,0.28712804773284206
2025-08-21,0.3328019337889499,0.3283126799620273,0.294777925713981,0.30407135393282,0.34393011069940443,0.5582805515964536,0.50596132637832,0.45569741290956733,0.4418660991743771,0.3166200718592404,258.16140130834134,252.0,195.0,0.2970639713141499,0,0.7553414221171546
2025-08-22,-0.23805577591646407,-0.242432164454346,-0.24735581858130615,-0.2324632228137715,-0.20478429503328138,-0.4747164136676372,-0.4274892440706188,-0.4126083271087114,-0.3788792905450296,-0.1881079379778265,257.5746011837374,129.0,129.0,-0.243940604119308,0,0.500825777880093
2025-08-25,-0.19699961053977985,-0.1815509589069899,-0.1701120192618845,-0.17729213362349674,-0.07697765139669852,0.02256756358790162,-0.009830859946820404,-0.019411087396867317,-0.010575332001907332,-0.10095754071541725,256.85321059481004,244.0,88.0,0.0216312741646569,0,0.3426081371387698
2025-08-26,-0.04899845589928863,-0.06308874750788895,-0.05367581623073149,-0.06057269059974258,-0.14115382876917199,-0.10906670309395394,-0.13090501471307034,-0.1314805041809256,-0.12135461865282142,-0.2721592503439394,255.6290953000662,191.0,110.0,-0.2047184439628664,0,0.4303109545135237
2025-08-27,-0.24123317401666383,-0.21396078547990646,-0.18698090917092197,-0.2083429128998548,-0.10348495537712048,-0.24404919276697593,-0.23478850123377024,-0.209212567737653,-0.22411215622599273,-0.1642056773836051,249.47394336672656,165.0,104.0,-0.0195136994682049,0,0.41687720407385415
2025-08-28,-0.06936000914925247,-0.06099958047826722,-0.050882794096465594,-0.05767345617322567,-0.08224900245284396,-0.09692080943343484,-0.06302285149885442,-0.046773568462754565,-0.059722713034731804,-0.036922634976192595,241.4288059032288,114.0,84.0,-0.0806892269570323,0,0.3479286561756407
2025-08-29,-0.1657938870930405,-0.13219263037805215,-0.09919105808986435,-0.12861976049695414,0.03702649921592675,-0.21484519057836418,-0.18267617280212373,-0.16273491238739385,-0.1787619351448994,-0.04339676525220174,239.1022529600641,107.0,80.0,-0.0026448862152311,0,0.3345848857951244
2025-09-01,0.3586788695574415,0.36287077337039014,0.34211964396535555,0.32891586903160924,0.2538328063571054,0.3843463256546986,0.4060529670135647,0.39768302231473157,0.3607233854087839,0.36350738165657304,236.04489553529612,176.0,123.0,0.046477171344566,0,0.5210873114670156
2025-09-02,0.07034913116214578,0.11347590858715265,0.11937969347433942,0.10610600418782928,0.2680524354077302,-0.16273907829192777,-0.06822680201030745,-0.04314647684828405,-0.07764620540975163,0.2542222771474617,251.4691911986013,184.0,172.0,-0.2799080456988499,0,0.6839804080180963
2025-09-03,-0.14632259480992932,-0.16980555656804852,-0.1668058530878429,-0.162414381708901,-0.14505127375428356,0.07219352541265266,0.02058136358921366,0.007428990009673649,0.022428763556387094,-0.06533456614549682,262.7578396558773,195.0,136.0,0.0897729796432735,0,0.5175868403321986
2025-09-04,0.20337717088847979,0.21040522358770428,0.18243398130937505,0.2025671599157058,0.19774151981620985,0.22439705036457863,0.2498267047684306,0.23308502416778956,0.241494011213005,0.293465523923517,256.3047120696033,176.0,133.0,-0.1045263176585567,0,0.5189135967343508
2025-09-05,-0.05341751408050041,-0.05978175682002958,-0.060668705450648334,-0.05728942623561082,-0.11329950839933094,-0.05043068028528529,-0.07024653232829842,-0.06885673504580345,-0.060510760204243445,-0.16023684077535366,255.89473949154583,143.0,54.0,-0.0275073273157293,0,0.21102426766293111
2025-09-08,-0.21059581261412957,-0.2099241572790125,-0.2197757456188373,-0.2025297981531713,-0.15762320018534565,-0.2557808043950979,-0.2431142276961495,-0.2458774470670525,-0.23368435172671745,-0.1809129182179263,245.14285953997003,115.0,115.0,-0.1974136906598743,0,0.4691142145270174
2025-09-09,0.06111650837348676,0.061783265390664796,0.029294097881564545,0.03949878634571409,0.12771683719937796,0.09156867763709366,0.07562919917699922,0.04767168303265943,0.030127530116231833,0.12991059879403374,236.6530633933062,178.0,39.0,0.0575505649798521,0,0.1647982047677272
2025-09-10,-0.2223779652868295,-0.18708565256693657,-0.18211827162117805,-0.17719421991281062,-0.010823223978248689,-0.014018540925779019,0.0029958631775599915,-0.012207389901069501,0.0038130028245510193,0.07144790177486189,231.06705735584848,283.0,98.0,0.1466860409647047,1,0.424119305977389
2025-09-11,-0.08870634667219042,-0.039656759411042034,-0.0468638698665732,-0.03616790911364162,0.03582417533062358,-0.10331463522014199,-0.06478856598018719,-0.06924568866689604,-0.05795988972818333,-0.03296782568767421,236.01305189338672,152.0,94.0,-0.0763598118009499,0,0.3982830578474205
2025-09-12,0.00431925781827012,0.041944853157917024,0.03957190507292985,0.03467436576514534,0.13296158490616286,-0.06823829069927558,-0.01716969099502759,-0.038846559319612145,-0.018570498288349464,0.0664680042726297,240.96418980830228,116.0,66.0,-0.2356943632582279,0,0.2738996199082774
