date,side,ordinal,is_2nd,entry_min,prior_swing_L,prior_run_open_L,ext_lvl,mfe_L,reach_L3,reach_L4,reach_L5
2024-07-31,short,1,0,589,0.534,0.106,>=L2,0.167,0,0,0
2024-08-01,short,1,0,601,0.683,0.663,>=L2,0.216,1,0,0
2024-08-01,long,1,0,657,0.545,0.02,>=L2,0.159,0,0,0
2024-08-02,long,1,0,592,0.628,0.292,>=L2,0.0,0,0,0
2024-08-02,short,1,0,607,0.586,0.336,>=L2,1.188,1,1,1
2024-08-05,long,1,0,557,0.961,0.083,>=L3,0.242,0,0,0
2024-08-05,short,1,0,571,2.015,1.932,>=L3,1.957,1,1,1
2024-08-05,short,2,1,649,2.741,2.659,>=L3,2.1,1,1,1
2024-08-05,long,2,1,794,1.456,0.083,>=L3,0.085,0,0,0
2024-08-06,long,1,0,535,0.566,0.564,>=L2,0.405,1,0,0
2024-08-06,long,2,1,587,0.678,0.606,>=L2,2.157,1,1,1
2024-08-06,long,3,1,600,1.296,0.606,>=L3,1.381,1,1,1
2024-08-06,short,1,0,723,2.362,1.756,>=L3,0.645,1,1,0
2024-08-07,short,1,0,551,0.566,0.011,>=L2,0.021,0,0,0
2024-08-08,long,1,0,545,0.613,0.372,>=L2,0.334,1,0,0
2024-08-08,short,1,0,590,0.522,0.241,>=L2,0.013,0,0,0
2024-08-08,long,2,1,606,0.692,0.451,>=L2,0.315,1,0,0
2024-08-08,short,2,1,763,0.545,0.241,>=L2,0.209,0,0,0
2024-08-09,long,1,0,538,0.659,0.169,>=L2,0.526,1,1,0
2024-08-09,short,1,0,781,0.608,0.49,>=L2,0.075,0,0,0
2024-08-09,long,2,1,817,1.007,0.517,>=L3,0.029,0,0,0
2024-08-12,long,1,0,590,0.529,0.439,>=L2,0.061,0,0,0
2024-08-15,short,1,0,820,0.529,0.277,>=L2,0.081,0,0,0
2024-08-22,short,1,0,627,0.612,0.483,>=L2,0.102,0,0,0
2024-08-26,long,1,0,556,0.587,0.565,>=L2,0.11,0,0,0
2024-08-26,short,1,0,664,0.548,0.023,>=L2,0.463,1,0,0
