trade_date,tse23_close,tse28_close
2010-12-31,341.23,1041.59
2011-01-03,340.29,1068.54
2011-01-04,341.18,1039.84
2011-01-05,335.42,1022.15
2011-01-06,336.95,1035.72
2011-01-07,336.74,1007.51
2011-01-10,337.95,1018.88
2011-01-11,342.73,1034.48
2011-01-12,342.96,1053.59
2011-01-13,342.96,1058.71
2011-01-14,342.81,1057.06
2011-01-17,343.0,1038.82
2011-01-18,344.9,1055.51
2011-01-19,349.46,1060.63
2011-01-20,346.22,1057.22
2011-01-21,343.03,1049.4
2011-01-24,342.82,1053.34
2011-01-25,344.16,1066.42
2011-01-26,347.82,1067.18
2011-01-27,351.17,1068.14
2011-01-28,351.73,1076.64
2011-02-08,346.61,1068.2
2011-02-09,340.67,1056.41
2011-02-10,335.41,1015.79
2011-02-11,327.8,972.22
2011-02-14,332.39,979.99
2011-02-15,334.27,976.06
2011-02-16,334.01,980.97
2011-02-17,333.08,966.39
2011-02-18,336.99,1007.67
2011-02-21,336.22,999.55
2011-02-22,329.79,981.93
2011-02-23,324.49,970.47
2011-02-24,325.5,970.54
2011-03-01,337.6,978.66
2011-03-02,334.91,966.61
2011-03-03,339.07,982.12
2011-03-04,341.48,987.14
2011-03-07,338.62,987.83
2011-03-08,339.67,986.82
2011-03-09,339.01,993.56
2011-03-10,333.44,989.18
2011-03-11,329.23,983.38
2011-03-14,325.51,953.22
2011-03-15,312.75,918.83
2011-03-16,315.82,928.74
2011-03-17,312.05,930.62
2011-03-18,317.3,937.54
2011-03-21,319.86,949.94
2011-03-22,321.1,966.88
2011-03-23,321.25,975.03
2011-03-24,323.81,974.1
2011-03-25,326.07,975.72
2011-03-28,322.51,976.96
2011-03-29,322.45,985.97
2011-03-30,323.29,998.03
2011-03-31,325.7,1002.74
2011-04-01,326.41,1000.01
2011-04-06,333.46,1010.87
2011-04-07,334.9,1009.66
2011-04-08,333.67,1010.61
2011-04-11,332.88,1001.22
2011-04-12,325.97,990.23
2011-04-13,328.45,989.71
2011-04-14,329.88,986.73
2011-04-15,327.17,976.98
2011-04-18,326.16,977.5
2011-04-20,330.3,984.7
2011-04-21,332.98,1017.81
2011-04-22,333.76,1025.01
2011-04-25,331.43,1035.46
2011-04-26,333.32,1015.44
2011-04-27,335.93,1037.66
2011-04-28,336.09,1035.12
2011-04-29,333.86,1035.28
2011-05-03,331.22,1034.83
2011-05-04,332.74,1028.11
2011-05-05,336.03,1035.62
2011-05-06,335.3,1026.97
2011-05-09,337.07,1041.13
2011-05-10,334.43,1040.02
