Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,trade_date,weekday,year,is_long,MAE,MFE,MAE_MFE_ratio,trend_regime
-1,114702,114774,14909.0,14838.0,,,71.0,0.0,0.004762224159903461,2022-07-28 09:06:00,2022-07-28 10:18:00,0 days 01:12:00,,2022-07-28,3,2022,False,11.0,123.0,0.08943089430894309,against_trend
-1,117725,117777,15111.0,15131.0,,,-20.0,0.0,-0.001323539143670116,2022-08-11 09:19:00,2022-08-11 10:11:00,0 days 00:52:00,,2022-08-11,3,2022,False,28.0,18.0,1.5555555555555556,against_trend
1,121401,121510,14854.0,14883.0,,,29.0,0.0,0.0019523360710920201,2022-08-29 10:23:00,2022-08-29 12:12:00,0 days 01:49:00,,2022-08-29,0,2022,True,24.0,44.0,0.5454545454545454,against_trend
1,122823,122847,14686.0,14638.0,,,-48.0,0.0,-0.003268418902355963,2022-09-05 09:00:00,2022-09-05 09:24:00,0 days 00:24:00,,2022-09-05,0,2022,True,48.0,33.0,1.4545454545454546,against_trend
-1,124036,124061,14741.0,14781.0,,,-40.0,0.0,-0.00271352011396786,2022-09-12 09:09:00,2022-09-12 09:34:00,0 days 00:25:00,,2022-09-12,0,2022,False,56.0,10.0,5.6,against_trend
1,124629,124663,14504.0,14595.0,,,91.0,0.0,0.006274131274131234,2022-09-14 09:00:00,2022-09-14 09:34:00,0 days 00:34:00,,2022-09-14,2,2022,True,21.0,99.0,0.21212121212121213,against_trend
1,128282,128314,13380.0,13384.0,,,4.0,0.0,0.0002989536621824662,2022-09-30 09:41:00,2022-09-30 10:13:00,0 days 00:32:00,,2022-09-30,4,2022,True,17.0,70.0,0.24285714285714285,against_trend
-1,128910,128937,13510.0,13526.0,,,-16.0,0.0,-0.001184307920059302,2022-10-04 10:07:00,2022-10-04 10:34:00,0 days 00:27:00,,2022-10-04,1,2022,False,17.0,21.0,0.8095238095238095,against_trend
-1,132756,132822,13044.0,12958.0,,,86.0,0.0,0.006593069610548952,2022-10-24 09:00:00,2022-10-24 10:06:00,0 days 01:06:00,,2022-10-24,0,2022,False,10.0,102.0,0.09803921568627451,against_trend
1,135164,135274,12901.0,12950.0,,,49.0,0.0,0.0037981551817689585,2022-11-03 09:00:00,2022-11-03 10:50:00,0 days 01:50:00,,2022-11-03,3,2022,True,11.0,79.0,0.13924050632911392,against_trend
-1,135767,135802,13119.0,13172.0,,,-53.0,0.0,-0.004039942068755131,2022-11-07 09:01:00,2022-11-07 09:36:00,0 days 00:35:00,,2022-11-07,0,2022,False,59.0,23.0,2.5652173913043477,against_trend
-1,136998,137030,13932.0,13945.0,,,-13.0,0.0,-0.000933103646281852,2022-11-11 09:28:00,2022-11-11 10:00:00,0 days 00:32:00,,2022-11-11,4,2022,False,17.0,36.0,0.4722222222222222,against_trend
-1,139387,139468,14591.0,14587.0,,,4.0,0.0,0.00027414159413341466,2022-11-23 09:09:00,2022-11-23 10:30:00,0 days 01:21:00,,2022-11-23,2,2022,False,15.0,48.0,0.3125,against_trend
-1,141242,141260,15003.0,15038.0,,,-35.0,0.0,-0.0023328667599813446,2022-12-01 09:58:00,2022-12-01 10:16:00,0 days 00:18:00,,2022-12-01,3,2022,False,36.0,3.0,12.0,against_trend
1,142399,142421,14659.0,14734.0,,,75.0,0.0,0.005116310798826573,2022-12-07 09:11:00,2022-12-07 09:33:00,0 days 00:22:00,,2022-12-07,2,2022,True,12.0,90.0,0.13333333333333333,against_trend
-1,151122,151230,15433.0,15374.0,,,59.0,0.0,0.0038229767381584567,2023-01-30 09:05:00,2023-01-30 10:53:00,0 days 01:48:00,,2023-01-30,0,2023,False,26.0,84.0,0.30952380952380953,against_trend
-1,152022,152038,15510.0,15547.0,,,-37.0,0.0,-0.00238555770470672,2023-02-02 09:02:00,2023-02-02 09:18:00,0 days 00:16:00,,2023-02-02,3,2023,False,56.0,3.0,18.666666666666668,against_trend
1,157144,157198,15393.0,15472.0,,,79.0,0.0,0.005132202949392539,2023-03-01 09:07:00,2023-03-01 10:01:00,0 days 00:54:00,,2023-03-01,2,2023,True,36.0,92.0,0.391304347826087,against_trend
-1,157771,157815,15604.0,15609.0,,,-5.0,0.0,-0.0003204306588053818,2023-03-03 09:32:00,2023-03-03 10:16:00,0 days 00:44:00,,2023-03-03,4,2023,False,8.0,36.0,0.2222222222222222,against_trend
-1,158042,158115,15709.0,15744.0,,,-35.0,0.0,-0.002228022152906073,2023-03-06 09:02:00,2023-03-06 10:15:00,0 days 01:13:00,,2023-03-06,0,2023,False,39.0,17.0,2.2941176470588234,against_trend
1,160455,160460,15268.0,15224.0,,,-44.0,0.0,-0.0028818443804035088,2023-03-16 09:07:00,2023-03-16 09:12:00,0 days 00:05:00,,2023-03-16,3,2023,True,46.0,9.0,5.111111111111111,against_trend
-1,172796,172815,15992.0,16028.0,,,-36.0,0.0,-0.0022511255627812865,2023-05-18 09:07:00,2023-05-18 09:26:00,0 days 00:19:00,,2023-05-18,3,2023,False,46.0,3.0,15.333333333333334,against_trend
1,182734,182740,16884.0,16840.0,,,-44.0,0.0,-0.0026060175313906697,2023-07-06 09:12:00,2023-07-06 09:18:00,0 days 00:06:00,,2023-07-06,3,2023,True,44.0,3.0,14.666666666666666,against_trend
1,183025,183060,16614.0,16571.0,,,-43.0,0.0,-0.002588178644516659,2023-07-07 09:02:00,2023-07-07 09:37:00,0 days 00:35:00,,2023-07-07,4,2023,True,43.0,21.0,2.0476190476190474,against_trend
1,185736,185771,17066.0,17128.0,,,62.0,0.0,0.0036329544122817303,2023-07-20 09:04:00,2023-07-20 09:39:00,0 days 00:35:00,,2023-07-20,3,2023,True,14.0,78.0,0.1794871794871795,against_trend
1,186064,186193,16899.0,16938.0,,,39.0,0.0,0.002307828865613315,2023-07-21 09:31:00,2023-07-21 11:40:00,0 days 02:09:00,,2023-07-21,4,2023,True,35.0,85.0,0.4117647058823529,against_trend
-1,192960,193018,16720.0,16774.0,,,-54.0,0.0,-0.003229665071770249,2023-08-24 09:04:00,2023-08-24 10:02:00,0 days 00:58:00,,2023-08-24,3,2023,False,55.0,28.0,1.9642857142857142,against_trend
-1,202287,202358,16752.0,16695.0,,,57.0,0.0,0.003402578796561584,2023-10-11 09:00:00,2023-10-11 10:11:00,0 days 01:11:00,,2023-10-11,2,2023,False,15.0,76.0,0.19736842105263158,against_trend
-1,218280,218303,17609.0,17637.0,,,-28.0,0.0,-0.0015900959736498965,2023-12-25 09:40:00,2023-12-25 10:03:00,0 days 00:23:00,,2023-12-25,0,2023,False,32.0,2.0,16.0,against_trend
-1,221250,221314,17710.0,17608.0,,,102.0,0.0,0.0057594579333709595,2024-01-09 09:00:00,2024-01-09 10:04:00,0 days 01:04:00,,2024-01-09,1,2024,False,12.0,117.0,0.10256410256410256,against_trend
-1,226671,226746,18045.0,18059.0,,,-14.0,0.0,-0.000775838182321964,2024-02-02 09:03:00,2024-02-02 10:18:00,0 days 01:15:00,,2024-02-02,4,2024,False,21.0,22.0,0.9545454545454546,against_trend
-1,231553,231570,19624.0,19639.0,,,-15.0,0.0,-0.0007643701589890028,2024-03-07 10:09:00,2024-03-07 10:26:00,0 days 00:17:00,,2024-03-07,3,2024,False,21.0,40.0,0.525,against_trend
-1,231794,231797,19919.0,19960.0,,,-41.0,0.0,-0.0020583362618604717,2024-03-08 09:09:00,2024-03-08 09:12:00,0 days 00:03:00,,2024-03-08,4,2024,False,44.0,11.0,4.0,against_trend
1,240214,240217,19922.0,19850.0,,,-72.0,0.0,-0.0036140949703844516,2024-04-19 09:01:00,2024-04-19 09:04:00,0 days 00:03:00,,2024-04-19,4,2024,True,75.0,2.0,37.5,against_trend
1,242640,242652,20377.0,20303.0,,,-74.0,0.0,-0.0036315453697796096,2024-05-02 09:19:00,2024-05-02 09:31:00,0 days 00:12:00,,2024-05-02,3,2024,True,75.0,3.0,25.0,against_trend
-1,243225,243281,20618.0,20677.0,,,-59.0,0.0,-0.002861577262586179,2024-05-06 09:02:00,2024-05-06 09:58:00,0 days 00:56:00,,2024-05-06,0,2024,False,65.0,56.0,1.1607142857142858,against_trend
1,248680,248706,21535.0,21512.0,,,-23.0,0.0,-0.001068028790341291,2024-05-30 09:39:00,2024-05-30 10:05:00,0 days 00:26:00,,2024-05-30,3,2024,True,26.0,18.0,1.4444444444444444,against_trend
-1,257386,257411,24192.0,24295.0,,,-103.0,0.0,-0.004257605820105814,2024-07-11 09:16:00,2024-07-11 09:41:00,0 days 00:25:00,,2024-07-11,3,2024,False,127.0,32.0,3.96875,against_trend
1,261623,261645,22038.0,21946.0,,,-92.0,0.0,-0.004174607496143068,2024-08-02 09:39:00,2024-08-02 10:01:00,0 days 00:22:00,,2024-08-02,4,2024,True,97.0,61.0,1.5901639344262295,against_trend
-1,264065,264093,21932.0,21980.0,,,-48.0,0.0,-0.0021885828925769513,2024-08-14 10:13:00,2024-08-14 10:41:00,0 days 00:28:00,,2024-08-14,2,2024,False,59.0,24.0,2.4583333333333335,against_trend
-1,264599,264624,22285.0,22413.0,,,-128.0,0.0,-0.005743773838905009,2024-08-16 09:05:00,2024-08-16 09:30:00,0 days 00:25:00,,2024-08-16,4,2024,False,135.0,8.0,16.875,against_trend
1,268541,268550,21296.0,21213.0,,,-83.0,0.0,-0.0038974455296769683,2024-09-04 09:34:00,2024-09-04 09:43:00,0 days 00:09:00,,2024-09-04,2,2024,True,84.0,51.0,1.6470588235294117,against_trend
1,269410,269488,20862.0,20909.0,,,47.0,0.0,0.002252900009586778,2024-09-09 09:00:00,2024-09-09 10:18:00,0 days 01:18:00,,2024-09-09,0,2024,True,78.0,156.0,0.5,against_trend
-1,270313,270357,21552.0,21679.0,,,-127.0,0.0,-0.005892724573125507,2024-09-12 09:00:00,2024-09-12 09:44:00,0 days 00:44:00,,2024-09-12,3,2024,False,136.0,91.0,1.4945054945054945,against_trend
-1,271874,271948,22300.0,22235.0,,,65.0,0.0,0.0029147982062780464,2024-09-20 09:56:00,2024-09-20 11:10:00,0 days 01:14:00,,2024-09-20,4,2024,False,46.0,89.0,0.5168539325842697,against_trend
-1,273323,273420,23113.0,23062.0,,,51.0,0.0,0.002206550426167131,2024-09-27 09:00:00,2024-09-27 10:37:00,0 days 01:37:00,,2024-09-27,4,2024,False,65.0,88.0,0.7386363636363636,against_trend
1,273629,273637,22748.0,22673.0,,,-75.0,0.0,-0.0032969931422542897,2024-09-30 09:05:00,2024-09-30 09:13:00,0 days 00:08:00,,2024-09-30,0,2024,True,81.0,7.0,11.571428571428571,against_trend
-1,276935,276996,23747.0,23800.0,,,-53.0,0.0,-0.0022318608666358486,2024-10-18 09:00:00,2024-10-18 10:01:00,0 days 01:01:00,,2024-10-18,4,2024,False,68.0,103.0,0.6601941747572816,against_trend
1,279648,279705,22414.0,22544.0,,,130.0,0.0,0.005799946462032635,2024-11-01 09:04:00,2024-11-01 10:01:00,0 days 00:57:00,,2024-11-01,4,2024,True,49.0,182.0,0.2692307692307692,against_trend
-1,281149,281336,23704.0,23557.0,,,147.0,0.0,0.006201484981437688,2024-11-08 09:00:00,2024-11-08 12:07:00,0 days 03:07:00,,2024-11-08,4,2024,False,53.0,176.0,0.30113636363636365,against_trend
1,281751,281781,23187.0,23089.0,,,-98.0,0.0,-0.004226506231940319,2024-11-12 09:00:00,2024-11-12 09:30:00,0 days 00:30:00,,2024-11-12,1,2024,True,103.0,22.0,4.681818181818182,against_trend
1,284843,284863,22792.0,22735.0,,,-57.0,0.0,-0.002500877500877463,2024-11-26 10:22:00,2024-11-26 10:42:00,0 days 00:20:00,,2024-11-26,1,2024,True,62.0,53.0,1.169811320754717,against_trend
-1,286267,286393,23076.0,23044.0,,,32.0,0.0,0.001386722135552132,2024-12-03 09:01:00,2024-12-03 11:07:00,0 days 02:06:00,,2024-12-03,1,2024,False,85.0,77.0,1.103896103896104,against_trend
1,288078,288127,22929.0,23032.0,,,103.0,0.0,0.004492127872999241,2024-12-11 09:06:00,2024-12-11 09:55:00,0 days 00:49:00,,2024-12-11,2,2024,True,50.0,126.0,0.3968253968253968,against_trend
1,291693,291745,23269.0,23294.0,,,25.0,0.0,0.0010743908204047248,2024-12-30 09:09:00,2024-12-30 10:01:00,0 days 00:52:00,,2024-12-30,0,2024,True,29.0,55.0,0.5272727272727272,against_trend
-1,293192,293306,23899.0,23793.0,,,106.0,0.0,0.004435332022260319,2025-01-07 09:03:00,2025-01-07 10:57:00,0 days 01:54:00,,2025-01-07,1,2025,False,39.0,124.0,0.31451612903225806,against_trend
1,293791,293807,23361.0,23396.0,,,35.0,0.0,0.0014982235349514372,2025-01-09 09:00:00,2025-01-09 09:16:00,0 days 00:16:00,,2025-01-09,3,2025,True,23.0,49.0,0.46938775510204084,against_trend
-1,295327,295338,23005.0,23083.0,,,-78.0,0.0,-0.003390567267985256,2025-01-16 09:31:00,2025-01-16 09:42:00,0 days 00:11:00,,2025-01-16,3,2025,False,95.0,3.0,31.666666666666668,against_trend
1,302525,302536,22774.0,22687.0,,,-87.0,0.0,-0.0038201457802757854,2025-03-03 09:05:00,2025-03-03 09:16:00,0 days 00:11:00,,2025-03-03,0,2025,True,89.0,23.0,3.869565217391304,against_trend
1,302821,302879,22337.0,22406.0,,,69.0,0.0,0.0030890450821507986,2025-03-04 09:00:00,2025-03-04 09:58:00,0 days 00:58:00,,2025-03-04,1,2025,True,41.0,120.0,0.3416666666666667,against_trend
1,303724,303792,22589.0,22520.0,,,-69.0,0.0,-0.003054584089601131,2025-03-07 09:00:00,2025-03-07 10:08:00,0 days 01:08:00,,2025-03-07,4,2025,True,70.0,96.0,0.7291666666666666,against_trend
1,304378,304431,21957.0,21960.0,,,3.0,0.0,0.00013663068725233707,2025-03-11 09:52:00,2025-03-11 10:45:00,0 days 00:53:00,,2025-03-11,1,2025,True,51.0,93.0,0.5483870967741935,against_trend
1,308542,308545,21040.0,20968.0,,,-72.0,0.0,-0.003422053231939115,2025-03-31 09:02:00,2025-03-31 09:05:00,0 days 00:03:00,,2025-03-31,0,2025,True,74.0,14.0,5.285714285714286,against_trend
-1,310972,311009,19636.0,19693.0,,,-57.0,0.0,-0.0029028315339172384,2025-04-14 09:24:00,2025-04-14 10:01:00,0 days 00:37:00,,2025-04-14,0,2025,False,121.0,51.0,2.372549019607843,against_trend
-1,313676,313725,19906.0,19945.0,,,-39.0,0.0,-0.001959208278910829,2025-04-25 09:19:00,2025-04-25 10:08:00,0 days 00:49:00,,2025-04-25,4,2025,False,71.0,26.0,2.730769230769231,against_trend
1,315463,315487,20241.0,20365.0,,,124.0,0.0,0.00612617953658412,2025-05-06 09:00:00,2025-05-06 09:24:00,0 days 00:24:00,,2025-05-06,1,2025,True,44.0,155.0,0.2838709677419355,against_trend
-1,317038,317084,21406.0,21357.0,,,49.0,0.0,0.00228907782864618,2025-05-13 10:10:00,2025-05-13 10:56:00,0 days 00:46:00,,2025-05-13,1,2025,False,18.0,80.0,0.225,against_trend
-1,317269,317391,21647.0,21640.0,,,7.0,0.0,0.00032337044394137315,2025-05-14 09:00:00,2025-05-14 11:02:00,0 days 02:02:00,,2025-05-14,2,2025,False,83.0,68.0,1.2205882352941178,against_trend
1,320889,320899,21043.0,20955.0,,,-88.0,0.0,-0.004181913225300593,2025-06-02 09:08:00,2025-06-02 09:18:00,0 days 00:10:00,,2025-06-02,0,2025,True,92.0,6.0,15.333333333333334,against_trend
-1,322416,322481,21651.0,21694.0,,,-43.0,0.0,-0.0019860514525888995,2025-06-09 09:30:00,2025-06-09 10:35:00,0 days 01:05:00,,2025-06-09,0,2025,False,49.0,25.0,1.96,against_trend
1,323628,323661,22060.0,22102.0,,,42.0,0.0,0.0019038984587489427,2025-06-13 09:38:00,2025-06-13 10:11:00,0 days 00:33:00,,2025-06-13,4,2025,True,45.0,79.0,0.569620253164557,against_trend
-1,324265,324269,22119.0,22111.0,,,8.0,0.0,0.0003616800036168044,2025-06-17 10:13:00,2025-06-17 10:17:00,0 days 00:04:00,,2025-06-17,1,2025,False,25.0,35.0,0.7142857142857143,against_trend
-1,331117,331205,23314.0,23318.0,,,-4.0,0.0,-0.00017157073003337686,2025-07-18 09:02:00,2025-07-18 10:30:00,0 days 01:28:00,,2025-07-18,4,2025,False,51.0,53.0,0.9622641509433962,against_trend
1,334456,334593,23158.0,23246.0,,,88.0,0.0,0.003799982727351159,2025-08-04 09:30:00,2025-08-04 11:47:00,0 days 02:17:00,,2025-08-04,0,2025,True,21.0,106.0,0.19811320754716982,against_trend
-1,338949,339005,24088.0,24156.0,,,-68.0,0.0,-0.002822982397874485,2025-08-25 09:08:00,2025-08-25 10:04:00,0 days 00:56:00,,2025-08-25,0,2025,False,78.0,18.0,4.333333333333333,against_trend
1,340477,340500,24192.0,24126.0,,,-66.0,0.0,-0.002728174603174649,2025-09-01 09:31:00,2025-09-01 09:54:00,0 days 00:23:00,,2025-09-01,0,2025,True,75.0,53.0,1.4150943396226414,against_trend
-1,342014,342060,24556.0,24593.0,,,-37.0,0.0,-0.0015067600586413654,2025-09-08 10:03:00,2025-09-08 10:49:00,0 days 00:46:00,,2025-09-08,0,2025,False,51.0,38.0,1.3421052631578947,against_trend
-1,344668,344686,25773.0,25714.0,,,59.0,0.0,0.0022892173980522124,2025-09-19 09:08:00,2025-09-19 09:26:00,0 days 00:18:00,,2025-09-19,4,2025,False,11.0,90.0,0.12222222222222222,against_trend
-1,345285,345293,26026.0,26088.0,,,-62.0,0.0,-0.0023822331514640194,2025-09-23 09:23:00,2025-09-23 09:31:00,0 days 00:08:00,,2025-09-23,1,2025,False,64.0,3.0,21.333333333333332,against_trend
1,350981,351055,27442.0,27473.0,,,31.0,0.0,0.0011296552729394005,2025-10-23 09:00:00,2025-10-23 10:14:00,0 days 01:14:00,,2025-10-23,3,2025,True,45.0,104.0,0.4326923076923077,against_trend
-1,351283,351397,28201.0,28162.0,,,39.0,0.0,0.0013829296833445248,2025-10-27 09:01:00,2025-10-27 10:55:00,0 days 01:54:00,,2025-10-27,0,2025,False,57.0,122.0,0.4672131147540984,against_trend
1,355503,355510,27528.0,27438.0,,,-90.0,0.0,-0.0032693984306887414,2025-11-14 09:07:00,2025-11-14 09:14:00,0 days 00:07:00,,2025-11-14,4,2025,True,90.0,5.0,18.0,against_trend
1,356142,356152,27190.0,27262.0,,,72.0,0.0,0.002648032364840125,2025-11-18 09:44:00,2025-11-18 09:54:00,0 days 00:10:00,,2025-11-18,1,2025,True,36.0,108.0,0.3333333333333333,against_trend
-1,361216,361269,28505.0,28402.0,,,103.0,0.0,0.003613401157691598,2025-12-11 09:01:00,2025-12-11 09:54:00,0 days 00:53:00,,2025-12-11,3,2025,False,29.0,119.0,0.24369747899159663,against_trend
1,361830,361898,27862.0,27949.0,,,87.0,0.0,0.0031225324815160604,2025-12-15 09:13:00,2025-12-15 10:21:00,0 days 01:08:00,,2025-12-15,0,2025,True,30.0,109.0,0.27522935779816515,against_trend
1,362123,362153,27661.0,27573.0,,,-88.0,0.0,-0.0031813744983912873,2025-12-16 09:05:00,2025-12-16 09:35:00,0 days 00:30:00,,2025-12-16,1,2025,True,90.0,22.0,4.090909090909091,against_trend
-1,367537,367584,31007.0,30804.0,,,203.0,0.0,0.0065469087625374955,2026-01-13 09:01:00,2026-01-13 09:48:00,0 days 00:47:00,,2026-01-13,1,2026,False,48.0,279.0,0.17204301075268819,against_trend
-1,368441,368517,31333.0,31338.0,,,-5.0,0.0,-0.00015957616570383415,2026-01-16 09:02:00,2026-01-16 10:18:00,0 days 01:16:00,,2026-01-16,4,2026,False,17.0,176.0,0.09659090909090909,against_trend
1,373013,373020,31591.0,31649.0,,,58.0,0.0,0.0018359659396662842,2026-02-06 09:59:00,2026-02-06 10:06:00,0 days 00:07:00,,2026-02-06,4,2026,True,32.0,134.0,0.23880597014925373,against_trend
-1,373256,373317,32673.0,32645.0,,,28.0,0.0,0.0008569767085973012,2026-02-09 09:01:00,2026-02-09 10:02:00,0 days 01:01:00,,2026-02-09,0,2026,False,16.0,158.0,0.10126582278481013,against_trend
-1,374159,374160,34096.0,34202.0,,,-106.0,0.0,-0.0031088690755514126,2026-02-23 09:01:00,2026-02-23 09:02:00,0 days 00:01:00,,2026-02-23,0,2026,False,110.0,7.0,15.714285714285714,against_trend
