Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,trade_date,weekday,year,is_long,MAE,MFE,MAE_MFE_ratio,trend_regime
1,70503,70595,17683.0,17731.0,,,48.0,0.0,0.0027144715263247576,2021-12-16 09:54:00,2021-12-16 11:26:00,0 days 01:32:00,,2021-12-16,3,2021,True,12.0,79.0,0.1518987341772152,against_trend
1,70791,70812,17761.0,17766.0,,,5.0,0.0,0.00028151568042344977,2021-12-17 09:41:00,2021-12-17 10:02:00,0 days 00:21:00,,2021-12-17,4,2021,True,5.0,23.0,0.21739130434782608,with_trend
1,71698,71733,17807.0,17801.0,,,-6.0,0.0,-0.00033694614477453033,2021-12-22 09:45:00,2021-12-22 10:20:00,0 days 00:35:00,,2021-12-22,2,2021,True,12.0,15.0,0.8,with_trend
1,73809,73837,18278.0,18266.0,,,-12.0,0.0,-0.0006565269723164402,2022-01-03 09:49:00,2022-01-03 10:17:00,0 days 00:28:00,,2022-01-03,0,2022,True,24.0,6.0,4.0,with_trend
1,74399,74464,18506.0,18503.0,,,-3.0,0.0,-0.00016210958608020576,2022-01-05 09:37:00,2022-01-05 10:42:00,0 days 01:05:00,,2022-01-05,2,2022,True,27.0,23.0,1.173913043478261,with_trend
-1,74692,74820,18400.0,18319.0,,,81.0,0.0,0.004402173913043428,2022-01-06 09:29:00,2022-01-06 11:37:00,0 days 02:08:00,,2022-01-06,3,2022,False,19.0,135.0,0.14074074074074075,with_trend
-1,75303,75318,18163.0,18220.0,,,-57.0,0.0,-0.003138248086769879,2022-01-10 09:38:00,2022-01-10 09:53:00,0 days 00:15:00,,2022-01-10,0,2022,False,58.0,12.0,4.833333333333333,with_trend
1,75906,75916,18338.0,18297.0,,,-41.0,0.0,-0.002235794525029977,2022-01-12 09:39:00,2022-01-12 09:49:00,0 days 00:10:00,,2022-01-12,2,2022,True,43.0,5.0,8.6,with_trend
1,76188,76239,18386.0,18397.0,,,11.0,0.0,0.0005982813009899335,2022-01-13 09:20:00,2022-01-13 10:11:00,0 days 00:51:00,,2022-01-13,3,2022,True,10.0,99.0,0.10101010101010101,with_trend
-1,78339,78376,17812.0,17847.0,,,-35.0,0.0,-0.0019649674376824855,2022-01-24 10:04:00,2022-01-24 10:41:00,0 days 00:37:00,,2022-01-24,0,2022,False,37.0,11.0,3.3636363636363638,with_trend
1,79224,79282,17741.0,17721.0,,,-20.0,0.0,-0.0011273321684234228,2022-02-07 09:46:00,2022-02-07 10:44:00,0 days 00:58:00,,2022-02-07,0,2022,True,21.0,35.0,0.6,with_trend
1,79513,79544,17997.0,18007.0,,,10.0,0.0,0.0005556481635828892,2022-02-08 09:34:00,2022-02-08 10:05:00,0 days 00:31:00,,2022-02-08,1,2022,True,14.0,48.0,0.2916666666666667,with_trend
1,79804,79847,18074.0,18075.0,,,1.0,0.0,5.532809560704344e-05,2022-02-09 09:24:00,2022-02-09 10:07:00,0 days 00:43:00,,2022-02-09,2,2022,True,10.0,31.0,0.3225806451612903,with_trend
1,80115,80154,18156.0,18154.0,,,-2.0,0.0,-0.00011015642211942289,2022-02-10 09:34:00,2022-02-10 10:13:00,0 days 00:39:00,,2022-02-10,3,2022,True,7.0,34.0,0.20588235294117646,with_trend
1,80405,80483,18235.0,18256.0,,,21.0,0.0,0.001151631477926962,2022-02-11 09:23:00,2022-02-11 10:41:00,0 days 01:18:00,,2022-02-11,4,2022,True,23.0,48.0,0.4791666666666667,with_trend
-1,81915,81920,18117.0,18165.0,,,-48.0,0.0,-0.002649445272396189,2022-02-18 09:28:00,2022-02-18 09:33:00,0 days 00:05:00,,2022-02-18,4,2022,False,51.0,5.0,10.2,with_trend
-1,82221,82282,18147.0,18190.0,,,-43.0,0.0,-0.0023695376646277744,2022-02-21 09:33:00,2022-02-21 10:34:00,0 days 01:01:00,,2022-02-21,0,2022,False,48.0,11.0,4.363636363636363,with_trend
