rule,split,recall_A,FPR_bull,hit_B,hit_C,hit_D,n_A,n_bull,youden_J,median_lag_days
A>=10d AND B=streak>=4,OOS,0.0,0.0,0.0,0.10227272727272728,0.0,510,406,0.0,
A>=10d OR B=streak>=4,OOS,0.8705882352941177,0.21674876847290642,0.17754569190600522,0.6893939393939394,0.032407407407407406,510,406,0.6538394668212113,66.0
A>=10d AND B=streak>=6,OOS,0.0,0.0,0.0,0.0,0.0,510,406,0.0,
A>=10d OR B=streak>=6,OOS,0.796078431372549,0.12561576354679804,0.17754569190600522,0.6704545454545454,0.0,510,406,0.6704626678257509,66.0
A>=10d AND B=score<=16,OOS,0.03137254901960784,0.0,0.0,0.05303030303030303,0.0,510,406,0.03137254901960784,240.0
A>=10d OR B=score<=16,OOS,0.7647058823529411,0.0,0.17754569190600522,0.13257575757575757,0.0,510,406,0.7647058823529411,66.0
A>=10d AND B=score<=22,OOS,0.11764705882352941,0.0,0.007832898172323759,0.13257575757575757,0.0,510,406,0.11764705882352941,196.0
A>=10d OR B=score<=22,OOS,0.8705882352941177,0.2438423645320197,0.3028720626631854,0.7234848484848485,0.032407407407407406,510,406,0.626745870762098,66.0
A>=20d AND B=streak>=1,OOS,0.11764705882352941,0.0,0.007832898172323759,0.0946969696969697,0.0,510,406,0.11764705882352941,196.0
A>=20d OR B=streak>=1,OOS,0.8509803921568627,0.2438423645320197,0.2506527415143603,0.7234848484848485,0.032407407407407406,510,406,0.607138027624843,76.0
A>=20d AND B=streak>=2,OOS,0.07254901960784314,0.0,0.0,0.0946969696969697,0.0,510,406,0.07254901960784314,219.0
A>=20d OR B=streak>=2,OOS,0.8509803921568627,0.2438423645320197,0.20887728459530025,0.7234848484848485,0.032407407407407406,510,406,0.607138027624843,76.0
A>=20d AND B=streak>=3,OOS,0.03137254901960784,0.0,0.0,0.0946969696969697,0.0,510,406,0.03137254901960784,240.0
A>=20d OR B=streak>=3,OOS,0.8509803921568627,0.2438423645320197,0.14882506527415143,0.7234848484848485,0.032407407407407406,510,406,0.607138027624843,76.0
A>=20d AND B=streak>=4,OOS,0.0,0.0,0.0,0.0946969696969697,0.0,510,406,0.0,
A>=20d OR B=streak>=4,OOS,0.8509803921568627,0.21674876847290642,0.12532637075718014,0.6590909090909091,0.032407407407407406,510,406,0.6342316236839562,76.0
A>=20d AND B=streak>=6,OOS,0.0,0.0,0.0,0.0,0.0,510,406,0.0,
A>=20d OR B=streak>=6,OOS,0.7764705882352941,0.12561576354679804,0.12532637075718014,0.6325757575757576,0.0,510,406,0.6508548246884961,76.0
A>=20d AND B=score<=16,OOS,0.03137254901960784,0.0,0.0,0.045454545454545456,0.0,510,406,0.03137254901960784,240.0
A>=20d OR B=score<=16,OOS,0.7450980392156863,0.0,0.12532637075718014,0.10227272727272728,0.0,510,406,0.7450980392156863,76.0
A>=20d AND B=score<=22,OOS,0.11764705882352941,0.0,0.007832898172323759,0.0946969696969697,0.0,510,406,0.11764705882352941,196.0
A>=20d OR B=score<=22,OOS,0.8509803921568627,0.2438423645320197,0.2506527415143603,0.7234848484848485,0.032407407407407406,510,406,0.607138027624843,76.0
A>=60d AND B=streak>=1,OOS,0.11764705882352941,0.0,0.0,0.0,0.0,510,406,0.11764705882352941,196.0
A>=60d OR B=streak>=1,OOS,0.7725490196078432,0.2438423645320197,0.13315926892950392,0.7234848484848485,0.032407407407407406,510,406,0.5287066550758235,116.0
A>=60d AND B=streak>=2,OOS,0.07254901960784314,0.0,0.0,0.0,0.0,510,406,0.07254901960784314,219.0
A>=60d OR B=streak>=2,OOS,0.7725490196078432,0.2438423645320197,0.0835509138381201,0.7234848484848485,0.032407407407407406,510,406,0.5287066550758235,116.0
A>=60d AND B=streak>=3,OOS,0.03137254901960784,0.0,0.0,0.0,0.0,510,406,0.03137254901960784,240.0
A>=60d OR B=streak>=3,OOS,0.7725490196078432,0.2438423645320197,0.02349869451697128,0.7234848484848485,0.032407407407407406,510,406,0.5287066550758235,116.0
A>=60d AND B=streak>=4,OOS,0.0,0.0,0.0,0.0,0.0,510,406,0.0,
A>=60d OR B=streak>=4,OOS,0.7725490196078432,0.21674876847290642,0.0,0.6590909090909091,0.032407407407407406,510,406,0.5558002511349367,116.0
A>=60d AND B=streak>=6,OOS,0.0,0.0,0.0,0.0,0.0,510,406,0.0,
A>=60d OR B=streak>=6,OOS,0.6980392156862745,0.12561576354679804,0.0,0.5378787878787878,0.0,510,406,0.5724234521394764,116.0
A>=60d AND B=score<=16,OOS,0.03137254901960784,0.0,0.0,0.0,0.0,510,406,0.03137254901960784,240.0
A>=60d OR B=score<=16,OOS,0.6666666666666666,0.0,0.0,0.05303030303030303,0.0,510,406,0.6666666666666666,116.0
A>=60d AND B=score<=22,OOS,0.11764705882352941,0.0,0.0,0.0,0.0,510,406,0.11764705882352941,196.0
A>=60d OR B=score<=22,OOS,0.7725490196078432,0.2438423645320197,0.13315926892950392,0.7234848484848485,0.032407407407407406,510,406,0.5287066550758235,116.0
