rule,split,recall_A,FPR_bull,hit_B,hit_C,hit_D,n_A,n_bull,youden_J,median_lag_days
A>=5d OR B=streak>=2,FULL,0.6779156327543424,0.24587706146926536,0.48068181818181815,0.4098360655737705,0.027888446215139442,2015,667,0.43203857128507706,55.0
A>=5d AND B=streak>=3,FULL,0.15086848635235733,0.0,0.22272727272727272,0.07600596125186289,0.0,2015,667,0.15086848635235733,177.0
A>=5d OR B=streak>=3,FULL,0.6575682382133995,0.2143928035982009,0.4340909090909091,0.38152011922503726,0.027888446215139442,2015,667,0.4431754346151986,65.0
A>=5d AND B=streak>=4,FULL,0.1325062034739454,0.0,0.21136363636363636,0.044709388971684055,0.0,2015,667,0.1325062034739454,114.0
A>=5d OR B=streak>=4,FULL,0.6357320099255583,0.1634182908545727,0.4113636363636364,0.38152011922503726,0.027888446215139442,2015,667,0.4723137190709856,76.5
A>=5d AND B=streak>=6,FULL,0.10620347394540942,0.0,0.16136363636363638,0.004470938897168405,0.0,2015,667,0.10620347394540942,133.0
A>=5d OR B=streak>=6,FULL,0.5826302729528536,0.07646176911544228,0.4113636363636364,0.3740685543964232,0.0,2015,667,0.5061685038374113,87.5
A>=5d AND B=score<=16,FULL,0.12903225806451613,0.0,0.2125,0.020864381520119227,0.0,2015,667,0.12903225806451613,177.0
A>=5d OR B=score<=16,FULL,0.4674937965260546,0.0,0.3625,0.16691505216095381,0.0,2015,667,0.4674937965260546,65.0
A>=5d AND B=score<=22,FULL,0.19404466501240694,0.0,0.23522727272727273,0.14008941877794337,0.0,2015,667,0.19404466501240694,155.0
A>=5d OR B=score<=22,FULL,0.7081885856079404,0.27586206896551724,0.5159090909090909,0.4918032786885246,0.027888446215139442,2015,667,0.43232651664242316,44.0
A>=10d AND B=streak>=1,FULL,0.18660049627791564,0.0,0.21022727272727273,0.13561847988077497,0.0,2015,667,0.18660049627791564,157.5
A>=10d OR B=streak>=1,FULL,0.6992555831265509,0.27586206896551724,0.5045454545454545,0.47690014903129657,0.027888446215139442,2015,667,0.42339351416103366,46.5
A>=10d AND B=streak>=2,FULL,0.16526054590570718,0.0,0.20681818181818182,0.10283159463487332,0.0,2015,667,0.16526054590570718,169.0
A>=10d OR B=streak>=2,FULL,0.6689826302729529,0.24587706146926536,0.4647727272727273,0.3949329359165425,0.027888446215139442,2015,667,0.42310556880368755,57.5
A>=10d AND B=streak>=3,FULL,0.143424317617866,0.0,0.20681818181818182,0.07153502235469449,0.0,2015,667,0.143424317617866,179.5
A>=10d OR B=streak>=3,FULL,0.6486352357320099,0.2143928035982009,0.41363636363636364,0.36661698956780925,0.027888446215139442,2015,667,0.434242432133809,67.5
